NAME,GEO_ID,state,county,B01001B_003E,B01001B_004E,B01001B_005E,B01001B_006E,B01001B_007E,B01001B_008E,B01001B_009E,B01001B_010E,B01001B_011E,B01001B_012E,B01001B_013E,B01001B_014E,B01001B_015E,B01001B_016E,B01001B_018E,B01001B_019E,B01001B_020E,B01001B_021E,B01001B_022E,B01001B_023E,B01001B_024E,B01001B_025E,B01001B_026E,B01001B_027E,B01001B_028E,B01001B_029E,B01001B_030E,B01001B_031E,B01001C_003E,B01001C_004E,B01001C_005E,B01001C_006E,B01001C_007E,B01001C_008E,B01001C_009E,B01001C_010E,B01001C_011E,B01001C_012E,B01001C_013E,B01001C_014E,B01001C_015E,B01001C_016E,B01001C_018E,B01001C_019E,B01001C_020E,B01001C_021E,B01001C_022E,B01001C_023E,B01001C_024E,B01001C_025E,B01001C_026E,B01001C_027E,B01001C_028E,B01001C_029E,B01001C_030E,B01001C_031E,B01001D_003E,B01001D_004E,B01001D_005E,B01001D_006E,B01001D_007E,B01001D_008E,B01001D_009E,B01001D_010E,B01001D_011E,B01001D_012E,B01001D_013E,B01001D_014E,B01001D_015E,B01001D_016E,B01001D_018E,B01001D_019E,B01001D_020E,B01001D_021E,B01001D_022E,B01001D_023E,B01001D_024E,B01001D_025E,B01001D_026E,B01001D_027E,B01001D_028E,B01001D_029E,B01001D_030E,B01001D_031E,B01001E_003E,B01001E_004E,B01001E_005E,B01001E_006E,B01001E_007E,B01001E_008E,B01001E_009E,B01001E_010E,B01001E_011E,B01001E_012E,B01001E_013E,B01001E_014E,B01001E_015E,B01001E_016E,B01001E_018E,B01001E_019E,B01001E_020E,B01001E_021E,B01001E_022E,B01001E_023E,B01001E_024E,B01001E_025E,B01001E_026E,B01001E_027E,B01001E_028E,B01001E_029E,B01001E_030E,B01001E_031E,B01001F_003E,B01001F_004E,B01001F_005E,B01001F_006E,B01001F_007E,B01001F_008E,B01001F_009E,B01001F_010E,B01001F_011E,B01001F_012E,B01001F_013E,B01001F_014E,B01001F_015E,B01001F_016E,B01001F_018E,B01001F_019E,B01001F_020E,B01001F_021E,B01001F_022E,B01001F_023E,B01001F_024E,B01001F_025E,B01001F_026E,B01001F_027E,B01001F_028E,B01001F_029E,B01001F_030E,B01001F_031E,B01001G_003E,B01001G_004E,B01001G_005E,B01001G_006E,B01001G_007E,B01001G_008E,B01001G_009E,B01001G_010E,B01001G_011E,B01001G_012E,B01001G_013E,B01001G_014E,B01001G_015E,B01001G_016E,B01001G_018E,B01001G_019E,B01001G_020E,B01001G_021E,B01001G_022E,B01001G_023E,B01001G_024E,B01001G_025E,B01001G_026E,B01001G_027E,B01001G_028E,B01001G_029E,B01001G_030E,B01001G_031E,B01001H_003E,B01001H_004E,B01001H_005E,B01001H_006E,B01001H_007E,B01001H_008E,B01001H_009E,B01001H_010E,B01001H_011E,B01001H_012E,B01001H_013E,B01001H_014E,B01001H_015E,B01001H_016E,B01001H_018E,B01001H_019E,B01001H_020E,B01001H_021E,B01001H_022E,B01001H_023E,B01001H_024E,B01001H_025E,B01001H_026E,B01001H_027E,B01001H_028E,B01001H_029E,B01001H_030E,B01001H_031E,B01001I_003E,B01001I_004E,B01001I_005E,B01001I_006E,B01001I_007E,B01001I_008E,B01001I_009E,B01001I_010E,B01001I_011E,B01001I_012E,B01001I_013E,B01001I_014E,B01001I_015E,B01001I_016E,B01001I_018E,B01001I_019E,B01001I_020E,B01001I_021E,B01001I_022E,B01001I_023E,B01001I_024E,B01001I_025E,B01001I_026E,B01001I_027E,B01001I_028E,B01001I_029E,B01001I_030E,B01001I_031E
"Washington County, Mississippi",0500000US28151,28,151,1385,1211,1471,827,467,1286,1073,927,1669,1761,1907,1056,386,70,1390,1290,1355,848,465,1363,1205,1131,2240,2389,2452,1457,635,266,0,0,0,0,0,0,0,0,0,5,9,6,0,0,0,0,0,0,1,0,0,0,10,16,0,9,0,0,0,0,15,0,0,8,1,6,25,11,5,46,40,0,0,14,0,0,0,0,0,10,18,10,45,17,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,15,0,23,0,44,13,59,0,59,0,0,0,10,34,0,0,0,35,10,25,0,12,0,0,0,0,0,74,0,17,1,0,22,0,0,19,0,0,0,54,0,6,0,17,4,0,0,0,20,17,17,10,0,349,273,358,187,74,345,351,318,596,765,987,770,405,81,341,309,241,160,37,321,337,316,624,724,1062,823,485,282,122,0,83,23,0,23,29,44,29,46,0,59,0,0,0,19,9,44,0,0,64,10,36,38,12,39,0,0
"Perry County, Mississippi",0500000US28111,28,111,77,96,80,38,43,50,96,48,116,179,143,88,46,4,72,55,128,79,68,36,98,84,190,142,136,115,16,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,25,0,11,0,0,44,0,0,0,0,1,0,0,0,0,0,6,7,8,9,0,0,0,4,13,24,0,0,279,265,345,192,72,297,254,140,659,639,673,479,202,93,241,353,202,171,137,222,292,255,573,638,684,533,319,90,0,4,34,0,4,5,7,3,0,0,3,3,0,0,28,3,0,12,18,8,2,0,24,4,4,5,6,4
"Choctaw County, Mississippi",0500000US28019,28,019,97,78,144,90,41,56,110,65,117,172,162,109,40,11,69,152,10,25,111,67,42,108,129,183,174,112,103,19,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,2,0,1,198,189,135,142,70,127,131,132,316,375,413,356,183,60,94,131,197,79,22,166,137,139,331,355,407,390,215,123,0,0,0,0,0,0,0,2,13,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,9,0,0,0
"Itawamba County, Mississippi",0500000US28057,28,057,62,86,62,75,127,177,4,54,77,36,138,52,39,5,0,35,50,0,138,75,77,24,106,66,55,25,6,30,0,0,0,0,0,0,0,0,10,25,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,26,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,17,0,16,17,0,9,0,43,0,2,0,0,0,0,0,0,0,0,0,0,0,21,14,31,0,0,0,24,0,23,15,0,2,2,10,0,10,0,0,0,0,8,8,0,8,0,1,8,0,6,0,2,0,0,17,583,655,700,419,357,713,698,571,1233,1487,1321,994,457,216,554,587,671,394,353,678,661,579,1319,1466,1365,1179,673,306,21,68,0,28,17,9,9,13,45,11,9,0,0,0,10,0,0,0,0,0,14,0,34,41,31,0,0,0
"Carroll County, Mississippi",0500000US28015,28,015,133,180,47,50,206,21,126,107,63,316,247,110,122,10,70,132,158,46,0,249,34,55,233,233,247,202,69,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,40,0,0,32,0,0,0,0,3,0,0,0,0,0,0,2,0,15,0,0,141,78,278,93,158,124,100,139,433,413,550,483,264,35,111,77,254,118,132,17,153,86,443,426,541,505,271,88,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0
"Grenada County, Mississippi",0500000US28043,28,043,364,362,343,221,196,250,339,245,548,477,511,298,111,44,339,331,311,171,101,379,391,321,569,662,635,416,230,73,0,0,32,0,44,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,14,15,0,0,0,0,55,0,0,0,0,0,10,21,0,0,0,0,330,396,318,196,290,155,298,209,749,769,802,662,376,48,325,348,328,266,54,381,313,328,724,807,840,750,390,231,0,15,0,0,0,0,0,31,10,25,8,0,0,0,0,0,20,0,0,0,0,0,23,0,8,0,0,0
"Jefferson County, Mississippi",0500000US28063,28,063,323,235,193,98,105,235,228,288,312,374,411,167,162,23,135,180,233,147,115,183,209,206,378,394,461,282,77,156,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,13,54,62,125,137,13,0,0,70,70,0,0,13,0,0,28,142,113,12,36,30,0,0,0,0,0,0,21,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Greene County, Mississippi",0500000US28041,28,041,57,62,94,68,45,318,283,248,595,501,466,50,11,4,66,110,30,32,8,22,19,93,86,145,55,13,14,1,0,0,0,0,0,0,14,0,0,13,23,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,24,0,17,29,0,1,4,0,0,0,0,0,0,0,16,0,0,2,0,0,0,0,1,0,7,0,252,188,428,207,13,435,410,424,746,740,646,481,196,79,243,394,215,190,53,317,275,259,591,602,609,514,291,98,6,6,0,3,4,3,15,36,0,4,29,4,6,0,12,4,3,0,0,0,13,0,0,7,0,0,7,0
"Marshall County, Mississippi",0500000US28093,28,093,504,609,481,327,326,677,690,577,1070,1044,1069,830,84,4,509,608,508,389,390,782,571,494,1031,1112,1148,784,391,125,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,56,57,0,0,0,100,0,39,66,30,0,0,0,67,30,9,0,44,8,32,6,38,0,0,0,0,0,32,0,0,6,0,16,6,46,46,36,38,0,0,0,4,11,0,0,6,0,0,0,0,36,26,8,0,0,476,468,442,289,179,365,497,437,1027,1323,1444,1023,420,160,438,371,513,253,127,454,478,398,898,1194,1466,1102,672,154,62,99,57,0,100,0,111,5,80,112,30,21,0,0,108,30,117,4,44,80,32,9,83,2,0,74,21,0
"Quitman County, Mississippi",0500000US28119,28,119,173,215,190,136,73,194,185,80,331,312,327,159,49,40,195,191,170,125,21,262,181,159,370,409,365,210,100,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,6,0,4,0,0,0,0,0,0,5,0,0,0,0,6,7,0,0,0,0,0,0,8,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,75,8,55,16,7,33,69,17,82,145,170,148,93,6,46,23,87,20,0,58,11,74,121,132,157,165,114,33,17,17,0,5,0,5,0,15,14,4,0,0,0,0,0,0,5,12,0,0,0,6,7,0,0,0,0,0
