County Name,GEO_ID,HOUSEHOLDS BY TYPE_Total households_Estimate,HOUSEHOLDS BY TYPE_Total households_Family households (families)_Estimate,HOUSEHOLDS BY TYPE_Total households_Family households (families)_With own children of the householder under 18 years_Estimate,HOUSEHOLDS BY TYPE_Total households_Family households (families)_Married-couple family_Estimate,HOUSEHOLDS BY TYPE_Total households_Family households (families)_Married-couple family_With own children of the householder under 18 years_Estimate,"HOUSEHOLDS BY TYPE_Total households_Family households (families)_Male householder, no wife present, family_Estimate","HOUSEHOLDS BY TYPE_Total households_Family households (families)_Male householder, no wife present, family_With own children of the householder under 18 years_Estimate","HOUSEHOLDS BY TYPE_Total households_Family households (families)_Female householder, no husband present, family_Estimate","HOUSEHOLDS BY TYPE_Total households_Family households (families)_Female householder, no husband present, family_With own children of the householder under 18 years_Estimate",HOUSEHOLDS BY TYPE_Total households_Nonfamily households_Estimate,HOUSEHOLDS BY TYPE_Total households_Nonfamily households_Householder living alone_Estimate,HOUSEHOLDS BY TYPE_Total households_Nonfamily households_Householder living alone_65 years and over_Estimate,HOUSEHOLDS BY TYPE_Total households_Households with one or more people under 18 years_Estimate,HOUSEHOLDS BY TYPE_Total households_Households with one or more people 65 years and over_Estimate,HOUSEHOLDS BY TYPE_Total households_Average household size_Estimate,HOUSEHOLDS BY TYPE_Total households_Average family size_Estimate,RELATIONSHIP_Population in households_Estimate,RELATIONSHIP_Population in households_Householder_Estimate,RELATIONSHIP_Population in households_Spouse_Estimate,RELATIONSHIP_Population in households_Child_Estimate,RELATIONSHIP_Population in households_Other relatives_Estimate,RELATIONSHIP_Population in households_Nonrelatives_Estimate,RELATIONSHIP_Population in households_Nonrelatives_Unmarried partner_Estimate,MARITAL STATUS_Males 15 years and over_Estimate,MARITAL STATUS_Males 15 years and over_Never married_Estimate,"MARITAL STATUS_Males 15 years and over_Now married, except separated_Estimate",MARITAL STATUS_Males 15 years and over_Separated_Estimate,MARITAL STATUS_Males 15 years and over_Widowed_Estimate,MARITAL STATUS_Males 15 years and over_Divorced_Estimate,MARITAL STATUS_Females 15 years and over_Estimate,MARITAL STATUS_Females 15 years and over_Never married_Estimate,"MARITAL STATUS_Females 15 years and over_Now married, except separated_Estimate",MARITAL STATUS_Females 15 years and over_Separated_Estimate,MARITAL STATUS_Females 15 years and over_Widowed_Estimate,MARITAL STATUS_Females 15 years and over_Divorced_Estimate,FERTILITY_Number of women 15 to 50 years old who had a birth in the past 12 months_Estimate,"FERTILITY_Number of women 15 to 50 years old who had a birth in the past 12 months_Unmarried women (widowed, divorced, and never married)_Estimate","FERTILITY_Number of women 15 to 50 years old who had a birth in the past 12 months_Unmarried women (widowed, divorced, and never married)_Per 1,000 unmarried women_Estimate","FERTILITY_Number of women 15 to 50 years old who had a birth in the past 12 months_Per 1,000 women 15 to 50 years old_Estimate","FERTILITY_Number of women 15 to 50 years old who had a birth in the past 12 months_Per 1,000 women 15 to 19 years old_Estimate","FERTILITY_Number of women 15 to 50 years old who had a birth in the past 12 months_Per 1,000 women 20 to 34 years old_Estimate","FERTILITY_Number of women 15 to 50 years old who had a birth in the past 12 months_Per 1,000 women 35 to 50 years old_Estimate",GRANDPARENTS_Number of grandparents living with own grandchildren under 18 years_Estimate,GRANDPARENTS_Number of grandparents living with own grandchildren under 18 years_Grandparents responsible for grandchildren_Estimate,GRANDPARENTS_Number of grandparents living with own grandchildren under 18 years_Years responsible for grandchildren_Less than 1 year_Estimate,GRANDPARENTS_Number of grandparents living with own grandchildren under 18 years_Years responsible for grandchildren_1 or 2 years_Estimate,GRANDPARENTS_Number of grandparents living with own grandchildren under 18 years_Years responsible for grandchildren_3 or 4 years_Estimate,GRANDPARENTS_Number of grandparents living with own grandchildren under 18 years_Years responsible for grandchildren_5 or more years_Estimate,GRANDPARENTS_Number of grandparents responsible for own grandchildren under 18 years_Estimate,GRANDPARENTS_Number of grandparents responsible for own grandchildren under 18 years_Who are female_Estimate,GRANDPARENTS_Number of grandparents responsible for own grandchildren under 18 years_Who are married_Estimate,SCHOOL ENROLLMENT_Population 3 years and over enrolled in school_Estimate,"SCHOOL ENROLLMENT_Population 3 years and over enrolled in school_Nursery school, preschool_Estimate",SCHOOL ENROLLMENT_Population 3 years and over enrolled in school_Kindergarten_Estimate,SCHOOL ENROLLMENT_Population 3 years and over enrolled in school_Elementary school (grades 1-8)_Estimate,SCHOOL ENROLLMENT_Population 3 years and over enrolled in school_High school (grades 9-12)_Estimate,SCHOOL ENROLLMENT_Population 3 years and over enrolled in school_College or graduate school_Estimate,EDUCATIONAL ATTAINMENT_Population 25 years and over_Estimate,EDUCATIONAL ATTAINMENT_Population 25 years and over_Less than 9th grade_Estimate,"EDUCATIONAL ATTAINMENT_Population 25 years and over_9th to 12th grade, no diploma_Estimate",EDUCATIONAL ATTAINMENT_Population 25 years and over_High school graduate (includes equivalency)_Estimate,"EDUCATIONAL ATTAINMENT_Population 25 years and over_Some college, no degree_Estimate",EDUCATIONAL ATTAINMENT_Population 25 years and over_Associate's degree_Estimate,EDUCATIONAL ATTAINMENT_Population 25 years and over_Bachelor's degree_Estimate,EDUCATIONAL ATTAINMENT_Population 25 years and over_Graduate or professional degree_Estimate,EDUCATIONAL ATTAINMENT_Population 25 years and over_High school graduate or higher_Estimate,EDUCATIONAL ATTAINMENT_Population 25 years and over_Bachelor's degree or higher_Estimate,VETERAN STATUS_Civilian population 18 years and over_Estimate,VETERAN STATUS_Civilian population 18 years and over_Civilian veterans_Estimate,DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION_Total Civilian Noninstitutionalized Population_Estimate,DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION_Total Civilian Noninstitutionalized Population_With a disability_Estimate,DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION_Under 18 years_Estimate,DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION_Under 18 years_With a disability_Estimate,DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION_18 to 64 years_Estimate,DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION_18 to 64 years_With a disability_Estimate,DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION_65 years and over_Estimate,DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION_65 years and over_With a disability_Estimate,RESIDENCE 1 YEAR AGO_Population 1 year and over_Estimate,RESIDENCE 1 YEAR AGO_Population 1 year and over_Same house_Estimate,RESIDENCE 1 YEAR AGO_Population 1 year and over_Different house in the U.S._Estimate,RESIDENCE 1 YEAR AGO_Population 1 year and over_Different house in the U.S._Same county_Estimate,RESIDENCE 1 YEAR AGO_Population 1 year and over_Different house in the U.S._Different county_Estimate,RESIDENCE 1 YEAR AGO_Population 1 year and over_Different house in the U.S._Different county_Same state_Estimate,RESIDENCE 1 YEAR AGO_Population 1 year and over_Different house in the U.S._Different county_Different state_Estimate,RESIDENCE 1 YEAR AGO_Population 1 year and over_Abroad_Estimate,PLACE OF BIRTH_Total population_Estimate,PLACE OF BIRTH_Total population_Native_Estimate,PLACE OF BIRTH_Total population_Native_Born in United States_Estimate,PLACE OF BIRTH_Total population_Native_Born in United States_State of residence_Estimate,PLACE OF BIRTH_Total population_Native_Born in United States_Different state_Estimate,"PLACE OF BIRTH_Total population_Native_Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)_Estimate",PLACE OF BIRTH_Total population_Foreign born_Estimate,U.S. CITIZENSHIP STATUS_Foreign-born population_Estimate,U.S. CITIZENSHIP STATUS_Foreign-born population_Naturalized U.S. citizen_Estimate,U.S. CITIZENSHIP STATUS_Foreign-born population_Not a U.S. citizen_Estimate,YEAR OF ENTRY_Population born outside the United States_Estimate,YEAR OF ENTRY_Population born outside the United States_Native_Estimate,YEAR OF ENTRY_Population born outside the United States_Native_Entered 2010 or later_Estimate,YEAR OF ENTRY_Population born outside the United States_Native_Entered before 2010_Estimate,YEAR OF ENTRY_Population born outside the United States_Foreign born_Estimate,YEAR OF ENTRY_Population born outside the United States_Foreign born_Entered 2010 or later_Estimate,YEAR OF ENTRY_Population born outside the United States_Foreign born_Entered before 2010_Estimate,"WORLD REGION OF BIRTH OF FOREIGN BORN_Foreign-born population, excluding population born at sea_Estimate","WORLD REGION OF BIRTH OF FOREIGN BORN_Foreign-born population, excluding population born at sea_Europe_Estimate","WORLD REGION OF BIRTH OF FOREIGN BORN_Foreign-born population, excluding population born at sea_Asia_Estimate","WORLD REGION OF BIRTH OF FOREIGN BORN_Foreign-born population, excluding population born at sea_Africa_Estimate","WORLD REGION OF BIRTH OF FOREIGN BORN_Foreign-born population, excluding population born at sea_Oceania_Estimate","WORLD REGION OF BIRTH OF FOREIGN BORN_Foreign-born population, excluding population born at sea_Latin America_Estimate","WORLD REGION OF BIRTH OF FOREIGN BORN_Foreign-born population, excluding population born at sea_Northern America_Estimate",LANGUAGE SPOKEN AT HOME_Population 5 years and over_Estimate,LANGUAGE SPOKEN AT HOME_Population 5 years and over_English only_Estimate,LANGUAGE SPOKEN AT HOME_Population 5 years and over_Language other than English_Estimate,"LANGUAGE SPOKEN AT HOME_Population 5 years and over_Language other than English_Speak English less than ""very well""_Estimate",LANGUAGE SPOKEN AT HOME_Population 5 years and over_Spanish_Estimate,"LANGUAGE SPOKEN AT HOME_Population 5 years and over_Spanish_Speak English less than ""very well""_Estimate",LANGUAGE SPOKEN AT HOME_Population 5 years and over_Other Indo-European languages_Estimate,"LANGUAGE SPOKEN AT HOME_Population 5 years and over_Other Indo-European languages_Speak English less than ""very well""_Estimate",LANGUAGE SPOKEN AT HOME_Population 5 years and over_Asian and Pacific Islander languages_Estimate,"LANGUAGE SPOKEN AT HOME_Population 5 years and over_Asian and Pacific Islander languages_Speak English less than ""very well""_Estimate",LANGUAGE SPOKEN AT HOME_Population 5 years and over_Other languages_Estimate,"LANGUAGE SPOKEN AT HOME_Population 5 years and over_Other languages_Speak English less than ""very well""_Estimate",ANCESTRY_Total population_Estimate,ANCESTRY_Total population_American_Estimate,ANCESTRY_Total population_Arab_Estimate,ANCESTRY_Total population_Czech_Estimate,ANCESTRY_Total population_Danish_Estimate,ANCESTRY_Total population_Dutch_Estimate,ANCESTRY_Total population_English_Estimate,ANCESTRY_Total population_French (except Basque)_Estimate,ANCESTRY_Total population_French Canadian_Estimate,ANCESTRY_Total population_German_Estimate,ANCESTRY_Total population_Greek_Estimate,ANCESTRY_Total population_Hungarian_Estimate,ANCESTRY_Total population_Irish_Estimate,ANCESTRY_Total population_Italian_Estimate,ANCESTRY_Total population_Lithuanian_Estimate,ANCESTRY_Total population_Norwegian_Estimate,ANCESTRY_Total population_Polish_Estimate,ANCESTRY_Total population_Portuguese_Estimate,ANCESTRY_Total population_Russian_Estimate,ANCESTRY_Total population_Scotch-Irish_Estimate,ANCESTRY_Total population_Scottish_Estimate,ANCESTRY_Total population_Slovak_Estimate,ANCESTRY_Total population_Subsaharan African_Estimate,ANCESTRY_Total population_Swedish_Estimate,ANCESTRY_Total population_Swiss_Estimate,ANCESTRY_Total population_Ukrainian_Estimate,ANCESTRY_Total population_Welsh_Estimate,ANCESTRY_Total population_West Indian (excluding Hispanic origin groups)_Estimate,COMPUTERS AND INTERNET USE_Total households_Estimate,COMPUTERS AND INTERNET USE_Total households_With a computer_Estimate,COMPUTERS AND INTERNET USE_Total households_With a broadband Internet subscription_Estimate,State ID,County ID
"Washington County, Mississippi",0500000US28151,18299,11477,4281,5716,1645,1019,403,4742,2233,6822,6091,2228,5694,5465,2.54,3.30,46545,18299,5692,15063,5591,1900,1183,16787,7349,6351,571,696,1820,20024,7949,6099,847,2439,2690,682,440,55,62,12,122,18,1951,1145,108,171,201,665,1145,782,678,12534,1030,461,5707,2898,2438,30308,2551,3972,9254,6622,2213,3476,2220,23785,5696,34711,1824,46637,9169,12326,738,27490,5357,6821,3074,46247,40497,5625,4173,1452,756,696,125,47086,46444,46375,40880,5495,69,642,642,194,448,711,69,0,69,642,187,455,642,80,216,24,0,301,21,43472,42519,953,519,566,294,280,178,64,38,43,9,47086,4869,72,8,5,173,915,269,10,782,34,0,1378,658,10,25,132,0,21,260,232,0,465,30,5,0,29,5,18299,13858,11395,28,151
"Perry County, Mississippi",0500000US28111,4563,3182,1320,2304,935,175,96,703,289,1381,1262,624,1652,1552,2.61,3.20,11902,4563,2302,3502,1184,351,247,4629,1327,2554,140,127,481,5089,1224,2416,130,746,573,192,70,49,71,98,142,0,425,238,33,39,68,98,238,192,125,2759,211,152,1199,720,477,8198,492,1044,3290,1666,808,694,204,6662,898,9196,620,11920,3163,2807,221,7110,1873,2003,1069,11910,10694,1207,560,647,401,246,9,12028,11990,11956,9936,2020,34,38,38,35,3,72,34,0,34,38,8,30,38,10,13,0,0,15,0,11300,11230,70,0,22,0,12,0,8,0,28,0,12028,2833,28,0,0,35,735,294,7,771,0,0,1500,227,0,36,40,0,12,584,307,12,10,21,0,0,14,0,4563,3552,2943,28,111
"Choctaw County, Mississippi",0500000US28019,3164,1874,613,1411,425,117,51,346,137,1290,1245,603,748,1226,2.58,3.52,8163,3164,1387,2615,722,275,84,3333,1120,1651,202,106,254,3480,1019,1453,70,552,386,43,27,27,26,8,62,0,217,120,21,15,6,78,120,79,95,1975,70,89,934,456,426,5799,496,638,2201,954,486,625,399,4665,1024,6473,423,8195,2120,1804,144,4702,1016,1689,960,8230,7315,915,481,434,392,42,0,8321,8292,8255,7046,1209,37,29,29,12,17,66,37,0,37,29,15,14,29,3,24,0,0,2,0,7863,7816,47,11,23,2,15,0,0,0,9,9,8321,1175,46,0,0,17,856,86,2,277,0,16,889,54,0,0,31,2,0,159,200,12,153,0,0,0,14,19,3164,2345,1816,28,019
"Itawamba County, Mississippi",0500000US28057,8706,6120,2456,4448,1662,462,228,1210,566,2586,2241,951,3081,2727,2.57,3.08,22378,8706,4439,6071,2227,935,443,9537,2815,4747,257,432,1286,9736,2364,4876,248,1020,1228,376,227,81,70,3,168,8,923,563,46,176,28,313,563,295,485,5725,213,353,2376,1110,1673,15684,1003,2372,4743,4045,1412,1337,772,12309,2109,18346,1289,23252,4598,5117,154,14273,2699,3862,1745,23140,20488,2643,1144,1499,1334,165,9,23480,23272,23263,17671,5592,9,208,208,69,139,217,9,0,9,208,51,157,208,31,57,22,0,98,0,22218,21783,435,160,205,87,199,42,6,6,25,25,23480,3087,24,0,6,132,1645,414,29,1286,0,24,2470,83,0,82,77,0,98,214,128,0,29,56,0,0,11,0,8706,7103,6093,28,057
"Carroll County, Mississippi",0500000US28015,3658,2627,790,2164,616,119,14,344,160,1031,961,433,917,1509,2.72,3.34,9963,3658,2153,3372,615,165,65,4259,1209,2388,60,233,369,4208,955,2256,128,450,419,111,6,6,58,0,175,7,167,77,0,40,0,37,77,23,54,2129,13,101,998,712,305,7248,402,922,2422,1820,631,692,359,5924,1051,8160,615,9963,1939,1969,39,5792,885,2202,1015,10068,9388,662,405,257,193,64,18,10129,10102,10102,8784,1318,0,27,27,15,12,27,0,0,0,27,0,27,27,0,0,0,0,27,0,9674,9647,27,27,27,27,0,0,0,0,0,0,10129,1164,0,0,32,46,388,116,72,271,0,0,599,325,0,0,0,0,0,129,101,0,0,0,0,0,0,0,3658,2813,2276,28,015
"Grenada County, Mississippi",0500000US28043,8224,5482,2325,3551,1315,290,108,1641,902,2742,2452,1139,2642,2657,2.54,3.15,20929,8224,3553,6740,1476,936,313,7943,2770,3815,172,236,950,9118,2212,3862,514,1326,1204,362,187,72,74,74,150,0,771,292,57,45,43,147,292,198,216,5280,383,277,2408,1205,1007,14357,945,1928,3963,3164,1535,1784,1038,11484,2822,16207,1104,20929,4255,5054,257,12295,2460,3580,1538,21022,17848,3174,2001,1173,596,577,0,21278,21208,21163,17916,3247,45,70,70,8,62,115,45,0,45,70,0,70,70,0,23,0,0,47,0,19920,19754,166,46,66,46,54,0,38,0,8,0,21278,1889,0,0,8,69,1237,284,11,679,18,0,1183,270,0,10,81,0,0,434,165,0,217,0,0,0,14,0,8224,6524,5215,28,043
"Jefferson County, Mississippi",0500000US28063,2530,1583,394,534,53,295,90,754,251,947,941,282,664,942,2.72,3.67,6874,2530,549,2862,818,115,77,2887,1550,698,63,237,339,3016,1207,784,127,532,366,59,59,48,39,0,96,0,305,207,65,27,0,115,207,198,98,1602,77,13,881,323,308,5006,571,690,1808,924,262,272,479,3745,751,5658,266,6874,817,1688,6,4140,488,1046,323,7222,7003,219,15,204,138,66,0,7346,7299,7292,6520,772,7,47,47,30,17,54,7,7,0,47,5,42,47,0,33,0,0,14,0,6888,6787,101,72,46,39,20,5,28,28,7,0,7346,159,0,0,15,0,35,71,0,109,0,0,295,0,0,0,0,0,0,0,0,0,18,50,0,0,0,0,2530,1700,1543,28,063
"Greene County, Mississippi",0500000US28041,4172,2696,1034,2271,797,182,75,243,162,1476,1233,577,1149,1248,2.45,3.15,10208,4172,2367,2956,485,228,162,7171,2721,2750,285,260,1155,4327,555,2559,125,575,513,101,13,15,41,0,74,23,196,123,61,3,0,59,123,74,121,2587,218,203,1217,510,439,9732,614,1617,3463,2506,695,612,225,7501,837,10998,841,10208,2051,2712,159,5897,964,1599,928,13656,11618,2038,575,1463,1318,145,0,13714,13525,13477,9687,3790,48,189,189,17,172,237,48,0,48,189,140,49,189,22,132,0,0,35,0,13072,12926,146,89,134,89,9,0,0,0,3,0,13714,2654,0,11,15,36,1233,333,23,931,36,0,1483,118,0,39,0,0,29,293,673,0,25,4,0,0,14,0,4172,3310,2834,28,041
"Marshall County, Mississippi",0500000US28093,13074,9010,2999,6152,1753,712,208,2146,1038,4064,3556,1346,3576,4271,2.58,3.14,33735,13074,6189,9852,3225,1395,765,14502,5210,7228,290,310,1464,14834,4978,6402,419,1652,1383,366,259,53,47,34,92,6,876,539,60,124,87,268,539,367,404,7930,604,435,3347,1662,1882,24521,1229,3363,9831,5330,1406,2454,908,19929,3362,28046,1820,34431,4835,7715,347,21045,2605,5671,1883,35375,31945,3419,1444,1975,1409,566,11,35787,35257,35131,20172,14959,126,530,530,221,309,656,126,4,122,530,67,463,530,85,36,15,9,385,0,33654,32469,1185,323,1071,256,55,26,2,0,57,41,35787,2515,41,25,3,66,4888,424,41,1256,11,17,2583,608,0,22,87,0,0,261,433,16,84,29,0,0,72,0,13074,10429,7267,28,093
"Quitman County, Mississippi",0500000US28119,3055,1761,570,878,212,121,42,762,316,1294,1183,363,821,938,2.36,3.20,7201,3055,870,1907,1104,265,140,2718,1225,973,200,96,224,3179,1202,915,199,524,339,131,109,90,72,39,126,33,296,200,38,19,55,88,200,160,89,1749,149,88,780,413,319,4930,593,854,1489,1060,373,378,183,3483,561,5583,269,7201,1246,1789,65,4267,741,1145,440,7264,6612,651,481,170,150,20,1,7372,7335,7326,6566,760,9,37,37,12,25,46,9,0,9,37,0,37,37,7,5,0,0,25,0,6866,6826,40,19,35,19,5,0,0,0,0,0,7372,217,0,0,0,17,671,31,0,147,0,0,698,14,0,0,3,0,0,95,30,0,42,0,0,0,13,0,3055,2140,1610,28,119
"Bolivar County, Mississippi",0500000US28011,12159,7654,3198,3975,1236,616,326,3063,1636,4505,4002,1568,3985,3449,2.55,3.28,31050,12159,4005,9599,3860,1427,584,11946,5594,4442,437,442,1031,13837,5739,4281,504,1742,1571,472,236,42,60,13,107,26,864,515,40,147,89,239,515,344,310,9749,626,755,3679,1771,2918,20837,1605,3199,5141,4336,1595,2978,1983,16033,4961,24426,1136,31910,6187,8137,466,19244,3751,4529,1970,32238,28701,3515,2182,1333,993,340,22,32592,32100,32034,27987,4047,66,492,492,140,352,558,66,0,66,492,109,383,492,27,157,6,8,255,39,30333,29403,930,197,649,136,100,0,136,40,45,21,32592,1694,158,0,10,305,1275,263,0,693,1,25,1750,686,9,2,119,9,41,109,141,17,159,73,6,0,89,8,12159,8995,7033,28,011
"Lamar County, Mississippi",0500000US28073,22213,15542,7159,11637,4952,807,432,3098,1775,6671,5540,2001,8113,5276,2.74,3.23,60868,22213,11712,18738,4152,4053,825,22838,7791,12278,424,343,2002,25486,6788,12387,914,2504,2893,845,297,36,53,7,105,13,1253,463,30,107,197,129,463,287,228,17491,1000,868,7340,3395,4888,40319,1350,2374,9460,9283,3650,8948,5254,36595,14202,45394,3810,60529,9149,15440,664,37430,5274,7659,3211,60435,48956,11393,3217,8176,6198,1978,86,61223,59562,58938,42309,16629,624,1661,1661,888,773,2285,624,140,484,1661,336,1325,1661,288,675,33,62,555,48,57262,55024,2238,758,984,308,179,0,737,280,338,170,61223,12813,717,67,159,100,5752,2603,36,4812,124,17,6868,1430,0,129,331,9,438,2148,1534,0,22,62,0,34,174,62,22213,20259,18088,28,073
"Lee County, Mississippi",0500000US28081,32267,21618,9268,15034,5749,1785,1040,4799,2479,10649,9378,3450,10808,8683,2.60,3.21,83940,32267,14928,26522,6308,3915,1894,31387,9896,16053,518,884,4036,35472,9531,15898,869,3424,5750,1317,634,56,65,12,121,28,2299,1083,320,227,105,431,1083,713,727,21074,1291,1158,10009,4509,4107,56010,2326,6767,14003,13880,5667,8570,4797,46917,13367,63098,4063,83971,13228,21694,817,50752,7459,11525,4952,83724,71237,12362,7542,4820,3561,1259,125,84915,83261,82849,64561,18288,412,1654,1654,362,1292,2066,412,12,400,1654,499,1155,1654,126,558,19,55,888,8,79100,76447,2653,928,1685,657,338,137,492,103,138,31,84915,8670,83,61,88,566,6261,727,58,3662,101,37,7198,970,6,105,324,31,71,1449,1829,0,242,124,68,0,271,21,32267,26950,23537,28,081
"Pike County, Mississippi",0500000US28113,14676,9119,3777,5680,1812,577,297,2862,1668,5557,5234,1748,4567,4343,2.63,3.48,38662,14676,5677,13512,3453,1344,372,14408,5593,6487,508,440,1380,16647,5642,6160,851,1917,2077,355,247,43,39,31,81,0,1172,689,133,162,152,242,689,562,391,10389,773,843,4386,2228,2159,25520,1471,3199,9095,5112,2683,2600,1360,20850,3960,29298,1875,39093,6689,10437,538,22483,3336,6173,2815,39325,35145,4137,2407,1730,936,794,43,39737,39515,39360,30337,9023,155,222,222,107,115,377,155,0,155,222,48,174,222,26,111,24,0,56,5,37033,35704,1329,618,922,415,218,118,165,85,24,0,39737,6745,0,19,12,26,1449,455,141,941,0,4,1276,468,0,4,43,9,16,360,297,0,196,44,33,0,28,5,14676,10570,7580,28,113
