County Name,SEX AND AGE_Total population_65 years and over_Sex ratio (males per 100 females)_Estimate,RACE_Total population_Estimate,RACE_Total population_One race_Estimate,RACE_Total population_Two or more races_Estimate,RACE_Total population_One race_White_Estimate,RACE_Total population_One race_Black or African American_Estimate,RACE_Total population_One race_American Indian and Alaska Native_Estimate,RACE_Total population_One race_American Indian and Alaska Native_Cherokee tribal grouping_Estimate,RACE_Total population_One race_American Indian and Alaska Native_Chippewa tribal grouping_Estimate,RACE_Total population_One race_American Indian and Alaska Native_Navajo tribal grouping_Estimate,RACE_Total population_One race_American Indian and Alaska Native_Sioux tribal grouping_Estimate,RACE_Total population_One race_Asian_Estimate,RACE_Total population_One race_Asian_Asian Indian_Estimate,RACE_Total population_One race_Asian_Chinese_Estimate,RACE_Total population_One race_Asian_Filipino_Estimate,RACE_Total population_One race_Asian_Japanese_Estimate,RACE_Total population_One race_Asian_Korean_Estimate,RACE_Total population_One race_Asian_Vietnamese_Estimate,RACE_Total population_One race_Asian_Other Asian_Estimate,RACE_Total population_One race_Native Hawaiian and Other Pacific Islander_Estimate,RACE_Total population_One race_Native Hawaiian and Other Pacific Islander_Native Hawaiian_Estimate,RACE_Total population_One race_Native Hawaiian and Other Pacific Islander_Guamanian or Chamorro_Estimate,RACE_Total population_One race_Native Hawaiian and Other Pacific Islander_Samoan_Estimate,RACE_Total population_One race_Native Hawaiian and Other Pacific Islander_Other Pacific Islander_Estimate,RACE_Total population_One race_Some other race_Estimate,RACE_Total population_Two or more races_White and Black or African American_Estimate,RACE_Total population_Two or more races_White and American Indian and Alaska Native_Estimate,RACE_Total population_Two or more races_White and Asian_Estimate,RACE_Total population_Two or more races_Black or African American and American Indian and Alaska Native_Estimate,Race alone or in combination with one or more other races_Total population_Estimate,Race alone or in combination with one or more other races_Total population_White_Estimate,Race alone or in combination with one or more other races_Total population_Black or African American_Estimate,Race alone or in combination with one or more other races_Total population_American Indian and Alaska Native_Estimate,Race alone or in combination with one or more other races_Total population_Asian_Estimate,Race alone or in combination with one or more other races_Total population_Native Hawaiian and Other Pacific Islander_Estimate,Race alone or in combination with one or more other races_Total population_Some other race_Estimate,HISPANIC OR LATINO AND RACE_Total population_Estimate,HISPANIC OR LATINO AND RACE_Total population_Hispanic or Latino (of any race)_Estimate,HISPANIC OR LATINO AND RACE_Total population_Hispanic or Latino (of any race)_Mexican_Estimate,HISPANIC OR LATINO AND RACE_Total population_Hispanic or Latino (of any race)_Puerto Rican_Estimate,HISPANIC OR LATINO AND RACE_Total population_Hispanic or Latino (of any race)_Cuban_Estimate,HISPANIC OR LATINO AND RACE_Total population_Hispanic or Latino (of any race)_Other Hispanic or Latino_Estimate,HISPANIC OR LATINO AND RACE_Total population_Not Hispanic or Latino_Estimate,HISPANIC OR LATINO AND RACE_Total population_Not Hispanic or Latino_White alone_Estimate,HISPANIC OR LATINO AND RACE_Total population_Not Hispanic or Latino_Black or African American alone_Estimate,HISPANIC OR LATINO AND RACE_Total population_Not Hispanic or Latino_American Indian and Alaska Native alone_Estimate,HISPANIC OR LATINO AND RACE_Total population_Not Hispanic or Latino_Asian alone_Estimate,HISPANIC OR LATINO AND RACE_Total population_Not Hispanic or Latino_Native Hawaiian and Other Pacific Islander alone_Estimate,HISPANIC OR LATINO AND RACE_Total population_Not Hispanic or Latino_Some other race alone_Estimate,HISPANIC OR LATINO AND RACE_Total population_Not Hispanic or Latino_Two or more races_Estimate,HISPANIC OR LATINO AND RACE_Total population_Not Hispanic or Latino_Two or more races_Two races including Some other race_Estimate,"HISPANIC OR LATINO AND RACE_Total population_Not Hispanic or Latino_Two or more races_Two races excluding Some other race, and Three or more races_Estimate",Total housing units__Estimate,"CITIZEN, VOTING AGE POPULATION_Citizen, 18 and over population_Estimate","CITIZEN, VOTING AGE POPULATION_Citizen, 18 and over population_Male_Estimate","CITIZEN, VOTING AGE POPULATION_Citizen, 18 and over population_Female_Estimate",GEO_ID,SEX AND AGE_Total population_Estimate,SEX AND AGE_Total population_Male_Estimate,SEX AND AGE_Total population_Female_Estimate,SEX AND AGE_Total population_Sex ratio (males per 100 females)_Estimate,SEX AND AGE_Total population_Under 5 years_Estimate,SEX AND AGE_Total population_5 to 9 years_Estimate,SEX AND AGE_Total population_10 to 14 years_Estimate,SEX AND AGE_Total population_15 to 19 years_Estimate,SEX AND AGE_Total population_20 to 24 years_Estimate,SEX AND AGE_Total population_25 to 34 years_Estimate,SEX AND AGE_Total population_35 to 44 years_Estimate,SEX AND AGE_Total population_45 to 54 years_Estimate,SEX AND AGE_Total population_55 to 59 years_Estimate,SEX AND AGE_Total population_60 to 64 years_Estimate,SEX AND AGE_Total population_65 to 74 years_Estimate,SEX AND AGE_Total population_75 to 84 years_Estimate,SEX AND AGE_Total population_85 years and over_Estimate,SEX AND AGE_Total population_Median age (years)_Estimate,SEX AND AGE_Total population_Under 18 years_Estimate,SEX AND AGE_Total population_16 years and over_Estimate,SEX AND AGE_Total population_18 years and over_Estimate,SEX AND AGE_Total population_21 years and over_Estimate,SEX AND AGE_Total population_62 years and over_Estimate,SEX AND AGE_Total population_65 years and over_Estimate,SEX AND AGE_Total population_18 years and over_Male_Estimate,SEX AND AGE_Total population_18 years and over_Female_Estimate,SEX AND AGE_Total population_18 years and over_Sex ratio (males per 100 females)_Estimate,SEX AND AGE_Total population_65 years and over_Male_Estimate,SEX AND AGE_Total population_65 years and over_Female_Estimate,State ID,County ID
"Washington County, Mississippi",72.4,47086,46808,278,12097,33982,56,6,0,0,0,282,143,103,12,11,4,9,0,0,0,0,0,0,391,7,89,85,5,47086,12370,34012,150,367,0,483,47086,729,579,0,0,150,46357,11921,33893,56,282,0,38,167,0,167,21591,34346,15527,18819,0500000US28151,47086,22018,25068,87.8,3614,3107,3554,3152,3351,5844,5236,5760,3224,3291,4282,1961,710,36.9,12349,36109,34737,32764,8859,6953,15758,18979,83.0,2919,4034,28,151
"Perry County, Mississippi",79.1,12028,11876,152,9475,2368,0,0,0,0,0,17,0,0,0,11,0,0,6,0,0,0,0,0,16,79,44,13,11,12028,9616,2458,55,30,0,21,12028,181,150,5,0,26,11847,9299,2368,0,17,0,16,147,0,147,5620,9216,4399,4817,0500000US28111,12028,5845,6183,94.5,728,776,806,849,671,1279,1562,1602,786,897,1247,589,236,40.9,2809,9508,9219,8711,2538,2072,4399,4820,91.3,915,1157,28,111
"Choctaw County, Mississippi",77.4,8321,8286,35,5631,2596,23,0,0,0,0,15,15,0,0,0,0,0,0,8,0,8,0,0,13,14,3,0,0,8321,5666,2628,26,15,26,13,8321,33,14,13,0,6,8288,5613,2594,23,15,8,0,35,0,35,4200,6460,3084,3376,0500000US28019,8321,4174,4147,100.7,458,564,486,598,416,866,921,1092,536,644,979,547,214,44.0,1844,6718,6477,6104,2127,1740,3101,3376,91.9,759,981,28,019
"Itawamba County, Mississippi",78.6,23480,23336,144,21346,1681,75,0,0,0,0,57,43,0,0,0,0,6,8,7,7,0,0,0,170,58,56,18,0,23480,21490,1739,131,75,7,182,23480,360,320,2,0,38,23120,21189,1658,75,57,7,2,132,0,132,10289,18207,8915,9292,0500000US28057,23480,11821,11659,101.4,1262,1439,1506,1919,1670,2753,2830,3142,1519,1435,2250,1181,574,40.0,5134,18949,18346,16948,4810,4005,9012,9334,96.6,1763,2242,28,057
"Carroll County, Mississippi",88.5,10129,10032,97,6523,3503,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,10129,6620,3503,88,0,0,15,10129,29,2,0,0,27,10100,6511,3501,6,0,0,0,82,0,82,5154,8148,4104,4044,0500000US28015,10129,5116,5013,102.1,455,467,740,803,416,812,1212,1390,962,623,1353,726,170,47.0,1969,8404,8160,7484,2610,2249,4116,4044,101.8,1056,1193,28,015
"Grenada County, Mississippi",74.4,21278,21148,130,11736,9238,135,0,0,0,0,23,0,0,23,0,0,0,0,0,0,0,0,0,16,55,39,0,21,21278,11830,9329,195,38,0,16,21278,140,69,0,0,71,21138,11683,9205,135,0,0,0,115,0,115,10240,16145,7495,8650,0500000US28043,21278,10103,11175,90.4,1358,1452,1407,1539,1165,2475,2633,2736,1656,1213,2141,1107,396,39.8,5071,16882,16207,15171,4232,3644,7526,8681,86.7,1554,2090,28,043
"Jefferson County, Mississippi",84.7,7346,7340,6,979,6310,11,0,0,0,0,33,5,0,28,0,0,0,0,0,0,0,0,0,7,0,6,0,0,7346,985,6310,17,33,0,7,7346,28,0,0,0,28,7318,958,6310,11,33,0,0,6,0,6,3744,5641,2773,2868,0500000US28063,7346,3642,3704,98.3,458,485,500,465,432,1007,782,1005,564,553,598,288,209,39.3,1688,5830,5658,5298,1469,1095,2789,2869,97.2,502,593,28,063
"Greene County, Mississippi",87.9,13714,13607,107,10054,3496,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,92,4,1,1,13714,10160,3589,58,8,7,6,13714,162,79,4,0,79,13552,9896,3496,53,0,0,0,107,2,105,5216,10826,6860,3966,0500000US28041,13714,8294,5420,153.0,642,764,810,640,1126,2090,2022,2012,1012,820,1062,532,182,39.1,2716,11370,10998,10784,2235,1776,6893,4105,167.9,831,945,28,041
"Marshall County, Mississippi",76.7,35787,35470,317,17657,17134,15,0,0,0,0,24,0,0,24,0,0,0,0,0,0,0,0,0,640,78,183,0,27,35787,17947,17268,239,39,0,640,35787,1281,1187,16,21,57,34506,17068,17118,15,24,0,0,281,0,281,15474,27758,13701,14057,0500000US28093,35787,17736,18051,98.3,2133,2196,2122,2441,2374,4351,4239,4845,2978,2251,3826,1588,443,40.2,7720,28759,28067,26423,7088,5857,13879,14188,97.8,2542,3315,28,093
"Quitman County, Mississippi",-666666666.0,7372,7354,18,2027,5282,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,40,11,0,0,0,7372,2038,5300,0,7,0,45,7372,107,98,0,0,9,7265,1965,5282,0,5,0,0,13,0,13,3595,5558,2542,3016,0500000US28119,7372,3476,3896,89.2,506,462,507,415,552,797,925,1002,448,578,685,356,139,38.4,1789,5828,5583,5358,1550,1180,2561,3022,84.7,498,682,28,119
"Bolivar County, Mississippi",68.5,32592,32361,231,10803,20941,41,32,0,0,0,213,31,139,39,0,0,4,0,0,0,0,0,0,363,20,5,112,45,32592,10989,21006,91,325,16,396,32592,701,504,74,41,82,31891,10579,20869,41,213,0,0,189,0,189,14362,24134,11009,13125,0500000US28011,32592,15365,17227,89.2,2259,2360,2190,2493,2453,4438,3757,3873,2013,2017,2967,1214,558,35.2,8145,25348,24447,22774,6112,4739,11159,13288,84.0,1927,2812,28,011
