NAME1,NAME,GEO_ID,total_hh,1p_hh,2p_hh,3p_hh,4+,state,county
"Washington County, Mississippi","Washington County, Mississippi",0500000US28151,18299,6091,5909,2509,3790,28,151
"Perry County, Mississippi","Perry County, Mississippi",0500000US28111,4563,1262,1304,930,1067,28,111
"Choctaw County, Mississippi","Choctaw County, Mississippi",0500000US28019,3164,1245,980,467,472,28,019
"Itawamba County, Mississippi","Itawamba County, Mississippi",0500000US28057,8706,2241,3113,1584,1768,28,057
"Carroll County, Mississippi","Carroll County, Mississippi",0500000US28015,3658,961,1537,500,660,28,015
"Grenada County, Mississippi","Grenada County, Mississippi",0500000US28043,8224,2452,2694,1555,1523,28,043
"Jefferson County, Mississippi","Jefferson County, Mississippi",0500000US28063,2530,941,799,364,426,28,063
"Greene County, Mississippi","Greene County, Mississippi",0500000US28041,4172,1233,1522,564,853,28,041
"Marshall County, Mississippi","Marshall County, Mississippi",0500000US28093,13074,3556,5094,1772,2652,28,093
"Quitman County, Mississippi","Quitman County, Mississippi",0500000US28119,3055,1183,809,456,607,28,119
"Bolivar County, Mississippi","Bolivar County, Mississippi",0500000US28011,12159,4002,3668,2077,2412,28,011
"Lamar County, Mississippi","Lamar County, Mississippi",0500000US28073,22213,5540,7560,4074,5039,28,073
"Lee County, Mississippi","Lee County, Mississippi",0500000US28081,32267,9378,10321,5637,6931,28,081
"Pike County, Mississippi","Pike County, Mississippi",0500000US28113,14676,5234,4770,1989,2683,28,113
"Tallahatchie County, Mississippi","Tallahatchie County, Mississippi",0500000US28135,4253,1276,1360,686,931,28,135
"Smith County, Mississippi","Smith County, Mississippi",0500000US28129,5872,1573,2156,894,1249,28,129
"Stone County, Mississippi","Stone County, Mississippi",0500000US28131,6135,1519,2116,1135,1365,28,131
"Warren County, Mississippi","Warren County, Mississippi",0500000US28149,18766,6214,5878,2898,3776,28,149
"Clarke County, Mississippi","Clarke County, Mississippi",0500000US28023,6258,1814,2259,1041,1144,28,023
"Kemper County, Mississippi","Kemper County, Mississippi",0500000US28069,3710,1360,1161,541,648,28,069
"Montgomery County, Mississippi","Montgomery County, Mississippi",0500000US28097,4619,1246,1660,878,835,28,097
"Oktibbeha County, Mississippi","Oktibbeha County, Mississippi",0500000US28105,17687,5767,5882,3081,2957,28,105
"Pearl River County, Mississippi","Pearl River County, Mississippi",0500000US28109,20752,5393,7132,3207,5020,28,109
"Leake County, Mississippi","Leake County, Mississippi",0500000US28079,8168,2306,2690,1314,1858,28,079
"Noxubee County, Mississippi","Noxubee County, Mississippi",0500000US28103,4020,1251,1218,632,919,28,103
"Neshoba County, Mississippi","Neshoba County, Mississippi",0500000US28099,10699,3072,3129,1829,2669,28,099
"Rankin County, Mississippi","Rankin County, Mississippi",0500000US28121,55595,13149,19080,9722,13644,28,121
"Tate County, Mississippi","Tate County, Mississippi",0500000US28137,10264,2183,3569,1559,2953,28,137
"Lawrence County, Mississippi","Lawrence County, Mississippi",0500000US28077,4793,1275,1727,780,1011,28,077
"Panola County, Mississippi","Panola County, Mississippi",0500000US28107,12447,3858,3988,1843,2758,28,107
"Yalobusha County, Mississippi","Yalobusha County, Mississippi",0500000US28161,5161,1577,2082,765,737,28,161
"Chickasaw County, Mississippi","Chickasaw County, Mississippi",0500000US28017,6426,1911,2024,1020,1471,28,017
"Copiah County, Mississippi","Copiah County, Mississippi",0500000US28029,9623,2780,3058,1467,2318,28,029
"George County, Mississippi","George County, Mississippi",0500000US28039,7362,2053,2766,898,1645,28,039
"Hinds County, Mississippi","Hinds County, Mississippi",0500000US28049,88705,27694,26956,15027,19028,28,049
"Newton County, Mississippi","Newton County, Mississippi",0500000US28101,8042,2276,2559,1124,2083,28,101
"Union County, Mississippi","Union County, Mississippi",0500000US28145,9951,2750,3619,1342,2240,28,145
"Sharkey County, Mississippi","Sharkey County, Mississippi",0500000US28125,1755,674,521,173,387,28,125
"Tippah County, Mississippi","Tippah County, Mississippi",0500000US28139,7983,2076,3194,1062,1651,28,139
"Forrest County, Mississippi","Forrest County, Mississippi",0500000US28035,28033,8302,9401,4632,5698,28,035
"Hancock County, Mississippi","Hancock County, Mississippi",0500000US28045,19519,5492,7263,2997,3767,28,045
"Lafayette County, Mississippi","Lafayette County, Mississippi",0500000US28071,19317,5568,6823,3068,3858,28,071
"Issaquena County, Mississippi","Issaquena County, Mississippi",0500000US28055,484,177,195,34,78,28,055
"Lowndes County, Mississippi","Lowndes County, Mississippi",0500000US28087,22742,6686,7693,3747,4616,28,087
"Leflore County, Mississippi","Leflore County, Mississippi",0500000US28083,10224,3753,2661,1530,2280,28,083
"Wilkinson County, Mississippi","Wilkinson County, Mississippi",0500000US28157,2898,1104,934,401,459,28,157
"Harrison County, Mississippi","Harrison County, Mississippi",0500000US28047,78863,22723,26752,12824,16564,28,047
"Jefferson Davis County, Mississippi","Jefferson Davis County, Mississippi",0500000US28065,4839,1672,1538,964,665,28,065
"Lincoln County, Mississippi","Lincoln County, Mississippi",0500000US28085,12827,3555,4386,2330,2556,28,085
"Scott County, Mississippi","Scott County, Mississippi",0500000US28123,10435,2924,3201,1499,2811,28,123
"Winston County, Mississippi","Winston County, Mississippi",0500000US28159,7396,2199,2790,1045,1362,28,159
"Yazoo County, Mississippi","Yazoo County, Mississippi",0500000US28163,8689,2850,2559,1371,1909,28,163
"Benton County, Mississippi","Benton County, Mississippi",0500000US28009,3033,976,1058,448,551,28,009
"Franklin County, Mississippi","Franklin County, Mississippi",0500000US28037,3004,740,1111,544,609,28,037
"Jasper County, Mississippi","Jasper County, Mississippi",0500000US28061,6690,1801,2381,1199,1309,28,061
"Jones County, Mississippi","Jones County, Mississippi",0500000US28067,24774,6696,9063,3431,5584,28,067
"Monroe County, Mississippi","Monroe County, Mississippi",0500000US28095,14043,4458,4938,1942,2705,28,095
"Sunflower County, Mississippi","Sunflower County, Mississippi",0500000US28133,8389,2560,2672,1305,1852,28,133
"Webster County, Mississippi","Webster County, Mississippi",0500000US28155,3787,964,1281,704,838,28,155
"Adams County, Mississippi","Adams County, Mississippi",0500000US28001,11341,3962,3766,1797,1816,28,001
"Clay County, Mississippi","Clay County, Mississippi",0500000US28025,7755,2217,2653,1309,1576,28,025
"Covington County, Mississippi","Covington County, Mississippi",0500000US28031,6794,1728,2535,948,1583,28,031
"Humphreys County, Mississippi","Humphreys County, Mississippi",0500000US28053,3171,932,1058,514,667,28,053
"Madison County, Missouri","Madison County, Missouri",0500000US29123,5002,1284,1969,708,1041,29,123
"Wright County, Missouri","Wright County, Missouri",0500000US29229,7292,2140,2633,935,1584,29,229
"Vernon County, Missouri","Vernon County, Missouri",0500000US29217,8170,2395,3178,1156,1441,29,217
"Saline County, Missouri","Saline County, Missouri",0500000US29195,8562,2743,2855,1137,1827,29,195
"Nodaway County, Missouri","Nodaway County, Missouri",0500000US29147,8275,2160,3557,1075,1483,29,147
"Chariton County, Missouri","Chariton County, Missouri",0500000US29041,2779,825,1129,311,514,29,041
"Grundy County, Missouri","Grundy County, Missouri",0500000US29079,3985,1327,1460,492,706,29,079
"Morgan County, Missouri","Morgan County, Missouri",0500000US29141,7755,2302,3362,632,1459,29,141
"Wayne County, Missouri","Wayne County, Missouri",0500000US29223,5448,1552,2194,744,958,29,223
"Bollinger County, Missouri","Bollinger County, Missouri",0500000US29017,4669,1208,1811,750,900,29,017
"Cape Girardeau County, Missouri","Cape Girardeau County, Missouri",0500000US29031,29366,7991,11366,4445,5564,29,031
"Shelby County, Missouri","Shelby County, Missouri",0500000US29205,2459,731,924,330,474,29,205
"Webster County, Missouri","Webster County, Missouri",0500000US29225,13496,3112,4929,1868,3587,29,225
"Atchison County, Missouri","Atchison County, Missouri",0500000US29005,2505,881,897,341,386,29,005
