,GEO_ID,name,rentersless30,renters3050,renters5080,renters80100,renters100up,ownersless30,owners3050,owners5080,owners80100,owners100up,runitsless30,runits3050,runits5080,runits80up,ounitsless50,ounits5080,ounits80100,ounits100up,less30rentgap,3050rentgap,80uprentgap,less50owngap,5080owngap,80100owngap,100upowngap
0,05000US01001,"Autauga County, Alabama",1275,875,789,675,2005,1089,1454,2244,2115,9155,800,1085,2585,1160,6010,3744,2750,3024,475,-1796,1520,-3467,-1500,-635,6131
1,05000US01003,"Baldwin County, Alabama",3830,3339,4575,2735,6199,4009,4955,8559,7925,32499,3560,3895,9420,3790,12260,17099,7935,21045,270,-4845,5144,-3296,-8540,-10,11454
2,05000US01005,"Barbour County, Alabama",1100,694,690,247,720,398,553,1090,1039,3104,890,1080,1340,135,2823,1340,460,1323,210,-650,832,-1872,-250,579,1781
3,05000US01007,"Bibb County, Alabama",529,284,528,88,277,459,624,1184,1024,2290,510,650,484,60,2980,1358,360,569,19,44,305,-1897,-174,664,1721
4,05000US01009,"Blount County, Alabama",1374,979,1125,229,755,1649,1663,3478,3253,7295,1610,2120,570,140,8204,4634,1549,2080,-236,555,844,-4892,-1156,1704,5215
5,05000US01011,"Bullock County, Alabama",519,180,269,45,98,340,200,443,318,1440,330,270,400,105,1755,325,65,429,189,-131,38,-1215,118,253,1011
6,05000US01013,"Butler County, Alabama",572,397,242,300,604,334,769,758,709,2630,645,605,680,174,2424,1115,470,1095,-73,-438,730,-1321,-357,239,1535
7,05000US01015,"Calhoun County, Alabama",3415,2359,3024,1204,3810,2129,2515,4619,4665,18910,2375,4320,6135,970,14245,7345,4000,6525,1040,-3111,4044,-9601,-2726,665,12385
8,05000US01017,"Chambers County, Alabama",844,630,969,342,1809,590,1230,1550,1264,4798,725,965,1980,920,4635,2135,864,1754,119,-1011,1231,-2815,-585,400,3044
9,05000US01019,"Cherokee County, Alabama",625,405,560,199,574,594,800,1469,1380,4740,580,760,725,294,3140,1875,1135,2590,45,-165,479,-1746,-406,245,2150
10,05000US01021,"Chilton County, Alabama",929,805,920,529,955,1140,1280,1879,1589,7378,925,1200,1755,260,6145,2469,1265,3020,4,-835,1224,-3725,-590,324,4358
11,05000US01023,"Choctaw County, Alabama",377,268,171,79,174,447,484,912,857,2089,350,394,309,30,2635,760,250,730,27,-138,223,-1704,152,607,1359
12,05000US01025,"Clarke County, Alabama",1270,323,534,269,885,795,730,900,749,3353,1390,950,765,170,3050,1200,689,1469,-120,-231,984,-1525,-300,60,1884
13,05000US01027,"Clay County, Alabama",269,198,278,130,363,378,395,840,669,2115,510,470,265,20,1970,915,359,904,-241,13,473,-1197,-75,310,1211
14,05000US01029,"Cleburne County, Alabama",410,262,319,118,365,389,484,750,650,2295,480,450,414,125,1655,999,395,1264,-70,-95,358,-782,-249,255,1031
15,05000US01031,"Coffee County, Alabama",1549,1250,1584,739,1665,886,1114,1963,1532,7731,1490,2390,2025,895,4728,3450,2074,2893,59,-441,1509,-2728,-1487,-542,4838
16,05000US01033,"Colbert County, Alabama",1554,1255,1285,539,1330,1334,1709,2020,2055,9255,1405,2060,2195,315,7680,4260,1525,2835,149,-910,1554,-4637,-2240,530,6420
17,05000US01035,"Conecuh County, Alabama",254,388,133,109,174,500,500,683,604,1640,300,405,315,45,2235,865,310,325,-46,-182,238,-1235,-182,294,1315
18,05000US01037,"Coosa County, Alabama",137,199,159,157,190,200,449,618,553,1624,365,225,235,10,1745,850,275,595,-228,-76,337,-1096,-232,278,1029
