map,age,sex
NA_AN_Female0_4,0-4 years,Female
Asian_Female0_4,0-4 years,Female
Black_Female0_4,0-4 years,Female
White_Female0_4,0-4 years,Female
NA_AN_Male0_4,0-4 years,Male
Asian_Male0_4,0-4 years,Male
Black_Male0_4,0-4 years,Male
White_Male0_4,0-4 years,Male
NA_AN_Female5_9,5-9 years,Female
Asian_Female5_9,5-9 years,Female
Black_Female5_9,5-9 years,Female
White_Female5_9,5-9 years,Female
NA_AN_Male5_9,5-9 years,Male
Asian_Male5_9,5-9 years,Male
Black_Male5_9,5-9 years,Male
White_Male5_9,5-9 years,Male
NA_AN_Female10_14,10-14 years,Female
Asian_Female10_14,10-14 years,Female
Black_Female10_14,10-14 years,Female
White_Female10_14,10-14 years,Female
NA_AN_Male10_14,10-14 years,Male
Asian_Male10_14,10-14 years,Male
Black_Male10_14,10-14 years,Male
White_Male10_14,10-14 years,Male
NA_AN_Female15_19,15-19 years,Female
Asian_Female15_19,15-19 years,Female
Black_Female15_19,15-19 years,Female
White_Female15_19,15-19 years,Female
NA_AN_Male15_19,15-19 years,Male
Asian_Male15_19,15-19 years,Male
Black_Male15_19,15-19 years,Male
White_Male15_19,15-19 years,Male
NA_AN_Female20_24,20-24 years,Female
Asian_Female20_24,20-24 years,Female
Black_Female20_24,20-24 years,Female
White_Female20_24,20-24 years,Female
NA_AN_Male20_24,20-24 years,Male
Asian_Male20_24,20-24 years,Male
Black_Male20_24,20-24 years,Male
White_Male20_24,20-24 years,Male
NA_AN_Female25_29,25-29 years,Female
Asian_Female25_29,25-29 years,Female
Black_Female25_29,25-29 years,Female
White_Female25_29,25-29 years,Female
NA_AN_Male25_29,25-29 years,Male
Asian_Male25_29,25-29 years,Male
Black_Male25_29,25-29 years,Male
White_Male25_29,25-29 years,Male
NA_AN_Female35_44,35-44 years,Female
Asian_Female35_44,35-44 years,Female
Black_Female35_44,35-44 years,Female
White_Female35_44,35-44 years,Female
NA_AN_Male35_44,35-44 years,Male
Asian_Male35_44,35-44 years,Male
Black_Male35_44,35-44 years,Male
White_Male35_44,35-44 years,Male
NA_AN_Female45_54,45-54 years,Female
Asian_Female45_54,45-54 years,Female
Black_Female45_54,45-54 years,Female
White_Female45_54,45-54 years,Female
NA_AN_Male45_54,45-54 years,Male
Asian_Male45_54,45-54 years,Male
Black_Male45_54,45-54 years,Male
White_Male45_54,45-54 years,Male
NA_AN_Female55_64,55-64 years,Female
Asian_Female55_64,55-64 years,Female
Black_Female55_64,55-64 years,Female
White_Female55_64,55-64 years,Female
NA_AN_Male55_64,55-64 years,Male
Asian_Male55_64,55-64 years,Male
Black_Male55_64,55-64 years,Male
White_Male55_64,55-64 years,Male
NA_AN_Female65_74,65-74 years,Female
Asian_Female65_74,65-74 years,Female
Black_Female65_74,65-74 years,Female
White_Female65_74,65-74 years,Female
NA_AN_Male65_74,65-74 years,Male
Asian_Male65_74,65-74 years,Male
Black_Male65_74,65-74 years,Male
White_Male65_74,65-74 years,Male
NA_AN_Female75_84,75-84 years,Female
Asian_Female75_84,75-84 years,Female
Black_Female75_84,75-84 years,Female
White_Female75_84,75-84 years,Female
NA_AN_Male75_84,75-84 years,Male
Asian_Male75_84,75-84 years,Male
Black_Male75_84,75-84 years,Male
White_Male75_84,75-84 years,Male
NA_AN_Female85_up,85+ years,Female
Asian_Female85_up,85+ years,Female
Black_Female85_up,85+ years,Female
White_Female85_up,85+ years,Female
NA_AN_Male85_up,85+ years,Male
Asian_Male85_up,85+ years,Male
Black_Male85_up,85+ years,Male
White_Male85_up,85+ years,Male
Other_Male0_4,0-4 years,Male
Other_Male5_9,5-9 years,Male
Other_Male10_14,10-14 years,Male
Other_Male15_19,15-19 years,Male
Other_Male20_24,20-24 years,Male
Other_Male25_29,25-29 years,Male
Other_Male35_44,35-44 years,Male
Other_Male45_54,45-54 years,Male
Other_Male55_64,55-64 years,Male
Other_Male65_74,65-74 years,Male
Other_Male75_84,75-84 years,Male
Other_Male85_up,85+ years,Male
Other_Female0_4,0-4 years,Female
Other_Female5_9,5-9 years,Female
Other_Female10_14,10-14 years,Female
Other_Female15_19,15-19 years,Female
Other_Female20_24,20-24 years,Female
Other_Female25_29,25-29 years,Female
Other_Female35_44,35-44 years,Female
Other_Female45_54,45-54 years,Female
Other_Female55_64,55-64 years,Female
Other_Female65_74,65-74 years,Female
Other_Female75_84,75-84 years,Female
Other_Female85_up,85+ years,Female
Multiple_Male0_4,0-4 years,Male
Multiple_Male5_9,5-9 years,Male
Multiple_Male10_14,10-14 years,Male
Multiple_Male15_19,15-19 years,Male
Multiple_Male20_24,20-24 years,Male
Multiple_Male25_29,25-29 years,Male
Multiple_Male35_44,35-44 years,Male
Multiple_Male45_54,45-54 years,Male
Multiple_Male55_64,55-64 years,Male
Multiple_Male65_74,65-74 years,Male
Multiple_Male75_84,75-84 years,Male
Multiple_Male85_up,85+ years,Male
Multiple_Female0_4,0-4 years,Female
Multiple_Female5_9,5-9 years,Female
Multiple_Female10_14,10-14 years,Female
Multiple_Female15_19,15-19 years,Female
Multiple_Female20_24,20-24 years,Female
Multiple_Female25_29,25-29 years,Female
Multiple_Female35_44,35-44 years,Female
Multiple_Female45_54,45-54 years,Female
Multiple_Female55_64,55-64 years,Female
Multiple_Female65_74,65-74 years,Female
Multiple_Female75_84,75-84 years,Female
Multiple_Female85_up,85+ years,Female
NH_API_Female0_4,0-4 years,Female
NH_API_Male0_4,0-4 years,Male
NH_API_Female5_9,5-9 years,Female
NH_API_Male5_9,5-9 years,Male
NH_API_Female10_14,10-14 years,Female
NH_API_Male10_14,10-14 years,Male
NH_API_Female15_19,15-19 years,Female
NH_API_Male15_19,15-19 years,Male
NH_API_Female20_24,20-24 years,Female
NH_API_Male20_24,20-24 years,Male
NH_API_Female25_29,25-29 years,Female
NH_API_Male25_29,25-29 years,Male
NH_API_Female35_44,35-44 years,Female
NH_API_Male35_44,35-44 years,Male
NH_API_Female45_54,45-54 years,Female
NH_API_Male45_54,45-54 years,Male
NH_API_Female55_64,55-64 years,Female
NH_API_Male55_64,55-64 years,Male
NH_API_Female65_74,65-74 years,Female
NH_API_Male65_74,65-74 years,Male
NH_API_Female75_84,75-84 years,Female
NH_API_Male75_84,75-84 years,Male
NH_API_Female85_up,85+ years,Female
NH_API_Male85_up,85+ years,Male
NA_AN_Female30_34,30-34 years,Female
Asian_Female30_34,30-34 years,Female
Black_Female30_34,30-34 years,Female
White_Female30_34,30-34 years,Female
NA_AN_Male30_34,30-34 years,Male
Asian_Male30_34,30-34 years,Male
Black_Male30_34,30-34 years,Male
White_Male30_34,30-34 years,Male
Other_Male30_34,30-34 years,Male
Other_Female30_34,30-34 years,Female
Multiple_Male30_34,30-34 years,Male
Multiple_Female30_34,30-34 years,Female
Asian_Female30_34,30-34 years,Female
Asian_Male30_34,30-34 years,Male
NH_API_Male30_34,30-34 years,Male
NH_API_Female30_34,30-34 years,Female
Latinx_Male0_4,0-4 years,Male
