Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,state_name,location
2019-12-31,County,AL Alabama,AL Autauga County 01001,9,Public Housing,2,,Autauga County,01001,106,95,101,100,4,11,3.2,326,331,453,15777,4888,16,21,21,12,29,43,3,52,27,91,65,4,72,93,76,23,54,9,4,74,9,13,1,93,91,-1,-1,7,-1,2,-1,2,0,20,101,100,220,14,25,61,11,24,35,64,,,,,,AL,,,Alabama,"Autauga County, Alabama"
2019-12-31,County,AL Alabama,AL Autauga County 01001,9,Housing Choice Vouchers,3,,Autauga County,01001,93,95,144,100,6,7,2.9,424,376,987,14828,5036,17,18,23,14,28,46,2,52,26,91,64,1,82,97,82,18,57,9,5,79,11,5,-1,93,92,-1,-1,7,1,-1,-1,1,1,26,87,99,175,8,44,49,10,16,24,71,,,,,,AL,,,Alabama,"Autauga County, Alabama"
2019-12-31,County,AL Alabama,AL Autauga County 01001,9,Project Based Section 8,5,,Autauga County,01001,53,99,52,99,7,6,1.1,57,252,481,10609,9679,2,58,35,6,-1,-1,-1,100,23,100,88,-1,4,79,4,96,37,61,2,12,35,52,4,54,54,-1,-1,46,-1,-1,-1,0,0,-1,77,96,122,90,10,-1,2,15,25,84,,,,,,AL,,,Alabama,"Autauga County, Alabama"
2019-12-31,County,AL Alabama,AL Baldwin County 01003,9,Public Housing,2,,Baldwin County,01003,194,100,194,100,4,22,2.7,522,284,524,12389,4604,6,36,26,14,17,36,2,52,19,97,84,5,57,90,59,28,66,14,8,60,14,18,1,75,74,-1,1,25,-1,1,-1,1,1,8,69,100,182,29,22,49,9,17,40,67,,,,,,AL,,,Alabama,"Baldwin County, Alabama"
2019-12-31,County,AL Alabama,AL Baldwin County 01003,9,Housing Choice Vouchers,3,,Baldwin County,01003,279,82,283,100,5,8,2.7,769,367,932,14508,5339,9,24,24,16,28,38,0,53,23,95,74,1,61,94,60,25,50,12,3,62,17,18,1,72,71,-1,1,28,-1,1,-1,1,1,23,108,96,201,13,27,60,28,13,23,68,,,,,,AL,,,Alabama,"Baldwin County, Alabama"
2019-12-31,County,AL Alabama,AL Baldwin County 01003,9,Project Based Section 8,5,,Baldwin County,01003,270,93,256,100,6,16,1.6,405,271,588,11993,7581,9,39,27,16,9,16,3,81,22,100,80,2,25,70,23,45,31,25,4,30,14,52,4,36,33,-1,-1,64,-1,2,0,3,1,-1,68,84,92,64,32,4,5,11,14,75,,,,,,AL,,,Alabama,"Baldwin County, Alabama"
2019-12-31,County,AL Alabama,AL Baldwin County 01003,9,202/PRAC,8,,Baldwin County,01003,89,94,91,100,7,22,1.0,94,325,250,13978,13532,-1,26,43,19,12,-1,-1,100,27,98,68,-1,-1,76,-1,-1,1,1,-1,-1,-1,100,10,18,15,-1,-1,82,-1,2,-1,2,0,-1,53,45,52,100,-1,-1,-1,12,23,80,,,,,,AL,,,Alabama,"Baldwin County, Alabama"
2019-12-31,County,AL Alabama,AL Baldwin County 01003,9,811/PRAC,9,,Baldwin County,01003,33,95,30,97,7,10,1.0,30,261,299,11019,11019,-1,67,23,10,-1,3,-1,97,22,100,87,-1,-1,43,-1,100,100,100,3,37,30,30,-1,27,27,-1,-1,73,-1,-1,-1,0,3,-1,87,100,76,100,-1,-1,-1,13,24,72,,,,,,AL,,,Alabama,"Baldwin County, Alabama"
2019-12-31,County,AL Alabama,AL Barbour County 01005,9,Public Housing,2,,Barbour County,01005,417,97,400,99,6,9,2.6,1022,279,465,15387,6022,4,37,22,13,24,45,1,53,36,81,54,2,54,85,54,16,33,10,4,62,16,19,2,97,96,-1,-1,3,0,0,-1,1,1,13,106,100,122,17,33,50,24,33,59,63,,,,,,AL,,,Alabama,"Barbour County, Alabama"
2019-12-31,County,AL Alabama,AL Barbour County 01005,9,Housing Choice Vouchers,3,,Barbour County,01005,351,74,251,97,5,16,1.9,489,335,369,14131,7253,1,33,31,21,14,31,-1,69,35,86,47,1,41,90,42,36,25,18,2,45,26,27,2,80,80,-1,-1,20,-1,1,-1,1,0,7,81,100,190,15,47,38,48,32,54,59,,,,,,AL,,,Alabama,"Barbour County, Alabama"
2019-12-31,County,AL Alabama,AL Barbour County 01005,9,Project Based Section 8,5,,Barbour County,01005,157,97,153,100,6,19,1.8,272,199,560,8850,4978,27,38,17,13,5,12,1,83,23,95,70,2,39,80,39,26,37,18,16,41,14,30,1,75,74,-1,-1,25,1,-1,-1,1,1,-1,51,100,118,56,33,11,5,36,63,62,,,,,,AL,,,Alabama,"Barbour County, Alabama"
2019-12-31,County,AL Alabama,AL Bibb County 01007,9,Public Housing,2,,Bibb County,01007,69,96,66,100,6,21,2.6,169,324,442,17789,6947,3,38,17,11,32,44,-1,56,29,86,65,6,50,86,55,39,80,20,6,61,18,15,-1,91,91,-1,-1,9,-1,-1,-1,0,0,5,74,100,45,15,32,53,26,16,44,66,,,,,,AL,,,Alabama,"Bibb County, Alabama"
2019-12-31,County,AL Alabama,AL Bibb County 01007,9,Project Based Section 8,5,,Bibb County,01007,49,96,51,100,7,22,1.1,57,293,327,12638,11308,-1,45,31,14,10,-1,-1,100,24,98,76,-1,-1,67,-1,100,16,26,-1,-1,14,86,6,41,39,-1,-1,59,-1,2,-1,2,0,-1,58,100,102,90,10,-1,-1,16,43,67,,,,,,AL,,,Alabama,"Bibb County, Alabama"
2019-12-31,County,AL Alabama,AL Blount County 01009,9,Public Housing,2,,Blount County,01009,280,98,274,100,6,16,1.5,416,299,417,13494,8888,2,36,33,14,16,18,-1,81,25,96,76,1,19,78,18,56,28,30,1,29,26,44,4,6,4,1,0,94,-1,1,-1,1,0,6,81,100,167,43,37,20,33,17,16,71,,,,,,AL,,,Alabama,"Blount County, Alabama"
2019-12-31,County,AL Alabama,AL Blount County 01009,9,Housing Choice Vouchers,3,,Blount County,01009,47,100,47,100,5,6,1.4,65,312,361,13674,9888,-1,34,32,17,17,4,-1,96,25,100,72,-1,17,87,17,69,26,28,2,6,19,72,13,15,15,-1,-1,85,-1,-1,-1,0,2,13,105,100,149,9,66,26,72,19,16,69,,,,,,AL,,,Alabama,"Blount County, Alabama"
2019-12-31,County,AL Alabama,AL Blount County 01009,9,Project Based Section 8,5,,Blount County,01009,90,96,88,100,6,20,1.1,94,266,399,11794,11041,-1,45,34,20,1,-1,-1,99,23,100,82,-1,1,70,1,100,73,80,1,13,24,63,7,7,6,-1,-1,92,-1,-1,1,1,0,-1,60,92,105,92,8,-1,2,15,17,72,,,,,,AL,,,Alabama,"Blount County, Alabama"
2019-12-31,County,AL Alabama,AL Bullock County 01011,9,Housing Choice Vouchers,3,,Bullock County,01011,466,81,359,95,7,17,2.4,868,288,374,13737,5681,16,32,17,13,22,36,1,62,32,85,57,1,56,89,55,27,49,13,9,59,18,14,1,98,98,-1,0,2,-1,-1,-1,0,0,5,39,100,112,16,37,47,28,38,81,58,,,,,,AL,,,Alabama,"Bullock County, Alabama"
2019-12-31,County,AL Alabama,AL Butler County 01013,9,Public Housing,2,,Butler County,01013,100,99,99,100,6,15,2.1,206,259,465,15300,7353,12,25,20,20,23,49,2,44,37,79,51,2,46,84,45,23,50,16,9,59,16,16,1,88,88,-1,-1,12,-1,-1,-1,0,1,7,85,100,196,25,34,40,26,22,58,64,,,,,,AL,,,Alabama,"Butler County, Alabama"
2019-12-31,County,AL Alabama,AL Butler County 01013,9,Housing Choice Vouchers,3,,Butler County,01013,181,85,152,99,5,24,2.1,324,300,366,13007,6102,5,33,31,21,9,37,-1,63,32,91,54,1,47,90,47,29,46,18,15,45,17,23,1,84,84,-1,-1,16,-1,-1,-1,0,0,7,54,100,162,28,46,26,26,28,58,59,,,,,,AL,,,Alabama,"Butler County, Alabama"
2019-12-31,County,AL Alabama,AL Butler County 01013,9,Project Based Section 8,5,,Butler County,01013,226,90,201,99,6,17,1.9,391,328,327,14749,7582,3,32,29,19,17,33,-1,67,37,83,48,2,36,84,37,32,52,21,9,44,16,31,2,80,80,-1,-1,20,-1,-1,-1,0,0,-1,93,87,141,31,38,31,31,28,58,58,,,,,,AL,,,Alabama,"Butler County, Alabama"
