"Location","Year","Series","Series Code","Permits"
"Autauga County",1999,"Total Units",1.0,253.0
"Autauga County",2000,"Total Units",1.0,181.0
"Autauga County",2001,"Total Units",1.0,400.0
"Autauga County",2002,"Total Units",1.0,276.0
"Autauga County",2003,"Total Units",1.0,283.0
"Autauga County",2004,"Total Units",1.0,367.0
"Autauga County",2005,"Total Units",1.0,313.0
"Autauga County",2006,"Total Units",1.0,347.0
"Autauga County",2007,"Total Units",1.0,260.0
"Autauga County",2008,"Total Units",1.0,173.0
"Autauga County",2009,"Total Units",1.0,110.0
"Autauga County",2010,"Total Units",1.0,191.0
"Autauga County",2011,"Total Units",1.0,106.0
"Autauga County",2012,"Total Units",1.0,385.0
"Autauga County",2013,"Total Units",1.0,120.0
"Autauga County",2014,"Total Units",1.0,131.0
"Autauga County",2015,"Total Units",1.0,158.0
"Autauga County",2016,"Total Units",1.0,169.0
"Autauga County",2017,"Total Units",1.0,188.0
"Autauga County",2018,"Total Units",1.0,185.0
"Autauga County",2019,"Total Units",1.0,242.0
"Autauga County",1999,"Units in Single-Family Structures",2.0,215.0
"Autauga County",2000,"Units in Single-Family Structures",2.0,181.0
"Autauga County",2001,"Units in Single-Family Structures",2.0,176.0
"Autauga County",2002,"Units in Single-Family Structures",2.0,276.0
"Autauga County",2003,"Units in Single-Family Structures",2.0,283.0
"Autauga County",2004,"Units in Single-Family Structures",2.0,367.0
"Autauga County",2005,"Units in Single-Family Structures",2.0,313.0
"Autauga County",2006,"Units in Single-Family Structures",2.0,347.0
"Autauga County",2007,"Units in Single-Family Structures",2.0,260.0
"Autauga County",2008,"Units in Single-Family Structures",2.0,173.0
"Autauga County",2009,"Units in Single-Family Structures",2.0,110.0
"Autauga County",2010,"Units in Single-Family Structures",2.0,135.0
"Autauga County",2011,"Units in Single-Family Structures",2.0,106.0
"Autauga County",2012,"Units in Single-Family Structures",2.0,129.0
"Autauga County",2013,"Units in Single-Family Structures",2.0,120.0
"Autauga County",2014,"Units in Single-Family Structures",2.0,131.0
"Autauga County",2015,"Units in Single-Family Structures",2.0,158.0
"Autauga County",2016,"Units in Single-Family Structures",2.0,169.0
"Autauga County",2017,"Units in Single-Family Structures",2.0,188.0
"Autauga County",2018,"Units in Single-Family Structures",2.0,185.0
"Autauga County",2019,"Units in Single-Family Structures",2.0,242.0
"Autauga County",1999,"Units in All Multi-Family Structures",3.0,38.0
"Autauga County",2000,"Units in All Multi-Family Structures",3.0,0
"Autauga County",2001,"Units in All Multi-Family Structures",3.0,224.0
"Autauga County",2002,"Units in All Multi-Family Structures",3.0,0
"Autauga County",2003,"Units in All Multi-Family Structures",3.0,0
"Autauga County",2004,"Units in All Multi-Family Structures",3.0,0
"Autauga County",2005,"Units in All Multi-Family Structures",3.0,0
"Autauga County",2006,"Units in All Multi-Family Structures",3.0,0
"Autauga County",2007,"Units in All Multi-Family Structures",3.0,0
"Autauga County",2008,"Units in All Multi-Family Structures",3.0,0
"Autauga County",2009,"Units in All Multi-Family Structures",3.0,0
"Autauga County",2010,"Units in All Multi-Family Structures",3.0,56.0
