"Location","Year","Series","Series Code","Permits"
"Apache County",1999,"Total Units",1.0,89.0
"Apache County",2000,"Total Units",1.0,104.0
"Apache County",2001,"Total Units",1.0,119.0
"Apache County",2002,"Total Units",1.0,79.0
"Apache County",2003,"Total Units",1.0,103.0
"Apache County",2004,"Total Units",1.0,134.0
"Apache County",2005,"Total Units",1.0,143.0
"Apache County",2006,"Total Units",1.0,246.0
"Apache County",2007,"Total Units",1.0,170.0
"Apache County",2008,"Total Units",1.0,95.0
"Apache County",2009,"Total Units",1.0,71.0
"Apache County",2010,"Total Units",1.0,48.0
"Apache County",2011,"Total Units",1.0,40.0
"Apache County",2012,"Total Units",1.0,21.0
"Apache County",2013,"Total Units",1.0,31.0
"Apache County",2014,"Total Units",1.0,38.0
"Apache County",2015,"Total Units",1.0,29.0
"Apache County",2016,"Total Units",1.0,36.0
"Apache County",2017,"Total Units",1.0,46.0
"Apache County",2018,"Total Units",1.0,58.0
"Apache County",2019,"Total Units",1.0,56.0
"Apache County",1999,"Units in Single-Family Structures",2.0,89.0
"Apache County",2000,"Units in Single-Family Structures",2.0,104.0
"Apache County",2001,"Units in Single-Family Structures",2.0,82.0
"Apache County",2002,"Units in Single-Family Structures",2.0,79.0
"Apache County",2003,"Units in Single-Family Structures",2.0,99.0
"Apache County",2004,"Units in Single-Family Structures",2.0,124.0
"Apache County",2005,"Units in Single-Family Structures",2.0,143.0
"Apache County",2006,"Units in Single-Family Structures",2.0,198.0
"Apache County",2007,"Units in Single-Family Structures",2.0,170.0
"Apache County",2008,"Units in Single-Family Structures",2.0,79.0
"Apache County",2009,"Units in Single-Family Structures",2.0,69.0
"Apache County",2010,"Units in Single-Family Structures",2.0,48.0
"Apache County",2011,"Units in Single-Family Structures",2.0,40.0
"Apache County",2012,"Units in Single-Family Structures",2.0,21.0
"Apache County",2013,"Units in Single-Family Structures",2.0,31.0
"Apache County",2014,"Units in Single-Family Structures",2.0,38.0
"Apache County",2015,"Units in Single-Family Structures",2.0,29.0
"Apache County",2016,"Units in Single-Family Structures",2.0,36.0
"Apache County",2017,"Units in Single-Family Structures",2.0,44.0
"Apache County",2018,"Units in Single-Family Structures",2.0,56.0
"Apache County",2019,"Units in Single-Family Structures",2.0,56.0
