"Location","Year","Series","Series Code","Month","Permits"
"Alameda County",2020,"Total Units",1.0,1.0,289.0
"Alameda County",2020,"Total Units",1.0,2.0,204.0
"Alameda County",2020,"Total Units",1.0,3.0,224.0
"Alameda County",2020,"Total Units",1.0,4.0,710.0
"Alameda County",2020,"Total Units",1.0,5.0,0
"Alameda County",2020,"Total Units",1.0,6.0,0
"Alameda County",2020,"Total Units",1.0,7.0,0
"Alameda County",2020,"Total Units",1.0,8.0,0
"Alameda County",2020,"Total Units",1.0,9.0,0
"Alameda County",2020,"Total Units",1.0,10.0,0
"Alameda County",2020,"Total Units",1.0,11.0,0
"Alameda County",2020,"Total Units",1.0,12.0,0
"Alameda County",2020,"Units in Single-Family Structures",2.0,1.0,102.0
"Alameda County",2020,"Units in Single-Family Structures",2.0,2.0,154.0
"Alameda County",2020,"Units in Single-Family Structures",2.0,3.0,95.0
"Alameda County",2020,"Units in Single-Family Structures",2.0,4.0,86.0
"Alameda County",2020,"Units in Single-Family Structures",2.0,5.0,0
"Alameda County",2020,"Units in Single-Family Structures",2.0,6.0,0
"Alameda County",2020,"Units in Single-Family Structures",2.0,7.0,0
"Alameda County",2020,"Units in Single-Family Structures",2.0,8.0,0
"Alameda County",2020,"Units in Single-Family Structures",2.0,9.0,0
"Alameda County",2020,"Units in Single-Family Structures",2.0,10.0,0
"Alameda County",2020,"Units in Single-Family Structures",2.0,11.0,0
"Alameda County",2020,"Units in Single-Family Structures",2.0,12.0,0
"Alameda County",2020,"Units in All Multi-Family Structures",3.0,1.0,187.0
"Alameda County",2020,"Units in All Multi-Family Structures",3.0,2.0,50.0
"Alameda County",2020,"Units in All Multi-Family Structures",3.0,3.0,129.0
"Alameda County",2020,"Units in All Multi-Family Structures",3.0,4.0,624.0
"Alameda County",2020,"Units in All Multi-Family Structures",3.0,5.0,0
"Alameda County",2020,"Units in All Multi-Family Structures",3.0,6.0,0
"Alameda County",2020,"Units in All Multi-Family Structures",3.0,7.0,0
"Alameda County",2020,"Units in All Multi-Family Structures",3.0,8.0,0
"Alameda County",2020,"Units in All Multi-Family Structures",3.0,9.0,0
"Alameda County",2020,"Units in All Multi-Family Structures",3.0,10.0,0
"Alameda County",2020,"Units in All Multi-Family Structures",3.0,11.0,0
"Alameda County",2020,"Units in All Multi-Family Structures",3.0,12.0,0
"Alameda County",2020,"Units in 2-unit Multi-Family Structures",4.0,1.0,6.0
"Alameda County",2020,"Units in 2-unit Multi-Family Structures",4.0,2.0,6.0
"Alameda County",2020,"Units in 2-unit Multi-Family Structures",4.0,3.0,0
"Alameda County",2020,"Units in 2-unit Multi-Family Structures",4.0,4.0,0
"Alameda County",2020,"Units in 2-unit Multi-Family Structures",4.0,5.0,0
"Alameda County",2020,"Units in 2-unit Multi-Family Structures",4.0,6.0,0
