"Location","Year","Series","Series Code","Permits"
"Alameda County",1999,"Total Units",1.0,6397.0
"Alameda County",2000,"Total Units",1.0,4054.0
"Alameda County",2001,"Total Units",1.0,3249.0
"Alameda County",2002,"Total Units",1.0,3555.0
"Alameda County",2003,"Total Units",1.0,4469.0
"Alameda County",2004,"Total Units",1.0,5378.0
"Alameda County",2005,"Total Units",1.0,4376.0
"Alameda County",2006,"Total Units",1.0,6276.0
"Alameda County",2007,"Total Units",1.0,3138.0
"Alameda County",2008,"Total Units",1.0,1933.0
"Alameda County",2009,"Total Units",1.0,1333.0
"Alameda County",2010,"Total Units",1.0,1727.0
"Alameda County",2011,"Total Units",1.0,2172.0
"Alameda County",2012,"Total Units",1.0,2745.0
"Alameda County",2013,"Total Units",1.0,3081.0
"Alameda County",2014,"Total Units",1.0,3438.0
"Alameda County",2015,"Total Units",1.0,5101.0
"Alameda County",2016,"Total Units",1.0,5692.0
"Alameda County",2017,"Total Units",1.0,9258.0
"Alameda County",2018,"Total Units",1.0,8056.0
"Alameda County",2019,"Total Units",1.0,6402.0
"Alameda County",1999,"Units in Single-Family Structures",2.0,4943.0
"Alameda County",2000,"Units in Single-Family Structures",2.0,3071.0
"Alameda County",2001,"Units in Single-Family Structures",2.0,1764.0
"Alameda County",2002,"Units in Single-Family Structures",2.0,2501.0
"Alameda County",2003,"Units in Single-Family Structures",2.0,2138.0
"Alameda County",2004,"Units in Single-Family Structures",2.0,2309.0
"Alameda County",2005,"Units in Single-Family Structures",2.0,1561.0
"Alameda County",2006,"Units in Single-Family Structures",2.0,1635.0
"Alameda County",2007,"Units in Single-Family Structures",2.0,1315.0
"Alameda County",2008,"Units in Single-Family Structures",2.0,780.0
"Alameda County",2009,"Units in Single-Family Structures",2.0,811.0
"Alameda County",2010,"Units in Single-Family Structures",2.0,879.0
"Alameda County",2011,"Units in Single-Family Structures",2.0,820.0
"Alameda County",2012,"Units in Single-Family Structures",2.0,1373.0
"Alameda County",2013,"Units in Single-Family Structures",2.0,1391.0
"Alameda County",2014,"Units in Single-Family Structures",2.0,1613.0
"Alameda County",2015,"Units in Single-Family Structures",2.0,1905.0
"Alameda County",2016,"Units in Single-Family Structures",2.0,2398.0
"Alameda County",2017,"Units in Single-Family Structures",2.0,2595.0
"Alameda County",2018,"Units in Single-Family Structures",2.0,1965.0
"Alameda County",2019,"Units in Single-Family Structures",2.0,1972.0
"Alameda County",1999,"Units in All Multi-Family Structures",3.0,1454.0
"Alameda County",2000,"Units in All Multi-Family Structures",3.0,983.0
"Alameda County",2001,"Units in All Multi-Family Structures",3.0,1485.0
"Alameda County",2002,"Units in All Multi-Family Structures",3.0,1054.0
"Alameda County",2003,"Units in All Multi-Family Structures",3.0,2331.0
"Alameda County",2004,"Units in All Multi-Family Structures",3.0,3069.0
"Alameda County",2005,"Units in All Multi-Family Structures",3.0,2815.0
"Alameda County",2006,"Units in All Multi-Family Structures",3.0,4641.0
"Alameda County",2007,"Units in All Multi-Family Structures",3.0,1823.0
"Alameda County",2008,"Units in All Multi-Family Structures",3.0,1153.0
"Alameda County",2009,"Units in All Multi-Family Structures",3.0,522.0
"Alameda County",2010,"Units in All Multi-Family Structures",3.0,848.0
"Alameda County",2011,"Units in All Multi-Family Structures",3.0,1352.0
"Alameda County",2012,"Units in All Multi-Family Structures",3.0,1372.0
"Alameda County",2013,"Units in All Multi-Family Structures",3.0,1690.0
"Alameda County",2014,"Units in All Multi-Family Structures",3.0,1825.0
"Alameda County",2015,"Units in All Multi-Family Structures",3.0,3196.0
"Alameda County",2016,"Units in All Multi-Family Structures",3.0,3294.0
"Alameda County",2017,"Units in All Multi-Family Structures",3.0,6663.0
"Alameda County",2018,"Units in All Multi-Family Structures",3.0,6091.0
"Alameda County",2019,"Units in All Multi-Family Structures",3.0,4430.0
"Alameda County",1999,"Units in 2-unit Multi-Family Structures",4.0,22.0
"Alameda County",2000,"Units in 2-unit Multi-Family Structures",4.0,12.0
"Alameda County",2001,"Units in 2-unit Multi-Family Structures",4.0,38.0
"Alameda County",2002,"Units in 2-unit Multi-Family Structures",4.0,20.0
"Alameda County",2003,"Units in 2-unit Multi-Family Structures",4.0,48.0
"Alameda County",2004,"Units in 2-unit Multi-Family Structures",4.0,40.0
"Alameda County",2005,"Units in 2-unit Multi-Family Structures",4.0,12.0
"Alameda County",2006,"Units in 2-unit Multi-Family Structures",4.0,34.0
"Alameda County",2007,"Units in 2-unit Multi-Family Structures",4.0,12.0
"Alameda County",2008,"Units in 2-unit Multi-Family Structures",4.0,14.0
"Alameda County",2009,"Units in 2-unit Multi-Family Structures",4.0,18.0
"Alameda County",2010,"Units in 2-unit Multi-Family Structures",4.0,44.0
"Alameda County",2011,"Units in 2-unit Multi-Family Structures",4.0,26.0
"Alameda County",2012,"Units in 2-unit Multi-Family Structures",4.0,104.0
"Alameda County",2013,"Units in 2-unit Multi-Family Structures",4.0,84.0
"Alameda County",2014,"Units in 2-unit Multi-Family Structures",4.0,4.0
"Alameda County",2015,"Units in 2-unit Multi-Family Structures",4.0,14.0
"Alameda County",2016,"Units in 2-unit Multi-Family Structures",4.0,22.0
"Alameda County",2017,"Units in 2-unit Multi-Family Structures",4.0,26.0
"Alameda County",2018,"Units in 2-unit Multi-Family Structures",4.0,58.0
"Alameda County",2019,"Units in 2-unit Multi-Family Structures",4.0,56.0
"Alameda County",1999,"Units in 3- and 4-unit Multi-Family Structures",5.0,25.0
"Alameda County",2000,"Units in 3- and 4-unit Multi-Family Structures",5.0,116.0
"Alameda County",2001,"Units in 3- and 4-unit Multi-Family Structures",5.0,45.0
"Alameda County",2002,"Units in 3- and 4-unit Multi-Family Structures",5.0,24.0
"Alameda County",2003,"Units in 3- and 4-unit Multi-Family Structures",5.0,74.0
"Alameda County",2004,"Units in 3- and 4-unit Multi-Family Structures",5.0,122.0
"Alameda County",2005,"Units in 3- and 4-unit Multi-Family Structures",5.0,63.0
"Alameda County",2006,"Units in 3- and 4-unit Multi-Family Structures",5.0,159.0
"Alameda County",2007,"Units in 3- and 4-unit Multi-Family Structures",5.0,81.0
"Alameda County",2008,"Units in 3- and 4-unit Multi-Family Structures",5.0,25.0
"Alameda County",2009,"Units in 3- and 4-unit Multi-Family Structures",5.0,23.0
"Alameda County",2010,"Units in 3- and 4-unit Multi-Family Structures",5.0,29.0
"Alameda County",2011,"Units in 3- and 4-unit Multi-Family Structures",5.0,23.0
"Alameda County",2012,"Units in 3- and 4-unit Multi-Family Structures",5.0,47.0
"Alameda County",2013,"Units in 3- and 4-unit Multi-Family Structures",5.0,14.0
"Alameda County",2014,"Units in 3- and 4-unit Multi-Family Structures",5.0,41.0
"Alameda County",2015,"Units in 3- and 4-unit Multi-Family Structures",5.0,75.0
"Alameda County",2016,"Units in 3- and 4-unit Multi-Family Structures",5.0,85.0
"Alameda County",2017,"Units in 3- and 4-unit Multi-Family Structures",5.0,144.0
"Alameda County",2018,"Units in 3- and 4-unit Multi-Family Structures",5.0,209.0
"Alameda County",2019,"Units in 3- and 4-unit Multi-Family Structures",5.0,101.0
"Alameda County",1999,"Units in 5+ Unit Multi-Family Structures",6.0,1407.0
"Alameda County",2000,"Units in 5+ Unit Multi-Family Structures",6.0,855.0
"Alameda County",2001,"Units in 5+ Unit Multi-Family Structures",6.0,1402.0
"Alameda County",2002,"Units in 5+ Unit Multi-Family Structures",6.0,1010.0
"Alameda County",2003,"Units in 5+ Unit Multi-Family Structures",6.0,2209.0
"Alameda County",2004,"Units in 5+ Unit Multi-Family Structures",6.0,2907.0
"Alameda County",2005,"Units in 5+ Unit Multi-Family Structures",6.0,2740.0
"Alameda County",2006,"Units in 5+ Unit Multi-Family Structures",6.0,4448.0
"Alameda County",2007,"Units in 5+ Unit Multi-Family Structures",6.0,1730.0
"Alameda County",2008,"Units in 5+ Unit Multi-Family Structures",6.0,1114.0
"Alameda County",2009,"Units in 5+ Unit Multi-Family Structures",6.0,481.0
"Alameda County",2010,"Units in 5+ Unit Multi-Family Structures",6.0,775.0
"Alameda County",2011,"Units in 5+ Unit Multi-Family Structures",6.0,1303.0
"Alameda County",2012,"Units in 5+ Unit Multi-Family Structures",6.0,1221.0
"Alameda County",2013,"Units in 5+ Unit Multi-Family Structures",6.0,1592.0
"Alameda County",2014,"Units in 5+ Unit Multi-Family Structures",6.0,1780.0
"Alameda County",2015,"Units in 5+ Unit Multi-Family Structures",6.0,3107.0
"Alameda County",2016,"Units in 5+ Unit Multi-Family Structures",6.0,3187.0
"Alameda County",2017,"Units in 5+ Unit Multi-Family Structures",6.0,6493.0
"Alameda County",2018,"Units in 5+ Unit Multi-Family Structures",6.0,5824.0
"Alameda County",2019,"Units in 5+ Unit Multi-Family Structures",6.0,4273.0
"Alpine County",1999,"Total Units",1.0,59.0
"Alpine County",2000,"Total Units",1.0,25.0
"Alpine County",2001,"Total Units",1.0,54.0
"Alpine County",2002,"Total Units",1.0,62.0
