"Location","Year","Series","Series Code","Permits"
"Adams County",1999,"Total Units",1.0,3730.0
"Adams County",2000,"Total Units",1.0,5479.0
"Adams County",2001,"Total Units",1.0,6130.0
"Adams County",2002,"Total Units",1.0,5831.0
"Adams County",2003,"Total Units",1.0,4678.0
"Adams County",2004,"Total Units",1.0,5058.0
"Adams County",2005,"Total Units",1.0,4572.0
"Adams County",2006,"Total Units",1.0,2908.0
"Adams County",2007,"Total Units",1.0,1809.0
"Adams County",2008,"Total Units",1.0,782.0
"Adams County",2009,"Total Units",1.0,493.0
"Adams County",2010,"Total Units",1.0,662.0
"Adams County",2011,"Total Units",1.0,565.0
"Adams County",2012,"Total Units",1.0,1015.0
"Adams County",2013,"Total Units",1.0,1340.0
"Adams County",2014,"Total Units",1.0,1115.0
"Adams County",2015,"Total Units",1.0,2101.0
"Adams County",2016,"Total Units",1.0,2657.0
"Adams County",2017,"Total Units",1.0,2552.0
"Adams County",2018,"Total Units",1.0,2797.0
"Adams County",2019,"Total Units",1.0,2666.0
"Adams County",1999,"Units in Single-Family Structures",2.0,3200.0
"Adams County",2000,"Units in Single-Family Structures",2.0,2901.0
"Adams County",2001,"Units in Single-Family Structures",2.0,4392.0
"Adams County",2002,"Units in Single-Family Structures",2.0,3916.0
"Adams County",2003,"Units in Single-Family Structures",2.0,4023.0
"Adams County",2004,"Units in Single-Family Structures",2.0,4384.0
"Adams County",2005,"Units in Single-Family Structures",2.0,4177.0
"Adams County",2006,"Units in Single-Family Structures",2.0,2754.0
"Adams County",2007,"Units in Single-Family Structures",2.0,1431.0
"Adams County",2008,"Units in Single-Family Structures",2.0,650.0
"Adams County",2009,"Units in Single-Family Structures",2.0,477.0
"Adams County",2010,"Units in Single-Family Structures",2.0,558.0
"Adams County",2011,"Units in Single-Family Structures",2.0,546.0
"Adams County",2012,"Units in Single-Family Structures",2.0,793.0
"Adams County",2013,"Units in Single-Family Structures",2.0,1032.0
"Adams County",2014,"Units in Single-Family Structures",2.0,1085.0
"Adams County",2015,"Units in Single-Family Structures",2.0,1510.0
"Adams County",2016,"Units in Single-Family Structures",2.0,1997.0
"Adams County",2017,"Units in Single-Family Structures",2.0,1899.0
"Adams County",2018,"Units in Single-Family Structures",2.0,2415.0
"Adams County",2019,"Units in Single-Family Structures",2.0,2273.0
"Adams County",1999,"Units in All Multi-Family Structures",3.0,530.0
"Adams County",2000,"Units in All Multi-Family Structures",3.0,2578.0
"Adams County",2001,"Units in All Multi-Family Structures",3.0,1738.0
"Adams County",2002,"Units in All Multi-Family Structures",3.0,1915.0
"Adams County",2003,"Units in All Multi-Family Structures",3.0,655.0
"Adams County",2004,"Units in All Multi-Family Structures",3.0,674.0
"Adams County",2005,"Units in All Multi-Family Structures",3.0,395.0
"Adams County",2006,"Units in All Multi-Family Structures",3.0,154.0
"Adams County",2007,"Units in All Multi-Family Structures",3.0,378.0
"Adams County",2008,"Units in All Multi-Family Structures",3.0,132.0
"Adams County",2009,"Units in All Multi-Family Structures",3.0,16.0
"Adams County",2010,"Units in All Multi-Family Structures",3.0,104.0
"Adams County",2011,"Units in All Multi-Family Structures",3.0,19.0
"Adams County",2012,"Units in All Multi-Family Structures",3.0,222.0
"Adams County",2013,"Units in All Multi-Family Structures",3.0,308.0
"Adams County",2014,"Units in All Multi-Family Structures",3.0,30.0
"Adams County",2015,"Units in All Multi-Family Structures",3.0,591.0
"Adams County",2016,"Units in All Multi-Family Structures",3.0,660.0
"Adams County",2017,"Units in All Multi-Family Structures",3.0,653.0
"Adams County",2018,"Units in All Multi-Family Structures",3.0,382.0
"Adams County",2019,"Units in All Multi-Family Structures",3.0,393.0
"Adams County",1999,"Units in 2-unit Multi-Family Structures",4.0,80.0
"Adams County",2000,"Units in 2-unit Multi-Family Structures",4.0,78.0
"Adams County",2001,"Units in 2-unit Multi-Family Structures",4.0,54.0
"Adams County",2002,"Units in 2-unit Multi-Family Structures",4.0,128.0
"Adams County",2003,"Units in 2-unit Multi-Family Structures",4.0,58.0
"Adams County",2004,"Units in 2-unit Multi-Family Structures",4.0,34.0
"Adams County",2005,"Units in 2-unit Multi-Family Structures",4.0,20.0
"Adams County",2006,"Units in 2-unit Multi-Family Structures",4.0,42.0
"Adams County",2007,"Units in 2-unit Multi-Family Structures",4.0,22.0
"Adams County",2008,"Units in 2-unit Multi-Family Structures",4.0,24.0
"Adams County",2009,"Units in 2-unit Multi-Family Structures",4.0,10.0
"Adams County",2010,"Units in 2-unit Multi-Family Structures",4.0,68.0
"Adams County",2011,"Units in 2-unit Multi-Family Structures",4.0,4.0
"Adams County",2012,"Units in 2-unit Multi-Family Structures",4.0,2.0
"Adams County",2013,"Units in 2-unit Multi-Family Structures",4.0,4.0
"Adams County",2014,"Units in 2-unit Multi-Family Structures",4.0,6.0
"Adams County",2015,"Units in 2-unit Multi-Family Structures",4.0,2.0
"Adams County",2016,"Units in 2-unit Multi-Family Structures",4.0,0
"Adams County",2017,"Units in 2-unit Multi-Family Structures",4.0,18.0
"Adams County",2018,"Units in 2-unit Multi-Family Structures",4.0,18.0
"Adams County",2019,"Units in 2-unit Multi-Family Structures",4.0,12.0
"Adams County",1999,"Units in 3- and 4-unit Multi-Family Structures",5.0,117.0
"Adams County",2000,"Units in 3- and 4-unit Multi-Family Structures",5.0,91.0
"Adams County",2001,"Units in 3- and 4-unit Multi-Family Structures",5.0,34.0
"Adams County",2002,"Units in 3- and 4-unit Multi-Family Structures",5.0,78.0
"Adams County",2003,"Units in 3- and 4-unit Multi-Family Structures",5.0,73.0
"Adams County",2004,"Units in 3- and 4-unit Multi-Family Structures",5.0,50.0
