"Location","Year","Series","Series Code","Permits"
"Fairfield County",1999,"Total Units",1.0,2343.0
"Fairfield County",2000,"Total Units",1.0,2278.0
"Fairfield County",2001,"Total Units",1.0,2220.0
"Fairfield County",2002,"Total Units",1.0,1879.0
"Fairfield County",2003,"Total Units",1.0,1964.0
"Fairfield County",2004,"Total Units",1.0,2495.0
"Fairfield County",2005,"Total Units",1.0,3119.0
"Fairfield County",2006,"Total Units",1.0,1939.0
"Fairfield County",2007,"Total Units",1.0,2290.0
"Fairfield County",2008,"Total Units",1.0,1814.0
"Fairfield County",2009,"Total Units",1.0,1199.0
"Fairfield County",2010,"Total Units",1.0,926.0
"Fairfield County",2011,"Total Units",1.0,937.0
"Fairfield County",2012,"Total Units",1.0,2138.0
"Fairfield County",2013,"Total Units",1.0,2501.0
"Fairfield County",2014,"Total Units",1.0,1889.0
"Fairfield County",2015,"Total Units",1.0,2598.0
"Fairfield County",2016,"Total Units",1.0,1903.0
"Fairfield County",2017,"Total Units",1.0,1719.0
"Fairfield County",2018,"Total Units",1.0,1097.0
"Fairfield County",2019,"Total Units",1.0,2326.0
"Fairfield County",1999,"Units in Single-Family Structures",2.0,1758.0
"Fairfield County",2000,"Units in Single-Family Structures",2.0,1602.0
"Fairfield County",2001,"Units in Single-Family Structures",2.0,1521.0
"Fairfield County",2002,"Units in Single-Family Structures",2.0,1598.0
"Fairfield County",2003,"Units in Single-Family Structures",2.0,1550.0
"Fairfield County",2004,"Units in Single-Family Structures",2.0,1840.0
"Fairfield County",2005,"Units in Single-Family Structures",2.0,2054.0
"Fairfield County",2006,"Units in Single-Family Structures",2.0,1480.0
"Fairfield County",2007,"Units in Single-Family Structures",2.0,1438.0
"Fairfield County",2008,"Units in Single-Family Structures",2.0,713.0
"Fairfield County",2009,"Units in Single-Family Structures",2.0,476.0
"Fairfield County",2010,"Units in Single-Family Structures",2.0,546.0
"Fairfield County",2011,"Units in Single-Family Structures",2.0,583.0
"Fairfield County",2012,"Units in Single-Family Structures",2.0,634.0
"Fairfield County",2013,"Units in Single-Family Structures",2.0,870.0
"Fairfield County",2014,"Units in Single-Family Structures",2.0,987.0
"Fairfield County",2015,"Units in Single-Family Structures",2.0,800.0
"Fairfield County",2016,"Units in Single-Family Structures",2.0,712.0
"Fairfield County",2017,"Units in Single-Family Structures",2.0,765.0
"Fairfield County",2018,"Units in Single-Family Structures",2.0,753.0
"Fairfield County",2019,"Units in Single-Family Structures",2.0,635.0
"Fairfield County",1999,"Units in All Multi-Family Structures",3.0,585.0
"Fairfield County",2000,"Units in All Multi-Family Structures",3.0,676.0
"Fairfield County",2001,"Units in All Multi-Family Structures",3.0,699.0
"Fairfield County",2002,"Units in All Multi-Family Structures",3.0,281.0
"Fairfield County",2003,"Units in All Multi-Family Structures",3.0,414.0
"Fairfield County",2004,"Units in All Multi-Family Structures",3.0,655.0
"Fairfield County",2005,"Units in All Multi-Family Structures",3.0,1065.0
"Fairfield County",2006,"Units in All Multi-Family Structures",3.0,459.0
"Fairfield County",2007,"Units in All Multi-Family Structures",3.0,852.0
"Fairfield County",2008,"Units in All Multi-Family Structures",3.0,1101.0
"Fairfield County",2009,"Units in All Multi-Family Structures",3.0,723.0
"Fairfield County",2010,"Units in All Multi-Family Structures",3.0,380.0
"Fairfield County",2011,"Units in All Multi-Family Structures",3.0,354.0
"Fairfield County",2012,"Units in All Multi-Family Structures",3.0,1504.0
"Fairfield County",2013,"Units in All Multi-Family Structures",3.0,1631.0
"Fairfield County",2014,"Units in All Multi-Family Structures",3.0,902.0
"Fairfield County",2015,"Units in All Multi-Family Structures",3.0,1798.0
"Fairfield County",2016,"Units in All Multi-Family Structures",3.0,1191.0
"Fairfield County",2017,"Units in All Multi-Family Structures",3.0,954.0
