"Location","Year","Series","Series Code","Permits"
"Kent County",1999,"Total Units",1.0,866.0
"Kent County",2000,"Total Units",1.0,858.0
"Kent County",2001,"Total Units",1.0,1018.0
"Kent County",2002,"Total Units",1.0,1452.0
"Kent County",2003,"Total Units",1.0,2167.0
"Kent County",2004,"Total Units",1.0,2178.0
"Kent County",2005,"Total Units",1.0,2182.0
"Kent County",2006,"Total Units",1.0,1703.0
"Kent County",2007,"Total Units",1.0,1484.0
"Kent County",2008,"Total Units",1.0,988.0
"Kent County",2009,"Total Units",1.0,806.0
"Kent County",2010,"Total Units",1.0,813.0
"Kent County",2011,"Total Units",1.0,680.0
"Kent County",2012,"Total Units",1.0,865.0
"Kent County",2013,"Total Units",1.0,889.0
"Kent County",2014,"Total Units",1.0,998.0
"Kent County",2015,"Total Units",1.0,1061.0
"Kent County",2016,"Total Units",1.0,1276.0
"Kent County",2017,"Total Units",1.0,1554.0
"Kent County",2018,"Total Units",1.0,1459.0
"Kent County",2019,"Total Units",1.0,1340.0
"Kent County",1999,"Units in Single-Family Structures",2.0,705.0
"Kent County",2000,"Units in Single-Family Structures",2.0,853.0
"Kent County",2001,"Units in Single-Family Structures",2.0,954.0
"Kent County",2002,"Units in Single-Family Structures",2.0,1442.0
"Kent County",2003,"Units in Single-Family Structures",2.0,1763.0
"Kent County",2004,"Units in Single-Family Structures",2.0,2028.0
"Kent County",2005,"Units in Single-Family Structures",2.0,1946.0
"Kent County",2006,"Units in Single-Family Structures",2.0,1485.0
"Kent County",2007,"Units in Single-Family Structures",2.0,1317.0
"Kent County",2008,"Units in Single-Family Structures",2.0,824.0
"Kent County",2009,"Units in Single-Family Structures",2.0,722.0
"Kent County",2010,"Units in Single-Family Structures",2.0,674.0
"Kent County",2011,"Units in Single-Family Structures",2.0,540.0
"Kent County",2012,"Units in Single-Family Structures",2.0,695.0
"Kent County",2013,"Units in Single-Family Structures",2.0,823.0
"Kent County",2014,"Units in Single-Family Structures",2.0,912.0
"Kent County",2015,"Units in Single-Family Structures",2.0,827.0
"Kent County",2016,"Units in Single-Family Structures",2.0,1124.0
"Kent County",2017,"Units in Single-Family Structures",2.0,1153.0
"Kent County",2018,"Units in Single-Family Structures",2.0,1321.0
"Kent County",2019,"Units in Single-Family Structures",2.0,1216.0
"Kent County",1999,"Units in All Multi-Family Structures",3.0,161.0
"Kent County",2000,"Units in All Multi-Family Structures",3.0,5.0
"Kent County",2001,"Units in All Multi-Family Structures",3.0,64.0
"Kent County",2002,"Units in All Multi-Family Structures",3.0,10.0
"Kent County",2003,"Units in All Multi-Family Structures",3.0,404.0
"Kent County",2004,"Units in All Multi-Family Structures",3.0,150.0
"Kent County",2005,"Units in All Multi-Family Structures",3.0,236.0
"Kent County",2006,"Units in All Multi-Family Structures",3.0,218.0
"Kent County",2007,"Units in All Multi-Family Structures",3.0,167.0
"Kent County",2008,"Units in All Multi-Family Structures",3.0,164.0
"Kent County",2009,"Units in All Multi-Family Structures",3.0,84.0
"Kent County",2010,"Units in All Multi-Family Structures",3.0,139.0
"Kent County",2011,"Units in All Multi-Family Structures",3.0,140.0
"Kent County",2012,"Units in All Multi-Family Structures",3.0,170.0
"Kent County",2013,"Units in All Multi-Family Structures",3.0,66.0
"Kent County",2014,"Units in All Multi-Family Structures",3.0,86.0
