"Location","Year","Series","Series Code","Permits"
"Alachua County",1999,"Total Units",1.0,2728.0
"Alachua County",2000,"Total Units",1.0,1973.0
"Alachua County",2001,"Total Units",1.0,2335.0
"Alachua County",2002,"Total Units",1.0,1791.0
"Alachua County",2003,"Total Units",1.0,1684.0
"Alachua County",2004,"Total Units",1.0,2009.0
"Alachua County",2005,"Total Units",1.0,2293.0
"Alachua County",2006,"Total Units",1.0,1949.0
"Alachua County",2007,"Total Units",1.0,1388.0
"Alachua County",2008,"Total Units",1.0,1006.0
"Alachua County",2009,"Total Units",1.0,519.0
"Alachua County",2010,"Total Units",1.0,454.0
"Alachua County",2011,"Total Units",1.0,444.0
"Alachua County",2012,"Total Units",1.0,589.0
"Alachua County",2013,"Total Units",1.0,770.0
"Alachua County",2014,"Total Units",1.0,762.0
"Alachua County",2015,"Total Units",1.0,1171.0
"Alachua County",2016,"Total Units",1.0,1060.0
"Alachua County",2017,"Total Units",1.0,2211.0
"Alachua County",2018,"Total Units",1.0,1504.0
"Alachua County",2019,"Total Units",1.0,2320.0
"Alachua County",1999,"Units in Single-Family Structures",2.0,1179.0
"Alachua County",2000,"Units in Single-Family Structures",2.0,1072.0
"Alachua County",2001,"Units in Single-Family Structures",2.0,1063.0
"Alachua County",2002,"Units in Single-Family Structures",2.0,1023.0
"Alachua County",2003,"Units in Single-Family Structures",2.0,1177.0
"Alachua County",2004,"Units in Single-Family Structures",2.0,1328.0
"Alachua County",2005,"Units in Single-Family Structures",2.0,1346.0
"Alachua County",2006,"Units in Single-Family Structures",2.0,1009.0
"Alachua County",2007,"Units in Single-Family Structures",2.0,653.0
"Alachua County",2008,"Units in Single-Family Structures",2.0,437.0
"Alachua County",2009,"Units in Single-Family Structures",2.0,374.0
"Alachua County",2010,"Units in Single-Family Structures",2.0,331.0
"Alachua County",2011,"Units in Single-Family Structures",2.0,276.0
"Alachua County",2012,"Units in Single-Family Structures",2.0,362.0
"Alachua County",2013,"Units in Single-Family Structures",2.0,528.0
"Alachua County",2014,"Units in Single-Family Structures",2.0,499.0
"Alachua County",2015,"Units in Single-Family Structures",2.0,580.0
"Alachua County",2016,"Units in Single-Family Structures",2.0,559.0
"Alachua County",2017,"Units in Single-Family Structures",2.0,626.0
"Alachua County",2018,"Units in Single-Family Structures",2.0,688.0
"Alachua County",2019,"Units in Single-Family Structures",2.0,769.0
"Alachua County",1999,"Units in All Multi-Family Structures",3.0,1549.0
