Location,Year,Series,Series Code,Permits
Appling County,1999,Total Units,1,5
Appling County,2000,Total Units,1,3
Appling County,2001,Total Units,1,5
Appling County,2002,Total Units,1,6
Appling County,2003,Total Units,1,6
Appling County,2004,Total Units,1,7
Appling County,2005,Total Units,1,8
Appling County,2006,Total Units,1,9
Appling County,2007,Total Units,1,8
Appling County,2008,Total Units,1,5
Appling County,2009,Total Units,1,3
Appling County,1999,Units in Single-Family Structures,2,5
Appling County,2000,Units in Single-Family Structures,2,3
Appling County,2001,Units in Single-Family Structures,2,5
Appling County,2002,Units in Single-Family Structures,2,6
Appling County,2003,Units in Single-Family Structures,2,6
Appling County,2004,Units in Single-Family Structures,2,7
Appling County,2005,Units in Single-Family Structures,2,8
Appling County,2006,Units in Single-Family Structures,2,9
Appling County,2007,Units in Single-Family Structures,2,8
Appling County,2008,Units in Single-Family Structures,2,5
Appling County,2009,Units in Single-Family Structures,2,3
Appling County,1999,Units in All Multi-Family Structures,3,0
Appling County,2000,Units in All Multi-Family Structures,3,0
Appling County,2001,Units in All Multi-Family Structures,3,0
Appling County,2002,Units in All Multi-Family Structures,3,0
Appling County,2003,Units in All Multi-Family Structures,3,0
Appling County,2004,Units in All Multi-Family Structures,3,0
Appling County,2005,Units in All Multi-Family Structures,3,0
Appling County,2006,Units in All Multi-Family Structures,3,0
Appling County,2007,Units in All Multi-Family Structures,3,0
Appling County,2008,Units in All Multi-Family Structures,3,0
Appling County,2009,Units in All Multi-Family Structures,3,0
Appling County,1999,Units in 2-unit Multi-Family Structures,4,0
Appling County,2000,Units in 2-unit Multi-Family Structures,4,0
Appling County,2001,Units in 2-unit Multi-Family Structures,4,0
Appling County,2002,Units in 2-unit Multi-Family Structures,4,0
Appling County,2003,Units in 2-unit Multi-Family Structures,4,0
Appling County,2004,Units in 2-unit Multi-Family Structures,4,0
Appling County,2005,Units in 2-unit Multi-Family Structures,4,0
Appling County,2006,Units in 2-unit Multi-Family Structures,4,0
Appling County,2007,Units in 2-unit Multi-Family Structures,4,0
Appling County,2008,Units in 2-unit Multi-Family Structures,4,0
Appling County,2009,Units in 2-unit Multi-Family Structures,4,0
Appling County,1999,Units in 3- and 4-unit Multi-Family Structures,5,0
Appling County,2000,Units in 3- and 4-unit Multi-Family Structures,5,0
Appling County,2001,Units in 3- and 4-unit Multi-Family Structures,5,0
Appling County,2002,Units in 3- and 4-unit Multi-Family Structures,5,0
Appling County,2003,Units in 3- and 4-unit Multi-Family Structures,5,0
Appling County,2004,Units in 3- and 4-unit Multi-Family Structures,5,0
Appling County,2005,Units in 3- and 4-unit Multi-Family Structures,5,0
Appling County,2006,Units in 3- and 4-unit Multi-Family Structures,5,0
Appling County,2007,Units in 3- and 4-unit Multi-Family Structures,5,0
Appling County,2008,Units in 3- and 4-unit Multi-Family Structures,5,0
Appling County,2009,Units in 3- and 4-unit Multi-Family Structures,5,0
Appling County,1999,Units in 5+ Unit Multi-Family Structures,6,0
Appling County,2000,Units in 5+ Unit Multi-Family Structures,6,0
Appling County,2001,Units in 5+ Unit Multi-Family Structures,6,0
Appling County,2002,Units in 5+ Unit Multi-Family Structures,6,0
Appling County,2003,Units in 5+ Unit Multi-Family Structures,6,0
Appling County,2004,Units in 5+ Unit Multi-Family Structures,6,0
Appling County,2005,Units in 5+ Unit Multi-Family Structures,6,0
Appling County,2006,Units in 5+ Unit Multi-Family Structures,6,0
Appling County,2007,Units in 5+ Unit Multi-Family Structures,6,0
Appling County,2008,Units in 5+ Unit Multi-Family Structures,6,0
Appling County,2009,Units in 5+ Unit Multi-Family Structures,6,0
Atkinson County,1999,Total Units,1,0
Atkinson County,2000,Total Units,1,0
Atkinson County,2001,Total Units,1,0
Atkinson County,2002,Total Units,1,2
Atkinson County,2003,Total Units,1,1
Atkinson County,2004,Total Units,1,1
Atkinson County,2005,Total Units,1,3
Atkinson County,2006,Total Units,1,0
Atkinson County,2007,Total Units,1,4
Atkinson County,2008,Total Units,1,2
Atkinson County,2009,Total Units,1,13
Atkinson County,1999,Units in Single-Family Structures,2,0
Atkinson County,2000,Units in Single-Family Structures,2,0
Atkinson County,2001,Units in Single-Family Structures,2,0
Atkinson County,2002,Units in Single-Family Structures,2,2
Atkinson County,2003,Units in Single-Family Structures,2,1
