"Location","Year","Series","Series Code","Permits"
"Hawaii County",1999,"Total Units",1.0,1098.0
"Hawaii County",2000,"Total Units",1.0,1503.0
"Hawaii County",2001,"Total Units",1.0,1387.0
"Hawaii County",2002,"Total Units",1.0,1441.0
"Hawaii County",2003,"Total Units",1.0,2180.0
"Hawaii County",2004,"Total Units",1.0,3035.0
"Hawaii County",2005,"Total Units",1.0,3358.0
"Hawaii County",2006,"Total Units",1.0,2604.0
"Hawaii County",2007,"Total Units",1.0,2094.0
"Hawaii County",2008,"Total Units",1.0,1446.0
"Hawaii County",2009,"Total Units",1.0,681.0
"Hawaii County",2010,"Total Units",1.0,1102.0
"Hawaii County",2011,"Total Units",1.0,689.0
"Hawaii County",2012,"Total Units",1.0,634.0
"Hawaii County",2013,"Total Units",1.0,729.0
"Hawaii County",2014,"Total Units",1.0,958.0
"Hawaii County",2015,"Total Units",1.0,882.0
"Hawaii County",2016,"Total Units",1.0,978.0
"Hawaii County",2017,"Total Units",1.0,894.0
"Hawaii County",2018,"Total Units",1.0,1043.0
"Hawaii County",2019,"Total Units",1.0,977.0
"Hawaii County",1999,"Units in Single-Family Structures",2.0,1004.0
"Hawaii County",2000,"Units in Single-Family Structures",2.0,1356.0
"Hawaii County",2001,"Units in Single-Family Structures",2.0,1249.0
"Hawaii County",2002,"Units in Single-Family Structures",2.0,1303.0
"Hawaii County",2003,"Units in Single-Family Structures",2.0,1941.0
"Hawaii County",2004,"Units in Single-Family Structures",2.0,2169.0
"Hawaii County",2005,"Units in Single-Family Structures",2.0,2700.0
"Hawaii County",2006,"Units in Single-Family Structures",2.0,2306.0
"Hawaii County",2007,"Units in Single-Family Structures",2.0,1785.0
"Hawaii County",2008,"Units in Single-Family Structures",2.0,1000.0
"Hawaii County",2009,"Units in Single-Family Structures",2.0,647.0
"Hawaii County",2010,"Units in Single-Family Structures",2.0,660.0
"Hawaii County",2011,"Units in Single-Family Structures",2.0,582.0
"Hawaii County",2012,"Units in Single-Family Structures",2.0,571.0
"Hawaii County",2013,"Units in Single-Family Structures",2.0,729.0
"Hawaii County",2014,"Units in Single-Family Structures",2.0,806.0
"Hawaii County",2015,"Units in Single-Family Structures",2.0,837.0
"Hawaii County",2016,"Units in Single-Family Structures",2.0,792.0
"Hawaii County",2017,"Units in Single-Family Structures",2.0,801.0
"Hawaii County",2018,"Units in Single-Family Structures",2.0,1035.0
"Hawaii County",2019,"Units in Single-Family Structures",2.0,948.0
"Hawaii County",1999,"Units in All Multi-Family Structures",3.0,94.0
"Hawaii County",2000,"Units in All Multi-Family Structures",3.0,147.0
"Hawaii County",2001,"Units in All Multi-Family Structures",3.0,138.0
"Hawaii County",2002,"Units in All Multi-Family Structures",3.0,138.0
"Hawaii County",2003,"Units in All Multi-Family Structures",3.0,239.0
"Hawaii County",2004,"Units in All Multi-Family Structures",3.0,866.0
"Hawaii County",2005,"Units in All Multi-Family Structures",3.0,658.0
"Hawaii County",2006,"Units in All Multi-Family Structures",3.0,298.0
"Hawaii County",2007,"Units in All Multi-Family Structures",3.0,309.0
"Hawaii County",2008,"Units in All Multi-Family Structures",3.0,446.0
"Hawaii County",2009,"Units in All Multi-Family Structures",3.0,34.0
"Hawaii County",2010,"Units in All Multi-Family Structures",3.0,442.0
"Hawaii County",2011,"Units in All Multi-Family Structures",3.0,107.0
"Hawaii County",2012,"Units in All Multi-Family Structures",3.0,63.0
"Hawaii County",2013,"Units in All Multi-Family Structures",3.0,0
"Hawaii County",2014,"Units in All Multi-Family Structures",3.0,152.0
"Hawaii County",2015,"Units in All Multi-Family Structures",3.0,45.0
"Hawaii County",2016,"Units in All Multi-Family Structures",3.0,186.0
"Hawaii County",2017,"Units in All Multi-Family Structures",3.0,93.0
"Hawaii County",2018,"Units in All Multi-Family Structures",3.0,8.0
"Hawaii County",2019,"Units in All Multi-Family Structures",3.0,29.0
"Hawaii County",1999,"Units in 2-unit Multi-Family Structures",4.0,2.0
"Hawaii County",2000,"Units in 2-unit Multi-Family Structures",4.0,0
"Hawaii County",2001,"Units in 2-unit Multi-Family Structures",4.0,0
"Hawaii County",2002,"Units in 2-unit Multi-Family Structures",4.0,0
"Hawaii County",2003,"Units in 2-unit Multi-Family Structures",4.0,8.0
"Hawaii County",2004,"Units in 2-unit Multi-Family Structures",4.0,0
"Hawaii County",2005,"Units in 2-unit Multi-Family Structures",4.0,0
"Hawaii County",2006,"Units in 2-unit Multi-Family Structures",4.0,0
"Hawaii County",2007,"Units in 2-unit Multi-Family Structures",4.0,4.0
"Hawaii County",2008,"Units in 2-unit Multi-Family Structures",4.0,6.0
"Hawaii County",2009,"Units in 2-unit Multi-Family Structures",4.0,2.0
"Hawaii County",2010,"Units in 2-unit Multi-Family Structures",4.0,2.0
"Hawaii County",2011,"Units in 2-unit Multi-Family Structures",4.0,2.0
"Hawaii County",2012,"Units in 2-unit Multi-Family Structures",4.0,4.0
"Hawaii County",2013,"Units in 2-unit Multi-Family Structures",4.0,0
"Hawaii County",2014,"Units in 2-unit Multi-Family Structures",4.0,28.0
"Hawaii County",2015,"Units in 2-unit Multi-Family Structures",4.0,18.0
"Hawaii County",2016,"Units in 2-unit Multi-Family Structures",4.0,16.0
"Hawaii County",2017,"Units in 2-unit Multi-Family Structures",4.0,10.0
"Hawaii County",2018,"Units in 2-unit Multi-Family Structures",4.0,2.0
"Hawaii County",2019,"Units in 2-unit Multi-Family Structures",4.0,0
"Hawaii County",1999,"Units in 3- and 4-unit Multi-Family Structures",5.0,44.0
"Hawaii County",2000,"Units in 3- and 4-unit Multi-Family Structures",5.0,31.0
"Hawaii County",2001,"Units in 3- and 4-unit Multi-Family Structures",5.0,24.0
"Hawaii County",2002,"Units in 3- and 4-unit Multi-Family Structures",5.0,8.0
"Hawaii County",2003,"Units in 3- and 4-unit Multi-Family Structures",5.0,48.0
"Hawaii County",2004,"Units in 3- and 4-unit Multi-Family Structures",5.0,86.0
"Hawaii County",2005,"Units in 3- and 4-unit Multi-Family Structures",5.0,92.0
"Hawaii County",2006,"Units in 3- and 4-unit Multi-Family Structures",5.0,98.0
"Hawaii County",2007,"Units in 3- and 4-unit Multi-Family Structures",5.0,3.0
"Hawaii County",2008,"Units in 3- and 4-unit Multi-Family Structures",5.0,20.0
"Hawaii County",2009,"Units in 3- and 4-unit Multi-Family Structures",5.0,7.0
"Hawaii County",2010,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Hawaii County",2011,"Units in 3- and 4-unit Multi-Family Structures",5.0,8.0
"Hawaii County",2012,"Units in 3- and 4-unit Multi-Family Structures",5.0,11.0
"Hawaii County",2013,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Hawaii County",2014,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Hawaii County",2015,"Units in 3- and 4-unit Multi-Family Structures",5.0,3.0
"Hawaii County",2016,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Hawaii County",2017,"Units in 3- and 4-unit Multi-Family Structures",5.0,3.0
"Hawaii County",2018,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Hawaii County",2019,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Hawaii County",1999,"Units in 5+ Unit Multi-Family Structures",6.0,48.0
"Hawaii County",2000,"Units in 5+ Unit Multi-Family Structures",6.0,116.0
"Hawaii County",2001,"Units in 5+ Unit Multi-Family Structures",6.0,114.0
"Hawaii County",2002,"Units in 5+ Unit Multi-Family Structures",6.0,130.0
"Hawaii County",2003,"Units in 5+ Unit Multi-Family Structures",6.0,183.0
"Hawaii County",2004,"Units in 5+ Unit Multi-Family Structures",6.0,780.0
"Hawaii County",2005,"Units in 5+ Unit Multi-Family Structures",6.0,566.0
"Hawaii County",2006,"Units in 5+ Unit Multi-Family Structures",6.0,200.0
"Hawaii County",2007,"Units in 5+ Unit Multi-Family Structures",6.0,302.0
"Hawaii County",2008,"Units in 5+ Unit Multi-Family Structures",6.0,420.0
"Hawaii County",2009,"Units in 5+ Unit Multi-Family Structures",6.0,25.0
"Hawaii County",2010,"Units in 5+ Unit Multi-Family Structures",6.0,440.0
"Hawaii County",2011,"Units in 5+ Unit Multi-Family Structures",6.0,97.0
"Hawaii County",2012,"Units in 5+ Unit Multi-Family Structures",6.0,48.0
"Hawaii County",2013,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Hawaii County",2014,"Units in 5+ Unit Multi-Family Structures",6.0,124.0
"Hawaii County",2015,"Units in 5+ Unit Multi-Family Structures",6.0,24.0
"Hawaii County",2016,"Units in 5+ Unit Multi-Family Structures",6.0,170.0
"Hawaii County",2017,"Units in 5+ Unit Multi-Family Structures",6.0,80.0
"Hawaii County",2018,"Units in 5+ Unit Multi-Family Structures",6.0,6.0
"Hawaii County",2019,"Units in 5+ Unit Multi-Family Structures",6.0,29.0
"Honolulu County",1999,"Total Units",1.0,1928.0
"Honolulu County",2000,"Total Units",1.0,1969.0
"Honolulu County",2001,"Total Units",1.0,1975.0
"Honolulu County",2002,"Total Units",1.0,2673.0
"Honolulu County",2003,"Total Units",1.0,3473.0
"Honolulu County",2004,"Total Units",1.0,4084.0
"Honolulu County",2005,"Total Units",1.0,3988.0
"Honolulu County",2006,"Total Units",1.0,2606.0
"Honolulu County",2007,"Total Units",1.0,2944.0
"Honolulu County",2008,"Total Units",1.0,1438.0
"Honolulu County",2009,"Total Units",1.0,1036.0
"Honolulu County",2010,"Total Units",1.0,1891.0
"Honolulu County",2011,"Total Units",1.0,1724.0
"Honolulu County",2012,"Total Units",1.0,1724.0
"Honolulu County",2013,"Total Units",1.0,2641.0
"Honolulu County",2014,"Total Units",1.0,1578.0
"Honolulu County",2015,"Total Units",1.0,3833.0
"Honolulu County",2016,"Total Units",1.0,1658.0
"Honolulu County",2017,"Total Units",1.0,1968.0
"Honolulu County",2018,"Total Units",1.0,2410.0
"Honolulu County",2019,"Total Units",1.0,2279.0
"Honolulu County",1999,"Units in Single-Family Structures",2.0,1449.0
"Honolulu County",2000,"Units in Single-Family Structures",2.0,1732.0
"Honolulu County",2001,"Units in Single-Family Structures",2.0,1673.0
"Honolulu County",2002,"Units in Single-Family Structures",2.0,1964.0
"Honolulu County",2003,"Units in Single-Family Structures",2.0,2910.0
"Honolulu County",2004,"Units in Single-Family Structures",2.0,1898.0
"Honolulu County",2005,"Units in Single-Family Structures",2.0,2079.0
"Honolulu County",2006,"Units in Single-Family Structures",2.0,1727.0
"Honolulu County",2007,"Units in Single-Family Structures",2.0,1152.0
"Honolulu County",2008,"Units in Single-Family Structures",2.0,780.0
"Honolulu County",2009,"Units in Single-Family Structures",2.0,862.0
"Honolulu County",2010,"Units in Single-Family Structures",2.0,879.0
"Honolulu County",2011,"Units in Single-Family Structures",2.0,734.0
"Honolulu County",2012,"Units in Single-Family Structures",2.0,994.0
"Honolulu County",2013,"Units in Single-Family Structures",2.0,1137.0
"Honolulu County",2014,"Units in Single-Family Structures",2.0,875.0
