"Location","Year","Series","Series Code","Permits"
"Ada County",1999,"Total Units",1.0,4480.0
"Ada County",2000,"Total Units",1.0,3999.0
"Ada County",2001,"Total Units",1.0,4240.0
"Ada County",2002,"Total Units",1.0,4032.0
"Ada County",2003,"Total Units",1.0,4785.0
"Ada County",2004,"Total Units",1.0,5788.0
"Ada County",2005,"Total Units",1.0,7854.0
"Ada County",2006,"Total Units",1.0,4826.0
"Ada County",2007,"Total Units",1.0,3013.0
"Ada County",2008,"Total Units",1.0,1800.0
"Ada County",2009,"Total Units",1.0,1438.0
"Ada County",2010,"Total Units",1.0,1285.0
"Ada County",2011,"Total Units",1.0,1453.0
"Ada County",2012,"Total Units",1.0,2631.0
"Ada County",2013,"Total Units",1.0,3281.0
"Ada County",2014,"Total Units",1.0,3968.0
"Ada County",2015,"Total Units",1.0,4241.0
"Ada County",2016,"Total Units",1.0,4697.0
"Ada County",2017,"Total Units",1.0,5942.0
"Ada County",2018,"Total Units",1.0,6406.0
"Ada County",2019,"Total Units",1.0,7048.0
"Ada County",1999,"Units in Single-Family Structures",2.0,3766.0
"Ada County",2000,"Units in Single-Family Structures",2.0,3625.0
"Ada County",2001,"Units in Single-Family Structures",2.0,3181.0
"Ada County",2002,"Units in Single-Family Structures",2.0,3275.0
"Ada County",2003,"Units in Single-Family Structures",2.0,4074.0
"Ada County",2004,"Units in Single-Family Structures",2.0,5204.0
"Ada County",2005,"Units in Single-Family Structures",2.0,7386.0
"Ada County",2006,"Units in Single-Family Structures",2.0,4104.0
"Ada County",2007,"Units in Single-Family Structures",2.0,2331.0
"Ada County",2008,"Units in Single-Family Structures",2.0,1537.0
"Ada County",2009,"Units in Single-Family Structures",2.0,1306.0
"Ada County",2010,"Units in Single-Family Structures",2.0,1273.0
"Ada County",2011,"Units in Single-Family Structures",2.0,1338.0
"Ada County",2012,"Units in Single-Family Structures",2.0,2250.0
"Ada County",2013,"Units in Single-Family Structures",2.0,2540.0
"Ada County",2014,"Units in Single-Family Structures",2.0,2353.0
"Ada County",2015,"Units in Single-Family Structures",2.0,3055.0
"Ada County",2016,"Units in Single-Family Structures",2.0,3798.0
"Ada County",2017,"Units in Single-Family Structures",2.0,4474.0
"Ada County",2018,"Units in Single-Family Structures",2.0,4770.0
"Ada County",2019,"Units in Single-Family Structures",2.0,4828.0
"Ada County",1999,"Units in All Multi-Family Structures",3.0,714.0
"Ada County",2000,"Units in All Multi-Family Structures",3.0,374.0
"Ada County",2001,"Units in All Multi-Family Structures",3.0,1059.0
"Ada County",2002,"Units in All Multi-Family Structures",3.0,757.0
"Ada County",2003,"Units in All Multi-Family Structures",3.0,711.0
"Ada County",2004,"Units in All Multi-Family Structures",3.0,584.0
"Ada County",2005,"Units in All Multi-Family Structures",3.0,468.0
"Ada County",2006,"Units in All Multi-Family Structures",3.0,722.0
"Ada County",2007,"Units in All Multi-Family Structures",3.0,682.0
"Ada County",2008,"Units in All Multi-Family Structures",3.0,263.0
"Ada County",2009,"Units in All Multi-Family Structures",3.0,132.0
"Ada County",2010,"Units in All Multi-Family Structures",3.0,12.0
"Ada County",2011,"Units in All Multi-Family Structures",3.0,115.0
"Ada County",2012,"Units in All Multi-Family Structures",3.0,381.0
"Ada County",2013,"Units in All Multi-Family Structures",3.0,741.0
"Ada County",2014,"Units in All Multi-Family Structures",3.0,1615.0
"Ada County",2015,"Units in All Multi-Family Structures",3.0,1186.0
"Ada County",2016,"Units in All Multi-Family Structures",3.0,899.0
"Ada County",2017,"Units in All Multi-Family Structures",3.0,1468.0
"Ada County",2018,"Units in All Multi-Family Structures",3.0,1636.0
"Ada County",2019,"Units in All Multi-Family Structures",3.0,2220.0
"Ada County",1999,"Units in 2-unit Multi-Family Structures",4.0,68.0
"Ada County",2000,"Units in 2-unit Multi-Family Structures",4.0,48.0
"Ada County",2001,"Units in 2-unit Multi-Family Structures",4.0,74.0
"Ada County",2002,"Units in 2-unit Multi-Family Structures",4.0,100.0
"Ada County",2003,"Units in 2-unit Multi-Family Structures",4.0,78.0
"Ada County",2004,"Units in 2-unit Multi-Family Structures",4.0,168.0
"Ada County",2005,"Units in 2-unit Multi-Family Structures",4.0,150.0
"Ada County",2006,"Units in 2-unit Multi-Family Structures",4.0,66.0
"Ada County",2007,"Units in 2-unit Multi-Family Structures",4.0,90.0
"Ada County",2008,"Units in 2-unit Multi-Family Structures",4.0,46.0
"Ada County",2009,"Units in 2-unit Multi-Family Structures",4.0,6.0
"Ada County",2010,"Units in 2-unit Multi-Family Structures",4.0,4.0
"Ada County",2011,"Units in 2-unit Multi-Family Structures",4.0,0
"Ada County",2012,"Units in 2-unit Multi-Family Structures",4.0,0
"Ada County",2013,"Units in 2-unit Multi-Family Structures",4.0,14.0
"Ada County",2014,"Units in 2-unit Multi-Family Structures",4.0,4.0
"Ada County",2015,"Units in 2-unit Multi-Family Structures",4.0,4.0
"Ada County",2016,"Units in 2-unit Multi-Family Structures",4.0,20.0
"Ada County",2017,"Units in 2-unit Multi-Family Structures",4.0,12.0
"Ada County",2018,"Units in 2-unit Multi-Family Structures",4.0,22.0
"Ada County",2019,"Units in 2-unit Multi-Family Structures",4.0,24.0
"Ada County",1999,"Units in 3- and 4-unit Multi-Family Structures",5.0,51.0
"Ada County",2000,"Units in 3- and 4-unit Multi-Family Structures",5.0,204.0
"Ada County",2001,"Units in 3- and 4-unit Multi-Family Structures",5.0,166.0
"Ada County",2002,"Units in 3- and 4-unit Multi-Family Structures",5.0,149.0
"Ada County",2003,"Units in 3- and 4-unit Multi-Family Structures",5.0,216.0
"Ada County",2004,"Units in 3- and 4-unit Multi-Family Structures",5.0,384.0
"Ada County",2005,"Units in 3- and 4-unit Multi-Family Structures",5.0,256.0
"Ada County",2006,"Units in 3- and 4-unit Multi-Family Structures",5.0,395.0
"Ada County",2007,"Units in 3- and 4-unit Multi-Family Structures",5.0,417.0
"Ada County",2008,"Units in 3- and 4-unit Multi-Family Structures",5.0,53.0
"Ada County",2009,"Units in 3- and 4-unit Multi-Family Structures",5.0,118.0
"Ada County",2010,"Units in 3- and 4-unit Multi-Family Structures",5.0,8.0
"Ada County",2011,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Ada County",2012,"Units in 3- and 4-unit Multi-Family Structures",5.0,79.0
"Ada County",2013,"Units in 3- and 4-unit Multi-Family Structures",5.0,99.0
"Ada County",2014,"Units in 3- and 4-unit Multi-Family Structures",5.0,332.0
"Ada County",2015,"Units in 3- and 4-unit Multi-Family Structures",5.0,324.0
"Ada County",2016,"Units in 3- and 4-unit Multi-Family Structures",5.0,156.0
"Ada County",2017,"Units in 3- and 4-unit Multi-Family Structures",5.0,201.0
"Ada County",2018,"Units in 3- and 4-unit Multi-Family Structures",5.0,101.0
"Ada County",2019,"Units in 3- and 4-unit Multi-Family Structures",5.0,126.0
"Ada County",1999,"Units in 5+ Unit Multi-Family Structures",6.0,595.0
"Ada County",2000,"Units in 5+ Unit Multi-Family Structures",6.0,122.0
"Ada County",2001,"Units in 5+ Unit Multi-Family Structures",6.0,819.0
"Ada County",2002,"Units in 5+ Unit Multi-Family Structures",6.0,508.0
"Ada County",2003,"Units in 5+ Unit Multi-Family Structures",6.0,417.0
"Ada County",2004,"Units in 5+ Unit Multi-Family Structures",6.0,32.0
"Ada County",2005,"Units in 5+ Unit Multi-Family Structures",6.0,62.0
"Ada County",2006,"Units in 5+ Unit Multi-Family Structures",6.0,261.0
"Ada County",2007,"Units in 5+ Unit Multi-Family Structures",6.0,175.0
"Ada County",2008,"Units in 5+ Unit Multi-Family Structures",6.0,164.0
"Ada County",2009,"Units in 5+ Unit Multi-Family Structures",6.0,8.0
"Ada County",2010,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Ada County",2011,"Units in 5+ Unit Multi-Family Structures",6.0,115.0
"Ada County",2012,"Units in 5+ Unit Multi-Family Structures",6.0,302.0
"Ada County",2013,"Units in 5+ Unit Multi-Family Structures",6.0,628.0
"Ada County",2014,"Units in 5+ Unit Multi-Family Structures",6.0,1279.0
"Ada County",2015,"Units in 5+ Unit Multi-Family Structures",6.0,858.0
"Ada County",2016,"Units in 5+ Unit Multi-Family Structures",6.0,723.0
"Ada County",2017,"Units in 5+ Unit Multi-Family Structures",6.0,1255.0
"Ada County",2018,"Units in 5+ Unit Multi-Family Structures",6.0,1513.0
"Ada County",2019,"Units in 5+ Unit Multi-Family Structures",6.0,2070.0
"Adams County",1999,"Total Units",1.0,56.0
"Adams County",2000,"Total Units",1.0,43.0
"Adams County",2001,"Total Units",1.0,58.0
"Adams County",2002,"Total Units",1.0,66.0
"Adams County",2003,"Total Units",1.0,56.0
"Adams County",2004,"Total Units",1.0,83.0
"Adams County",2005,"Total Units",1.0,81.0
"Adams County",2006,"Total Units",1.0,70.0
"Adams County",2007,"Total Units",1.0,45.0
"Adams County",2008,"Total Units",1.0,27.0
"Adams County",2009,"Total Units",1.0,13.0
"Adams County",2010,"Total Units",1.0,13.0
"Adams County",2011,"Total Units",1.0,7.0
"Adams County",2012,"Total Units",1.0,6.0
"Adams County",2013,"Total Units",1.0,1.0
"Adams County",2014,"Total Units",1.0,4.0
"Adams County",2015,"Total Units",1.0,4.0
"Adams County",2016,"Total Units",1.0,9.0
"Adams County",2017,"Total Units",1.0,10.0
"Adams County",2018,"Total Units",1.0,12.0
"Adams County",2019,"Total Units",1.0,6.0
"Adams County",1999,"Units in Single-Family Structures",2.0,56.0
"Adams County",2000,"Units in Single-Family Structures",2.0,43.0
"Adams County",2001,"Units in Single-Family Structures",2.0,56.0
"Adams County",2002,"Units in Single-Family Structures",2.0,66.0
"Adams County",2003,"Units in Single-Family Structures",2.0,56.0
"Adams County",2004,"Units in Single-Family Structures",2.0,83.0
