"Location","Year","Series","Series Code","Permits"
"Adams County",1999,"Total Units",1.0,92.0
"Adams County",2000,"Total Units",1.0,100.0
"Adams County",2001,"Total Units",1.0,172.0
"Adams County",2002,"Total Units",1.0,118.0
"Adams County",2003,"Total Units",1.0,138.0
"Adams County",2004,"Total Units",1.0,126.0
"Adams County",2005,"Total Units",1.0,125.0
"Adams County",2006,"Total Units",1.0,156.0
"Adams County",2007,"Total Units",1.0,117.0
"Adams County",2008,"Total Units",1.0,95.0
"Adams County",2009,"Total Units",1.0,126.0
"Adams County",2010,"Total Units",1.0,139.0
"Adams County",2011,"Total Units",1.0,50.0
"Adams County",2012,"Total Units",1.0,138.0
"Adams County",2013,"Total Units",1.0,46.0
"Adams County",2014,"Total Units",1.0,83.0
"Adams County",2015,"Total Units",1.0,67.0
"Adams County",2016,"Total Units",1.0,66.0
"Adams County",2017,"Total Units",1.0,78.0
"Adams County",2018,"Total Units",1.0,49.0
"Adams County",2019,"Total Units",1.0,61.0
"Adams County",1999,"Units in Single-Family Structures",2.0,66.0
"Adams County",2000,"Units in Single-Family Structures",2.0,66.0
"Adams County",2001,"Units in Single-Family Structures",2.0,81.0
"Adams County",2002,"Units in Single-Family Structures",2.0,103.0
"Adams County",2003,"Units in Single-Family Structures",2.0,106.0
"Adams County",2004,"Units in Single-Family Structures",2.0,116.0
"Adams County",2005,"Units in Single-Family Structures",2.0,125.0
"Adams County",2006,"Units in Single-Family Structures",2.0,140.0
"Adams County",2007,"Units in Single-Family Structures",2.0,66.0
"Adams County",2008,"Units in Single-Family Structures",2.0,59.0
"Adams County",2009,"Units in Single-Family Structures",2.0,57.0
"Adams County",2010,"Units in Single-Family Structures",2.0,51.0
"Adams County",2011,"Units in Single-Family Structures",2.0,48.0
"Adams County",2012,"Units in Single-Family Structures",2.0,81.0
"Adams County",2013,"Units in Single-Family Structures",2.0,46.0
"Adams County",2014,"Units in Single-Family Structures",2.0,69.0
"Adams County",2015,"Units in Single-Family Structures",2.0,67.0
"Adams County",2016,"Units in Single-Family Structures",2.0,66.0
"Adams County",2017,"Units in Single-Family Structures",2.0,62.0
"Adams County",2018,"Units in Single-Family Structures",2.0,47.0
"Adams County",2019,"Units in Single-Family Structures",2.0,61.0
"Adams County",1999,"Units in All Multi-Family Structures",3.0,26.0
"Adams County",2000,"Units in All Multi-Family Structures",3.0,34.0
"Adams County",2001,"Units in All Multi-Family Structures",3.0,91.0
"Adams County",2002,"Units in All Multi-Family Structures",3.0,15.0
"Adams County",2003,"Units in All Multi-Family Structures",3.0,32.0
"Adams County",2004,"Units in All Multi-Family Structures",3.0,10.0
"Adams County",2005,"Units in All Multi-Family Structures",3.0,0
"Adams County",2006,"Units in All Multi-Family Structures",3.0,16.0
"Adams County",2007,"Units in All Multi-Family Structures",3.0,51.0
"Adams County",2008,"Units in All Multi-Family Structures",3.0,36.0
"Adams County",2009,"Units in All Multi-Family Structures",3.0,69.0
"Adams County",2010,"Units in All Multi-Family Structures",3.0,88.0
"Adams County",2011,"Units in All Multi-Family Structures",3.0,2.0
"Adams County",2012,"Units in All Multi-Family Structures",3.0,57.0
"Adams County",2013,"Units in All Multi-Family Structures",3.0,0
"Adams County",2014,"Units in All Multi-Family Structures",3.0,14.0
"Adams County",2015,"Units in All Multi-Family Structures",3.0,0
"Adams County",2016,"Units in All Multi-Family Structures",3.0,0
"Adams County",2017,"Units in All Multi-Family Structures",3.0,16.0
"Adams County",2018,"Units in All Multi-Family Structures",3.0,2.0
"Adams County",2019,"Units in All Multi-Family Structures",3.0,0
"Adams County",1999,"Units in 2-unit Multi-Family Structures",4.0,8.0
"Adams County",2000,"Units in 2-unit Multi-Family Structures",4.0,8.0
"Adams County",2001,"Units in 2-unit Multi-Family Structures",4.0,8.0
"Adams County",2002,"Units in 2-unit Multi-Family Structures",4.0,2.0
"Adams County",2003,"Units in 2-unit Multi-Family Structures",4.0,12.0
"Adams County",2004,"Units in 2-unit Multi-Family Structures",4.0,4.0
"Adams County",2005,"Units in 2-unit Multi-Family Structures",4.0,0
