"Location","Year","Series","Series Code","Permits"
"Adams County",1999,"Total Units",1.0,196.0
"Adams County",2000,"Total Units",1.0,121.0
"Adams County",2001,"Total Units",1.0,96.0
"Adams County",2002,"Total Units",1.0,140.0
"Adams County",2003,"Total Units",1.0,98.0
"Adams County",2004,"Total Units",1.0,128.0
"Adams County",2005,"Total Units",1.0,159.0
"Adams County",2006,"Total Units",1.0,106.0
"Adams County",2007,"Total Units",1.0,153.0
"Adams County",2008,"Total Units",1.0,65.0
"Adams County",2009,"Total Units",1.0,46.0
"Adams County",2010,"Total Units",1.0,44.0
"Adams County",2011,"Total Units",1.0,38.0
"Adams County",2012,"Total Units",1.0,66.0
"Adams County",2013,"Total Units",1.0,56.0
"Adams County",2014,"Total Units",1.0,79.0
"Adams County",2015,"Total Units",1.0,69.0
"Adams County",2016,"Total Units",1.0,24.0
"Adams County",2017,"Total Units",1.0,85.0
"Adams County",2018,"Total Units",1.0,91.0
"Adams County",2019,"Total Units",1.0,53.0
"Adams County",1999,"Units in Single-Family Structures",2.0,120.0
"Adams County",2000,"Units in Single-Family Structures",2.0,103.0
"Adams County",2001,"Units in Single-Family Structures",2.0,94.0
"Adams County",2002,"Units in Single-Family Structures",2.0,136.0
"Adams County",2003,"Units in Single-Family Structures",2.0,98.0
"Adams County",2004,"Units in Single-Family Structures",2.0,102.0
"Adams County",2005,"Units in Single-Family Structures",2.0,141.0
"Adams County",2006,"Units in Single-Family Structures",2.0,90.0
"Adams County",2007,"Units in Single-Family Structures",2.0,96.0
"Adams County",2008,"Units in Single-Family Structures",2.0,53.0
"Adams County",2009,"Units in Single-Family Structures",2.0,46.0
"Adams County",2010,"Units in Single-Family Structures",2.0,44.0
"Adams County",2011,"Units in Single-Family Structures",2.0,38.0
"Adams County",2012,"Units in Single-Family Structures",2.0,48.0
"Adams County",2013,"Units in Single-Family Structures",2.0,56.0
"Adams County",2014,"Units in Single-Family Structures",2.0,63.0
"Adams County",2015,"Units in Single-Family Structures",2.0,69.0
"Adams County",2016,"Units in Single-Family Structures",2.0,12.0
"Adams County",2017,"Units in Single-Family Structures",2.0,71.0
"Adams County",2018,"Units in Single-Family Structures",2.0,83.0
"Adams County",2019,"Units in Single-Family Structures",2.0,41.0
"Adams County",1999,"Units in All Multi-Family Structures",3.0,76.0
"Adams County",2000,"Units in All Multi-Family Structures",3.0,18.0
"Adams County",2001,"Units in All Multi-Family Structures",3.0,2.0
"Adams County",2002,"Units in All Multi-Family Structures",3.0,4.0
"Adams County",2003,"Units in All Multi-Family Structures",3.0,0
"Adams County",2004,"Units in All Multi-Family Structures",3.0,26.0
"Adams County",2005,"Units in All Multi-Family Structures",3.0,18.0
"Adams County",2006,"Units in All Multi-Family Structures",3.0,16.0
"Adams County",2007,"Units in All Multi-Family Structures",3.0,57.0
