"Location","Year","Series","Series Code","Permits"
"Acadia Parish",1999,"Total Units",1.0,240.0
"Acadia Parish",2000,"Total Units",1.0,152.0
"Acadia Parish",2001,"Total Units",1.0,165.0
"Acadia Parish",2002,"Total Units",1.0,186.0
"Acadia Parish",2003,"Total Units",1.0,208.0
"Acadia Parish",2004,"Total Units",1.0,170.0
"Acadia Parish",2005,"Total Units",1.0,185.0
"Acadia Parish",2006,"Total Units",1.0,244.0
"Acadia Parish",2007,"Total Units",1.0,202.0
"Acadia Parish",2008,"Total Units",1.0,100.0
"Acadia Parish",2009,"Total Units",1.0,122.0
"Acadia Parish",2010,"Total Units",1.0,108.0
"Acadia Parish",2011,"Total Units",1.0,149.0
"Acadia Parish",2012,"Total Units",1.0,145.0
"Acadia Parish",2013,"Total Units",1.0,135.0
"Acadia Parish",2014,"Total Units",1.0,123.0
"Acadia Parish",2015,"Total Units",1.0,181.0
"Acadia Parish",2016,"Total Units",1.0,143.0
"Acadia Parish",2017,"Total Units",1.0,103.0
"Acadia Parish",2018,"Total Units",1.0,34.0
"Acadia Parish",2019,"Total Units",1.0,22.0
"Acadia Parish",1999,"Units in Single-Family Structures",2.0,163.0
"Acadia Parish",2000,"Units in Single-Family Structures",2.0,152.0
"Acadia Parish",2001,"Units in Single-Family Structures",2.0,165.0
"Acadia Parish",2002,"Units in Single-Family Structures",2.0,183.0
"Acadia Parish",2003,"Units in Single-Family Structures",2.0,205.0
"Acadia Parish",2004,"Units in Single-Family Structures",2.0,167.0
"Acadia Parish",2005,"Units in Single-Family Structures",2.0,182.0
"Acadia Parish",2006,"Units in Single-Family Structures",2.0,221.0
"Acadia Parish",2007,"Units in Single-Family Structures",2.0,197.0
"Acadia Parish",2008,"Units in Single-Family Structures",2.0,97.0
"Acadia Parish",2009,"Units in Single-Family Structures",2.0,119.0
"Acadia Parish",2010,"Units in Single-Family Structures",2.0,101.0
"Acadia Parish",2011,"Units in Single-Family Structures",2.0,142.0
"Acadia Parish",2012,"Units in Single-Family Structures",2.0,142.0
"Acadia Parish",2013,"Units in Single-Family Structures",2.0,129.0
"Acadia Parish",2014,"Units in Single-Family Structures",2.0,117.0
"Acadia Parish",2015,"Units in Single-Family Structures",2.0,103.0
"Acadia Parish",2016,"Units in Single-Family Structures",2.0,90.0
"Acadia Parish",2017,"Units in Single-Family Structures",2.0,95.0
"Acadia Parish",2018,"Units in Single-Family Structures",2.0,22.0
"Acadia Parish",2019,"Units in Single-Family Structures",2.0,22.0
"Acadia Parish",1999,"Units in All Multi-Family Structures",3.0,77.0
"Acadia Parish",2000,"Units in All Multi-Family Structures",3.0,0
"Acadia Parish",2001,"Units in All Multi-Family Structures",3.0,0
"Acadia Parish",2002,"Units in All Multi-Family Structures",3.0,3.0
"Acadia Parish",2003,"Units in All Multi-Family Structures",3.0,3.0
"Acadia Parish",2004,"Units in All Multi-Family Structures",3.0,3.0
"Acadia Parish",2005,"Units in All Multi-Family Structures",3.0,3.0
"Acadia Parish",2006,"Units in All Multi-Family Structures",3.0,23.0
