"Location","Year","Series","Series Code","Permits"
"Barnstable County",1999,"Total Units",1.0,2224.0
"Barnstable County",2000,"Total Units",1.0,1882.0
"Barnstable County",2001,"Total Units",1.0,1619.0
"Barnstable County",2002,"Total Units",1.0,1393.0
"Barnstable County",2003,"Total Units",1.0,1228.0
"Barnstable County",2004,"Total Units",1.0,1475.0
"Barnstable County",2005,"Total Units",1.0,1388.0
"Barnstable County",2006,"Total Units",1.0,886.0
"Barnstable County",2007,"Total Units",1.0,818.0
"Barnstable County",2008,"Total Units",1.0,559.0
"Barnstable County",2009,"Total Units",1.0,377.0
"Barnstable County",2010,"Total Units",1.0,418.0
"Barnstable County",2011,"Total Units",1.0,404.0
"Barnstable County",2012,"Total Units",1.0,592.0
"Barnstable County",2013,"Total Units",1.0,596.0
"Barnstable County",2014,"Total Units",1.0,640.0
"Barnstable County",2015,"Total Units",1.0,572.0
"Barnstable County",2016,"Total Units",1.0,505.0
"Barnstable County",2017,"Total Units",1.0,871.0
"Barnstable County",2018,"Total Units",1.0,1005.0
"Barnstable County",2019,"Total Units",1.0,513.0
"Barnstable County",1999,"Units in Single-Family Structures",2.0,2079.0
"Barnstable County",2000,"Units in Single-Family Structures",2.0,1782.0
"Barnstable County",2001,"Units in Single-Family Structures",2.0,1500.0
"Barnstable County",2002,"Units in Single-Family Structures",2.0,1325.0
"Barnstable County",2003,"Units in Single-Family Structures",2.0,1095.0
"Barnstable County",2004,"Units in Single-Family Structures",2.0,1265.0
"Barnstable County",2005,"Units in Single-Family Structures",2.0,1152.0
"Barnstable County",2006,"Units in Single-Family Structures",2.0,788.0
"Barnstable County",2007,"Units in Single-Family Structures",2.0,679.0
"Barnstable County",2008,"Units in Single-Family Structures",2.0,447.0
"Barnstable County",2009,"Units in Single-Family Structures",2.0,337.0
"Barnstable County",2010,"Units in Single-Family Structures",2.0,381.0
"Barnstable County",2011,"Units in Single-Family Structures",2.0,342.0
"Barnstable County",2012,"Units in Single-Family Structures",2.0,410.0
"Barnstable County",2013,"Units in Single-Family Structures",2.0,425.0
"Barnstable County",2014,"Units in Single-Family Structures",2.0,530.0
"Barnstable County",2015,"Units in Single-Family Structures",2.0,550.0
"Barnstable County",2016,"Units in Single-Family Structures",2.0,495.0
"Barnstable County",2017,"Units in Single-Family Structures",2.0,489.0
