"Location","Year","Series","Series Code","Permits"
"Allegany County",1999,"Total Units",1.0,86.0
"Allegany County",2000,"Total Units",1.0,79.0
"Allegany County",2001,"Total Units",1.0,80.0
"Allegany County",2002,"Total Units",1.0,103.0
"Allegany County",2003,"Total Units",1.0,107.0
"Allegany County",2004,"Total Units",1.0,120.0
"Allegany County",2005,"Total Units",1.0,114.0
"Allegany County",2006,"Total Units",1.0,120.0
"Allegany County",2007,"Total Units",1.0,135.0
"Allegany County",2008,"Total Units",1.0,81.0
"Allegany County",2009,"Total Units",1.0,138.0
"Allegany County",2010,"Total Units",1.0,122.0
"Allegany County",2011,"Total Units",1.0,70.0
"Allegany County",2012,"Total Units",1.0,38.0
"Allegany County",2013,"Total Units",1.0,46.0
"Allegany County",2014,"Total Units",1.0,25.0
"Allegany County",2015,"Total Units",1.0,49.0
"Allegany County",2016,"Total Units",1.0,41.0
"Allegany County",2017,"Total Units",1.0,21.0
"Allegany County",2018,"Total Units",1.0,30.0
"Allegany County",2019,"Total Units",1.0,65.0
"Allegany County",1999,"Units in Single-Family Structures",2.0,79.0
"Allegany County",2000,"Units in Single-Family Structures",2.0,79.0
"Allegany County",2001,"Units in Single-Family Structures",2.0,73.0
"Allegany County",2002,"Units in Single-Family Structures",2.0,91.0
"Allegany County",2003,"Units in Single-Family Structures",2.0,107.0
"Allegany County",2004,"Units in Single-Family Structures",2.0,100.0
"Allegany County",2005,"Units in Single-Family Structures",2.0,104.0
"Allegany County",2006,"Units in Single-Family Structures",2.0,120.0
"Allegany County",2007,"Units in Single-Family Structures",2.0,133.0
"Allegany County",2008,"Units in Single-Family Structures",2.0,72.0
"Allegany County",2009,"Units in Single-Family Structures",2.0,63.0
"Allegany County",2010,"Units in Single-Family Structures",2.0,56.0
"Allegany County",2011,"Units in Single-Family Structures",2.0,64.0
"Allegany County",2012,"Units in Single-Family Structures",2.0,38.0
"Allegany County",2013,"Units in Single-Family Structures",2.0,26.0
"Allegany County",2014,"Units in Single-Family Structures",2.0,20.0
"Allegany County",2015,"Units in Single-Family Structures",2.0,20.0
"Allegany County",2016,"Units in Single-Family Structures",2.0,25.0
"Allegany County",2017,"Units in Single-Family Structures",2.0,21.0
"Allegany County",2018,"Units in Single-Family Structures",2.0,30.0
"Allegany County",2019,"Units in Single-Family Structures",2.0,25.0
"Allegany County",1999,"Units in All Multi-Family Structures",3.0,7.0
"Allegany County",2000,"Units in All Multi-Family Structures",3.0,0
"Allegany County",2001,"Units in All Multi-Family Structures",3.0,7.0
"Allegany County",2002,"Units in All Multi-Family Structures",3.0,12.0
"Allegany County",2003,"Units in All Multi-Family Structures",3.0,0
"Allegany County",2004,"Units in All Multi-Family Structures",3.0,20.0
"Allegany County",2005,"Units in All Multi-Family Structures",3.0,10.0
"Allegany County",2006,"Units in All Multi-Family Structures",3.0,0
"Allegany County",2007,"Units in All Multi-Family Structures",3.0,2.0
"Allegany County",2008,"Units in All Multi-Family Structures",3.0,9.0
"Allegany County",2009,"Units in All Multi-Family Structures",3.0,75.0
"Allegany County",2010,"Units in All Multi-Family Structures",3.0,66.0
"Allegany County",2011,"Units in All Multi-Family Structures",3.0,6.0
"Allegany County",2012,"Units in All Multi-Family Structures",3.0,0
"Allegany County",2013,"Units in All Multi-Family Structures",3.0,20.0
"Allegany County",2014,"Units in All Multi-Family Structures",3.0,5.0
"Allegany County",2015,"Units in All Multi-Family Structures",3.0,29.0
"Allegany County",2016,"Units in All Multi-Family Structures",3.0,16.0
"Allegany County",2017,"Units in All Multi-Family Structures",3.0,0
"Allegany County",2018,"Units in All Multi-Family Structures",3.0,0
"Allegany County",2019,"Units in All Multi-Family Structures",3.0,40.0
"Allegany County",1999,"Units in 2-unit Multi-Family Structures",4.0,2.0
"Allegany County",2000,"Units in 2-unit Multi-Family Structures",4.0,0
"Allegany County",2001,"Units in 2-unit Multi-Family Structures",4.0,0
"Allegany County",2002,"Units in 2-unit Multi-Family Structures",4.0,2.0
"Allegany County",2003,"Units in 2-unit Multi-Family Structures",4.0,0
"Allegany County",2004,"Units in 2-unit Multi-Family Structures",4.0,2.0
"Allegany County",2005,"Units in 2-unit Multi-Family Structures",4.0,4.0
"Allegany County",2006,"Units in 2-unit Multi-Family Structures",4.0,0
"Allegany County",2007,"Units in 2-unit Multi-Family Structures",4.0,2.0
"Allegany County",2008,"Units in 2-unit Multi-Family Structures",4.0,0
"Allegany County",2009,"Units in 2-unit Multi-Family Structures",4.0,2.0
"Allegany County",2010,"Units in 2-unit Multi-Family Structures",4.0,2.0
"Allegany County",2011,"Units in 2-unit Multi-Family Structures",4.0,6.0
"Allegany County",2012,"Units in 2-unit Multi-Family Structures",4.0,0
"Allegany County",2013,"Units in 2-unit Multi-Family Structures",4.0,0
"Allegany County",2014,"Units in 2-unit Multi-Family Structures",4.0,0
"Allegany County",2015,"Units in 2-unit Multi-Family Structures",4.0,0
"Allegany County",2016,"Units in 2-unit Multi-Family Structures",4.0,0
"Allegany County",2017,"Units in 2-unit Multi-Family Structures",4.0,0
"Allegany County",2018,"Units in 2-unit Multi-Family Structures",4.0,0
"Allegany County",2019,"Units in 2-unit Multi-Family Structures",4.0,0
"Allegany County",1999,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Allegany County",2000,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Allegany County",2001,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Allegany County",2002,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Allegany County",2003,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Allegany County",2004,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Allegany County",2005,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Allegany County",2006,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Allegany County",2007,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Allegany County",2008,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Allegany County",2009,"Units in 3- and 4-unit Multi-Family Structures",5.0,20.0
"Allegany County",2010,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Allegany County",2011,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Allegany County",2012,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Allegany County",2013,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Allegany County",2014,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Allegany County",2015,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Allegany County",2016,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Allegany County",2017,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Allegany County",2018,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Allegany County",2019,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Allegany County",1999,"Units in 5+ Unit Multi-Family Structures",6.0,5.0
"Allegany County",2000,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Allegany County",2001,"Units in 5+ Unit Multi-Family Structures",6.0,7.0
"Allegany County",2002,"Units in 5+ Unit Multi-Family Structures",6.0,10.0
"Allegany County",2003,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Allegany County",2004,"Units in 5+ Unit Multi-Family Structures",6.0,18.0
"Allegany County",2005,"Units in 5+ Unit Multi-Family Structures",6.0,6.0
"Allegany County",2006,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Allegany County",2007,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Allegany County",2008,"Units in 5+ Unit Multi-Family Structures",6.0,9.0
"Allegany County",2009,"Units in 5+ Unit Multi-Family Structures",6.0,53.0
"Allegany County",2010,"Units in 5+ Unit Multi-Family Structures",6.0,64.0
"Allegany County",2011,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Allegany County",2012,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Allegany County",2013,"Units in 5+ Unit Multi-Family Structures",6.0,20.0
"Allegany County",2014,"Units in 5+ Unit Multi-Family Structures",6.0,5.0
"Allegany County",2015,"Units in 5+ Unit Multi-Family Structures",6.0,29.0
"Allegany County",2016,"Units in 5+ Unit Multi-Family Structures",6.0,16.0
"Allegany County",2017,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Allegany County",2018,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Allegany County",2019,"Units in 5+ Unit Multi-Family Structures",6.0,40.0
"Anne Arundel County",1999,"Total Units",1.0,3633.0
"Anne Arundel County",2000,"Total Units",1.0,3078.0
"Anne Arundel County",2001,"Total Units",1.0,2492.0
"Anne Arundel County",2002,"Total Units",1.0,2359.0
"Anne Arundel County",2003,"Total Units",1.0,3001.0
"Anne Arundel County",2004,"Total Units",1.0,2364.0
"Anne Arundel County",2005,"Total Units",1.0,2495.0
"Anne Arundel County",2006,"Total Units",1.0,1414.0
"Anne Arundel County",2007,"Total Units",1.0,1831.0
"Anne Arundel County",2008,"Total Units",1.0,974.0
"Anne Arundel County",2009,"Total Units",1.0,1175.0
"Anne Arundel County",2010,"Total Units",1.0,1711.0
"Anne Arundel County",2011,"Total Units",1.0,2360.0
"Anne Arundel County",2012,"Total Units",1.0,1595.0
"Anne Arundel County",2013,"Total Units",1.0,1851.0
"Anne Arundel County",2014,"Total Units",1.0,2441.0
"Anne Arundel County",2015,"Total Units",1.0,2656.0
"Anne Arundel County",2016,"Total Units",1.0,2394.0
"Anne Arundel County",2017,"Total Units",1.0,2406.0
"Anne Arundel County",2018,"Total Units",1.0,2046.0
"Anne Arundel County",2019,"Total Units",1.0,2650.0
"Anne Arundel County",1999,"Units in Single-Family Structures",2.0,2727.0
"Anne Arundel County",2000,"Units in Single-Family Structures",2.0,2470.0
"Anne Arundel County",2001,"Units in Single-Family Structures",2.0,2013.0
"Anne Arundel County",2002,"Units in Single-Family Structures",2.0,2026.0
"Anne Arundel County",2003,"Units in Single-Family Structures",2.0,2164.0
"Anne Arundel County",2004,"Units in Single-Family Structures",2.0,1769.0
"Anne Arundel County",2005,"Units in Single-Family Structures",2.0,1565.0
