"Location","Year","Series","Series Code","Permits"
"Androscoggin County",1999,"Total Units",1.0,329.0
"Androscoggin County",2000,"Total Units",1.0,321.0
"Androscoggin County",2001,"Total Units",1.0,302.0
"Androscoggin County",2002,"Total Units",1.0,378.0
"Androscoggin County",2003,"Total Units",1.0,508.0
"Androscoggin County",2004,"Total Units",1.0,545.0
"Androscoggin County",2005,"Total Units",1.0,521.0
"Androscoggin County",2006,"Total Units",1.0,320.0
"Androscoggin County",2007,"Total Units",1.0,252.0
"Androscoggin County",2008,"Total Units",1.0,219.0
"Androscoggin County",2009,"Total Units",1.0,167.0
"Androscoggin County",2010,"Total Units",1.0,206.0
"Androscoggin County",2011,"Total Units",1.0,148.0
"Androscoggin County",2012,"Total Units",1.0,129.0
"Androscoggin County",2013,"Total Units",1.0,123.0
"Androscoggin County",2014,"Total Units",1.0,91.0
"Androscoggin County",2015,"Total Units",1.0,74.0
"Androscoggin County",2016,"Total Units",1.0,185.0
"Androscoggin County",2017,"Total Units",1.0,248.0
"Androscoggin County",2018,"Total Units",1.0,296.0
"Androscoggin County",2019,"Total Units",1.0,223.0
"Androscoggin County",1999,"Units in Single-Family Structures",2.0,321.0
"Androscoggin County",2000,"Units in Single-Family Structures",2.0,310.0
"Androscoggin County",2001,"Units in Single-Family Structures",2.0,294.0
"Androscoggin County",2002,"Units in Single-Family Structures",2.0,363.0
"Androscoggin County",2003,"Units in Single-Family Structures",2.0,490.0
"Androscoggin County",2004,"Units in Single-Family Structures",2.0,525.0
"Androscoggin County",2005,"Units in Single-Family Structures",2.0,486.0
"Androscoggin County",2006,"Units in Single-Family Structures",2.0,304.0
"Androscoggin County",2007,"Units in Single-Family Structures",2.0,246.0
"Androscoggin County",2008,"Units in Single-Family Structures",2.0,186.0
"Androscoggin County",2009,"Units in Single-Family Structures",2.0,153.0
"Androscoggin County",2010,"Units in Single-Family Structures",2.0,162.0
"Androscoggin County",2011,"Units in Single-Family Structures",2.0,146.0
"Androscoggin County",2012,"Units in Single-Family Structures",2.0,125.0
"Androscoggin County",2013,"Units in Single-Family Structures",2.0,121.0
"Androscoggin County",2014,"Units in Single-Family Structures",2.0,91.0
"Androscoggin County",2015,"Units in Single-Family Structures",2.0,74.0
"Androscoggin County",2016,"Units in Single-Family Structures",2.0,143.0
"Androscoggin County",2017,"Units in Single-Family Structures",2.0,165.0
"Androscoggin County",2018,"Units in Single-Family Structures",2.0,173.0
"Androscoggin County",2019,"Units in Single-Family Structures",2.0,151.0
"Androscoggin County",1999,"Units in All Multi-Family Structures",3.0,8.0
"Androscoggin County",2000,"Units in All Multi-Family Structures",3.0,11.0
"Androscoggin County",2001,"Units in All Multi-Family Structures",3.0,8.0
"Androscoggin County",2002,"Units in All Multi-Family Structures",3.0,15.0
"Androscoggin County",2003,"Units in All Multi-Family Structures",3.0,18.0
"Androscoggin County",2004,"Units in All Multi-Family Structures",3.0,20.0
"Androscoggin County",2005,"Units in All Multi-Family Structures",3.0,35.0
"Androscoggin County",2006,"Units in All Multi-Family Structures",3.0,16.0
"Androscoggin County",2007,"Units in All Multi-Family Structures",3.0,6.0
"Androscoggin County",2008,"Units in All Multi-Family Structures",3.0,33.0
