"Location","Year","Series","Series Code","Permits"
"Alcona County",1999,"Total Units",1.0,181.0
"Alcona County",2000,"Total Units",1.0,135.0
"Alcona County",2001,"Total Units",1.0,129.0
"Alcona County",2002,"Total Units",1.0,119.0
"Alcona County",2003,"Total Units",1.0,79.0
"Alcona County",2004,"Total Units",1.0,67.0
"Alcona County",2005,"Total Units",1.0,62.0
"Alcona County",2006,"Total Units",1.0,58.0
"Alcona County",2007,"Total Units",1.0,47.0
"Alcona County",2008,"Total Units",1.0,31.0
"Alcona County",2009,"Total Units",1.0,20.0
"Alcona County",2010,"Total Units",1.0,20.0
"Alcona County",2011,"Total Units",1.0,19.0
"Alcona County",2012,"Total Units",1.0,20.0
"Alcona County",2013,"Total Units",1.0,19.0
"Alcona County",2014,"Total Units",1.0,23.0
"Alcona County",2015,"Total Units",1.0,24.0
"Alcona County",2016,"Total Units",1.0,24.0
"Alcona County",2017,"Total Units",1.0,26.0
"Alcona County",2018,"Total Units",1.0,26.0
"Alcona County",2019,"Total Units",1.0,26.0
"Alcona County",1999,"Units in Single-Family Structures",2.0,181.0
"Alcona County",2000,"Units in Single-Family Structures",2.0,135.0
"Alcona County",2001,"Units in Single-Family Structures",2.0,129.0
"Alcona County",2002,"Units in Single-Family Structures",2.0,119.0
"Alcona County",2003,"Units in Single-Family Structures",2.0,79.0
"Alcona County",2004,"Units in Single-Family Structures",2.0,67.0
"Alcona County",2005,"Units in Single-Family Structures",2.0,62.0
"Alcona County",2006,"Units in Single-Family Structures",2.0,58.0
"Alcona County",2007,"Units in Single-Family Structures",2.0,47.0
"Alcona County",2008,"Units in Single-Family Structures",2.0,31.0
"Alcona County",2009,"Units in Single-Family Structures",2.0,20.0
"Alcona County",2010,"Units in Single-Family Structures",2.0,20.0
"Alcona County",2011,"Units in Single-Family Structures",2.0,19.0
"Alcona County",2012,"Units in Single-Family Structures",2.0,20.0
"Alcona County",2013,"Units in Single-Family Structures",2.0,19.0
"Alcona County",2014,"Units in Single-Family Structures",2.0,23.0
"Alcona County",2015,"Units in Single-Family Structures",2.0,24.0
"Alcona County",2016,"Units in Single-Family Structures",2.0,24.0
"Alcona County",2017,"Units in Single-Family Structures",2.0,26.0
"Alcona County",2018,"Units in Single-Family Structures",2.0,26.0
"Alcona County",2019,"Units in Single-Family Structures",2.0,26.0
"Alcona County",1999,"Units in All Multi-Family Structures",3.0,0
"Alcona County",2000,"Units in All Multi-Family Structures",3.0,0
"Alcona County",2001,"Units in All Multi-Family Structures",3.0,0
"Alcona County",2002,"Units in All Multi-Family Structures",3.0,0
"Alcona County",2003,"Units in All Multi-Family Structures",3.0,0
"Alcona County",2004,"Units in All Multi-Family Structures",3.0,0
"Alcona County",2005,"Units in All Multi-Family Structures",3.0,0
"Alcona County",2006,"Units in All Multi-Family Structures",3.0,0
"Alcona County",2007,"Units in All Multi-Family Structures",3.0,0
"Alcona County",2008,"Units in All Multi-Family Structures",3.0,0
"Alcona County",2009,"Units in All Multi-Family Structures",3.0,0
"Alcona County",2010,"Units in All Multi-Family Structures",3.0,0
"Alcona County",2011,"Units in All Multi-Family Structures",3.0,0
"Alcona County",2012,"Units in All Multi-Family Structures",3.0,0
"Alcona County",2013,"Units in All Multi-Family Structures",3.0,0
"Alcona County",2014,"Units in All Multi-Family Structures",3.0,0
"Alcona County",2015,"Units in All Multi-Family Structures",3.0,0
"Alcona County",2016,"Units in All Multi-Family Structures",3.0,0
"Alcona County",2017,"Units in All Multi-Family Structures",3.0,0
"Alcona County",2018,"Units in All Multi-Family Structures",3.0,0
"Alcona County",2019,"Units in All Multi-Family Structures",3.0,0
"Alcona County",1999,"Units in 2-unit Multi-Family Structures",4.0,0
"Alcona County",2000,"Units in 2-unit Multi-Family Structures",4.0,0
"Alcona County",2001,"Units in 2-unit Multi-Family Structures",4.0,0
"Alcona County",2002,"Units in 2-unit Multi-Family Structures",4.0,0
"Alcona County",2003,"Units in 2-unit Multi-Family Structures",4.0,0
"Alcona County",2004,"Units in 2-unit Multi-Family Structures",4.0,0
"Alcona County",2005,"Units in 2-unit Multi-Family Structures",4.0,0
"Alcona County",2006,"Units in 2-unit Multi-Family Structures",4.0,0
"Alcona County",2007,"Units in 2-unit Multi-Family Structures",4.0,0
"Alcona County",2008,"Units in 2-unit Multi-Family Structures",4.0,0
"Alcona County",2009,"Units in 2-unit Multi-Family Structures",4.0,0
"Alcona County",2010,"Units in 2-unit Multi-Family Structures",4.0,0
"Alcona County",2011,"Units in 2-unit Multi-Family Structures",4.0,0
"Alcona County",2012,"Units in 2-unit Multi-Family Structures",4.0,0
"Alcona County",2013,"Units in 2-unit Multi-Family Structures",4.0,0
"Alcona County",2014,"Units in 2-unit Multi-Family Structures",4.0,0
"Alcona County",2015,"Units in 2-unit Multi-Family Structures",4.0,0
"Alcona County",2016,"Units in 2-unit Multi-Family Structures",4.0,0
"Alcona County",2017,"Units in 2-unit Multi-Family Structures",4.0,0
"Alcona County",2018,"Units in 2-unit Multi-Family Structures",4.0,0
"Alcona County",2019,"Units in 2-unit Multi-Family Structures",4.0,0
"Alcona County",1999,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Alcona County",2000,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Alcona County",2001,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Alcona County",2002,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Alcona County",2003,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Alcona County",2004,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Alcona County",2005,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Alcona County",2006,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Alcona County",2007,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Alcona County",2008,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Alcona County",2009,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Alcona County",2010,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Alcona County",2011,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Alcona County",2012,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Alcona County",2013,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Alcona County",2014,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Alcona County",2015,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
