"Location","Year","Series","Series Code","Permits"
"Aitkin County",1999,"Total Units",1.0,213.0
"Aitkin County",2000,"Total Units",1.0,183.0
"Aitkin County",2001,"Total Units",1.0,303.0
"Aitkin County",2002,"Total Units",1.0,323.0
"Aitkin County",2003,"Total Units",1.0,374.0
"Aitkin County",2004,"Total Units",1.0,347.0
"Aitkin County",2005,"Total Units",1.0,357.0
"Aitkin County",2006,"Total Units",1.0,267.0
"Aitkin County",2007,"Total Units",1.0,254.0
"Aitkin County",2008,"Total Units",1.0,146.0
"Aitkin County",2009,"Total Units",1.0,130.0
"Aitkin County",2010,"Total Units",1.0,112.0
"Aitkin County",2011,"Total Units",1.0,123.0
"Aitkin County",2012,"Total Units",1.0,69.0
"Aitkin County",2013,"Total Units",1.0,97.0
"Aitkin County",2014,"Total Units",1.0,175.0
"Aitkin County",2015,"Total Units",1.0,122.0
"Aitkin County",2016,"Total Units",1.0,155.0
"Aitkin County",2017,"Total Units",1.0,168.0
"Aitkin County",2018,"Total Units",1.0,112.0
"Aitkin County",2019,"Total Units",1.0,119.0
"Aitkin County",1999,"Units in Single-Family Structures",2.0,213.0
"Aitkin County",2000,"Units in Single-Family Structures",2.0,157.0
"Aitkin County",2001,"Units in Single-Family Structures",2.0,303.0
"Aitkin County",2002,"Units in Single-Family Structures",2.0,323.0
"Aitkin County",2003,"Units in Single-Family Structures",2.0,322.0
"Aitkin County",2004,"Units in Single-Family Structures",2.0,347.0
"Aitkin County",2005,"Units in Single-Family Structures",2.0,353.0
"Aitkin County",2006,"Units in Single-Family Structures",2.0,264.0
"Aitkin County",2007,"Units in Single-Family Structures",2.0,250.0
"Aitkin County",2008,"Units in Single-Family Structures",2.0,146.0
"Aitkin County",2009,"Units in Single-Family Structures",2.0,124.0
"Aitkin County",2010,"Units in Single-Family Structures",2.0,108.0
"Aitkin County",2011,"Units in Single-Family Structures",2.0,123.0
"Aitkin County",2012,"Units in Single-Family Structures",2.0,69.0
"Aitkin County",2013,"Units in Single-Family Structures",2.0,97.0
"Aitkin County",2014,"Units in Single-Family Structures",2.0,175.0
"Aitkin County",2015,"Units in Single-Family Structures",2.0,122.0
"Aitkin County",2016,"Units in Single-Family Structures",2.0,155.0
"Aitkin County",2017,"Units in Single-Family Structures",2.0,168.0
"Aitkin County",2018,"Units in Single-Family Structures",2.0,112.0
