"Location","Year","Series","Series Code","Permits"
"Beaverhead County",1999,"Total Units",1.0,2.0
"Beaverhead County",2000,"Total Units",1.0,9.0
"Beaverhead County",2001,"Total Units",1.0,10.0
"Beaverhead County",2002,"Total Units",1.0,2.0
"Beaverhead County",2003,"Total Units",1.0,6.0
"Beaverhead County",2004,"Total Units",1.0,26.0
"Beaverhead County",2005,"Total Units",1.0,2.0
"Beaverhead County",2006,"Total Units",1.0,15.0
"Beaverhead County",2007,"Total Units",1.0,17.0
"Beaverhead County",2008,"Total Units",1.0,5.0
"Beaverhead County",2009,"Total Units",1.0,4.0
"Beaverhead County",2010,"Total Units",1.0,13.0
"Beaverhead County",2011,"Total Units",1.0,3.0
"Beaverhead County",2012,"Total Units",1.0,8.0
"Beaverhead County",2013,"Total Units",1.0,3.0
"Beaverhead County",2014,"Total Units",1.0,3.0
"Beaverhead County",2015,"Total Units",1.0,3.0
"Beaverhead County",2016,"Total Units",1.0,3.0
"Beaverhead County",2017,"Total Units",1.0,10.0
"Beaverhead County",2018,"Total Units",1.0,15.0
"Beaverhead County",2019,"Total Units",1.0,13.0
"Beaverhead County",1999,"Units in Single-Family Structures",2.0,2.0
"Beaverhead County",2000,"Units in Single-Family Structures",2.0,7.0
"Beaverhead County",2001,"Units in Single-Family Structures",2.0,10.0
"Beaverhead County",2002,"Units in Single-Family Structures",2.0,0
"Beaverhead County",2003,"Units in Single-Family Structures",2.0,4.0
"Beaverhead County",2004,"Units in Single-Family Structures",2.0,2.0
"Beaverhead County",2005,"Units in Single-Family Structures",2.0,2.0
"Beaverhead County",2006,"Units in Single-Family Structures",2.0,10.0
"Beaverhead County",2007,"Units in Single-Family Structures",2.0,11.0
"Beaverhead County",2008,"Units in Single-Family Structures",2.0,1.0
"Beaverhead County",2009,"Units in Single-Family Structures",2.0,2.0
"Beaverhead County",2010,"Units in Single-Family Structures",2.0,3.0
"Beaverhead County",2011,"Units in Single-Family Structures",2.0,3.0
"Beaverhead County",2012,"Units in Single-Family Structures",2.0,2.0
"Beaverhead County",2013,"Units in Single-Family Structures",2.0,3.0
"Beaverhead County",2014,"Units in Single-Family Structures",2.0,3.0
"Beaverhead County",2015,"Units in Single-Family Structures",2.0,3.0
"Beaverhead County",2016,"Units in Single-Family Structures",2.0,3.0
"Beaverhead County",2017,"Units in Single-Family Structures",2.0,2.0
"Beaverhead County",2018,"Units in Single-Family Structures",2.0,7.0
"Beaverhead County",2019,"Units in Single-Family Structures",2.0,13.0
"Beaverhead County",1999,"Units in All Multi-Family Structures",3.0,0
"Beaverhead County",2000,"Units in All Multi-Family Structures",3.0,2.0
"Beaverhead County",2001,"Units in All Multi-Family Structures",3.0,0
"Beaverhead County",2002,"Units in All Multi-Family Structures",3.0,2.0
"Beaverhead County",2003,"Units in All Multi-Family Structures",3.0,2.0
"Beaverhead County",2004,"Units in All Multi-Family Structures",3.0,24.0
"Beaverhead County",2005,"Units in All Multi-Family Structures",3.0,0
"Beaverhead County",2006,"Units in All Multi-Family Structures",3.0,5.0
"Beaverhead County",2007,"Units in All Multi-Family Structures",3.0,6.0
"Beaverhead County",2008,"Units in All Multi-Family Structures",3.0,4.0
"Beaverhead County",2009,"Units in All Multi-Family Structures",3.0,2.0
"Beaverhead County",2010,"Units in All Multi-Family Structures",3.0,10.0
"Beaverhead County",2011,"Units in All Multi-Family Structures",3.0,0
"Beaverhead County",2012,"Units in All Multi-Family Structures",3.0,6.0
"Beaverhead County",2013,"Units in All Multi-Family Structures",3.0,0
"Beaverhead County",2014,"Units in All Multi-Family Structures",3.0,0
"Beaverhead County",2015,"Units in All Multi-Family Structures",3.0,0
"Beaverhead County",2016,"Units in All Multi-Family Structures",3.0,0
"Beaverhead County",2017,"Units in All Multi-Family Structures",3.0,8.0
"Beaverhead County",2018,"Units in All Multi-Family Structures",3.0,8.0
"Beaverhead County",2019,"Units in All Multi-Family Structures",3.0,0
"Beaverhead County",1999,"Units in 2-unit Multi-Family Structures",4.0,0
"Beaverhead County",2000,"Units in 2-unit Multi-Family Structures",4.0,2.0
"Beaverhead County",2001,"Units in 2-unit Multi-Family Structures",4.0,0
"Beaverhead County",2002,"Units in 2-unit Multi-Family Structures",4.0,2.0
"Beaverhead County",2003,"Units in 2-unit Multi-Family Structures",4.0,2.0
"Beaverhead County",2004,"Units in 2-unit Multi-Family Structures",4.0,0
"Beaverhead County",2005,"Units in 2-unit Multi-Family Structures",4.0,0
"Beaverhead County",2006,"Units in 2-unit Multi-Family Structures",4.0,2.0
"Beaverhead County",2007,"Units in 2-unit Multi-Family Structures",4.0,2.0
"Beaverhead County",2008,"Units in 2-unit Multi-Family Structures",4.0,4.0
"Beaverhead County",2009,"Units in 2-unit Multi-Family Structures",4.0,2.0
"Beaverhead County",2010,"Units in 2-unit Multi-Family Structures",4.0,0
"Beaverhead County",2011,"Units in 2-unit Multi-Family Structures",4.0,0
"Beaverhead County",2012,"Units in 2-unit Multi-Family Structures",4.0,6.0
"Beaverhead County",2013,"Units in 2-unit Multi-Family Structures",4.0,0
"Beaverhead County",2014,"Units in 2-unit Multi-Family Structures",4.0,0
"Beaverhead County",2015,"Units in 2-unit Multi-Family Structures",4.0,0
"Beaverhead County",2016,"Units in 2-unit Multi-Family Structures",4.0,0
"Beaverhead County",2017,"Units in 2-unit Multi-Family Structures",4.0,0
"Beaverhead County",2018,"Units in 2-unit Multi-Family Structures",4.0,2.0
"Beaverhead County",2019,"Units in 2-unit Multi-Family Structures",4.0,0
"Beaverhead County",1999,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Beaverhead County",2000,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Beaverhead County",2001,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Beaverhead County",2002,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Beaverhead County",2003,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Beaverhead County",2004,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Beaverhead County",2005,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Beaverhead County",2006,"Units in 3- and 4-unit Multi-Family Structures",5.0,3.0
"Beaverhead County",2007,"Units in 3- and 4-unit Multi-Family Structures",5.0,4.0
"Beaverhead County",2008,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Beaverhead County",2009,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Beaverhead County",2010,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Beaverhead County",2011,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Beaverhead County",2012,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Beaverhead County",2013,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Beaverhead County",2014,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Beaverhead County",2015,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Beaverhead County",2016,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Beaverhead County",2017,"Units in 3- and 4-unit Multi-Family Structures",5.0,8.0
"Beaverhead County",2018,"Units in 3- and 4-unit Multi-Family Structures",5.0,6.0
"Beaverhead County",2019,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Beaverhead County",1999,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Beaverhead County",2000,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Beaverhead County",2001,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Beaverhead County",2002,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Beaverhead County",2003,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Beaverhead County",2004,"Units in 5+ Unit Multi-Family Structures",6.0,24.0
"Beaverhead County",2005,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Beaverhead County",2006,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Beaverhead County",2007,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Beaverhead County",2008,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Beaverhead County",2009,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Beaverhead County",2010,"Units in 5+ Unit Multi-Family Structures",6.0,10.0
"Beaverhead County",2011,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Beaverhead County",2012,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Beaverhead County",2013,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Beaverhead County",2014,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Beaverhead County",2015,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Beaverhead County",2016,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Beaverhead County",2017,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Beaverhead County",2018,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Beaverhead County",2019,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Big Horn County",1999,"Total Units",1.0,3.0
"Big Horn County",2000,"Total Units",1.0,5.0
"Big Horn County",2001,"Total Units",1.0,3.0
"Big Horn County",2002,"Total Units",1.0,8.0
"Big Horn County",2003,"Total Units",1.0,6.0
"Big Horn County",2004,"Total Units",1.0,6.0
"Big Horn County",2005,"Total Units",1.0,7.0
"Big Horn County",2006,"Total Units",1.0,8.0
"Big Horn County",2007,"Total Units",1.0,5.0
"Big Horn County",2008,"Total Units",1.0,0
"Big Horn County",2009,"Total Units",1.0,2.0
"Big Horn County",2010,"Total Units",1.0,0
"Big Horn County",2011,"Total Units",1.0,0
"Big Horn County",2012,"Total Units",1.0,1.0
"Big Horn County",2013,"Total Units",1.0,1.0
"Big Horn County",2014,"Total Units",1.0,4.0
"Big Horn County",2015,"Total Units",1.0,0
"Big Horn County",2016,"Total Units",1.0,2.0
"Big Horn County",2017,"Total Units",1.0,1.0
"Big Horn County",2018,"Total Units",1.0,0
"Big Horn County",2019,"Total Units",1.0,0
"Big Horn County",1999,"Units in Single-Family Structures",2.0,3.0
"Big Horn County",2000,"Units in Single-Family Structures",2.0,0
"Big Horn County",2001,"Units in Single-Family Structures",2.0,3.0
"Big Horn County",2002,"Units in Single-Family Structures",2.0,8.0
"Big Horn County",2003,"Units in Single-Family Structures",2.0,6.0
"Big Horn County",2004,"Units in Single-Family Structures",2.0,6.0
"Big Horn County",2005,"Units in Single-Family Structures",2.0,7.0
"Big Horn County",2006,"Units in Single-Family Structures",2.0,8.0
"Big Horn County",2007,"Units in Single-Family Structures",2.0,5.0
"Big Horn County",2008,"Units in Single-Family Structures",2.0,0
"Big Horn County",2009,"Units in Single-Family Structures",2.0,2.0
"Big Horn County",2010,"Units in Single-Family Structures",2.0,0
"Big Horn County",2011,"Units in Single-Family Structures",2.0,0
"Big Horn County",2012,"Units in Single-Family Structures",2.0,1.0
"Big Horn County",2013,"Units in Single-Family Structures",2.0,1.0
"Big Horn County",2014,"Units in Single-Family Structures",2.0,4.0
"Big Horn County",2015,"Units in Single-Family Structures",2.0,0
"Big Horn County",2016,"Units in Single-Family Structures",2.0,2.0
"Big Horn County",2017,"Units in Single-Family Structures",2.0,1.0
"Big Horn County",2018,"Units in Single-Family Structures",2.0,0
"Big Horn County",2019,"Units in Single-Family Structures",2.0,0
"Big Horn County",1999,"Units in All Multi-Family Structures",3.0,0
"Big Horn County",2000,"Units in All Multi-Family Structures",3.0,5.0
"Big Horn County",2001,"Units in All Multi-Family Structures",3.0,0
"Big Horn County",2002,"Units in All Multi-Family Structures",3.0,0
"Big Horn County",2003,"Units in All Multi-Family Structures",3.0,0
"Big Horn County",2004,"Units in All Multi-Family Structures",3.0,0
"Big Horn County",2005,"Units in All Multi-Family Structures",3.0,0
"Big Horn County",2006,"Units in All Multi-Family Structures",3.0,0
