"Location","Year","Series","Series Code","Permits"
"Alamance County",1999,"Total Units",1.0,888.0
"Alamance County",2000,"Total Units",1.0,945.0
"Alamance County",2001,"Total Units",1.0,950.0
"Alamance County",2002,"Total Units",1.0,1411.0
"Alamance County",2003,"Total Units",1.0,1163.0
"Alamance County",2004,"Total Units",1.0,1366.0
"Alamance County",2005,"Total Units",1.0,1484.0
"Alamance County",2006,"Total Units",1.0,2026.0
"Alamance County",2007,"Total Units",1.0,1441.0
"Alamance County",2008,"Total Units",1.0,760.0
"Alamance County",2009,"Total Units",1.0,561.0
"Alamance County",2010,"Total Units",1.0,847.0
"Alamance County",2011,"Total Units",1.0,556.0
"Alamance County",2012,"Total Units",1.0,358.0
"Alamance County",2013,"Total Units",1.0,561.0
"Alamance County",2014,"Total Units",1.0,606.0
"Alamance County",2015,"Total Units",1.0,1032.0
"Alamance County",2016,"Total Units",1.0,1353.0
"Alamance County",2017,"Total Units",1.0,1223.0
"Alamance County",2018,"Total Units",1.0,1419.0
"Alamance County",2019,"Total Units",1.0,1407.0
"Alamance County",1999,"Units in Single-Family Structures",2.0,817.0
"Alamance County",2000,"Units in Single-Family Structures",2.0,872.0
"Alamance County",2001,"Units in Single-Family Structures",2.0,889.0
"Alamance County",2002,"Units in Single-Family Structures",2.0,1042.0
"Alamance County",2003,"Units in Single-Family Structures",2.0,1143.0
"Alamance County",2004,"Units in Single-Family Structures",2.0,1222.0
"Alamance County",2005,"Units in Single-Family Structures",2.0,1480.0
"Alamance County",2006,"Units in Single-Family Structures",2.0,1726.0
"Alamance County",2007,"Units in Single-Family Structures",2.0,1441.0
"Alamance County",2008,"Units in Single-Family Structures",2.0,704.0
"Alamance County",2009,"Units in Single-Family Structures",2.0,441.0
"Alamance County",2010,"Units in Single-Family Structures",2.0,443.0
"Alamance County",2011,"Units in Single-Family Structures",2.0,399.0
"Alamance County",2012,"Units in Single-Family Structures",2.0,358.0
"Alamance County",2013,"Units in Single-Family Structures",2.0,553.0
"Alamance County",2014,"Units in Single-Family Structures",2.0,593.0
"Alamance County",2015,"Units in Single-Family Structures",2.0,736.0
"Alamance County",2016,"Units in Single-Family Structures",2.0,938.0
"Alamance County",2017,"Units in Single-Family Structures",2.0,1030.0
"Alamance County",2018,"Units in Single-Family Structures",2.0,1084.0
"Alamance County",2019,"Units in Single-Family Structures",2.0,943.0
"Alamance County",1999,"Units in All Multi-Family Structures",3.0,71.0
"Alamance County",2000,"Units in All Multi-Family Structures",3.0,73.0
"Alamance County",2001,"Units in All Multi-Family Structures",3.0,61.0
"Alamance County",2002,"Units in All Multi-Family Structures",3.0,369.0
"Alamance County",2003,"Units in All Multi-Family Structures",3.0,20.0
"Alamance County",2004,"Units in All Multi-Family Structures",3.0,144.0
"Alamance County",2005,"Units in All Multi-Family Structures",3.0,4.0
"Alamance County",2006,"Units in All Multi-Family Structures",3.0,300.0
"Alamance County",2007,"Units in All Multi-Family Structures",3.0,0
"Alamance County",2008,"Units in All Multi-Family Structures",3.0,56.0
"Alamance County",2009,"Units in All Multi-Family Structures",3.0,120.0
"Alamance County",2010,"Units in All Multi-Family Structures",3.0,404.0
"Alamance County",2011,"Units in All Multi-Family Structures",3.0,157.0
"Alamance County",2012,"Units in All Multi-Family Structures",3.0,0
"Alamance County",2013,"Units in All Multi-Family Structures",3.0,8.0
"Alamance County",2014,"Units in All Multi-Family Structures",3.0,13.0
"Alamance County",2015,"Units in All Multi-Family Structures",3.0,296.0
"Alamance County",2016,"Units in All Multi-Family Structures",3.0,415.0
"Alamance County",2017,"Units in All Multi-Family Structures",3.0,193.0
"Alamance County",2018,"Units in All Multi-Family Structures",3.0,335.0
"Alamance County",2019,"Units in All Multi-Family Structures",3.0,464.0
"Alamance County",1999,"Units in 2-unit Multi-Family Structures",4.0,8.0
"Alamance County",2000,"Units in 2-unit Multi-Family Structures",4.0,10.0
"Alamance County",2001,"Units in 2-unit Multi-Family Structures",4.0,2.0
"Alamance County",2002,"Units in 2-unit Multi-Family Structures",4.0,32.0
"Alamance County",2003,"Units in 2-unit Multi-Family Structures",4.0,20.0
"Alamance County",2004,"Units in 2-unit Multi-Family Structures",4.0,2.0
"Alamance County",2005,"Units in 2-unit Multi-Family Structures",4.0,0
"Alamance County",2006,"Units in 2-unit Multi-Family Structures",4.0,0
"Alamance County",2007,"Units in 2-unit Multi-Family Structures",4.0,0
"Alamance County",2008,"Units in 2-unit Multi-Family Structures",4.0,4.0
"Alamance County",2009,"Units in 2-unit Multi-Family Structures",4.0,0
"Alamance County",2010,"Units in 2-unit Multi-Family Structures",4.0,0
"Alamance County",2011,"Units in 2-unit Multi-Family Structures",4.0,14.0
"Alamance County",2012,"Units in 2-unit Multi-Family Structures",4.0,0
"Alamance County",2013,"Units in 2-unit Multi-Family Structures",4.0,0
"Alamance County",2014,"Units in 2-unit Multi-Family Structures",4.0,6.0
"Alamance County",2015,"Units in 2-unit Multi-Family Structures",4.0,2.0
"Alamance County",2016,"Units in 2-unit Multi-Family Structures",4.0,12.0
"Alamance County",2017,"Units in 2-unit Multi-Family Structures",4.0,2.0
"Alamance County",2018,"Units in 2-unit Multi-Family Structures",4.0,4.0
"Alamance County",2019,"Units in 2-unit Multi-Family Structures",4.0,0
"Alamance County",1999,"Units in 3- and 4-unit Multi-Family Structures",5.0,24.0
"Alamance County",2000,"Units in 3- and 4-unit Multi-Family Structures",5.0,15.0
"Alamance County",2001,"Units in 3- and 4-unit Multi-Family Structures",5.0,6.0
