"Location","Year","Series","Series Code","Permits"
"Adams County",1999,"Total Units",1.0,81.0
"Adams County",2000,"Total Units",1.0,85.0
"Adams County",2001,"Total Units",1.0,77.0
"Adams County",2002,"Total Units",1.0,87.0
"Adams County",2003,"Total Units",1.0,227.0
"Adams County",2004,"Total Units",1.0,276.0
"Adams County",2005,"Total Units",1.0,181.0
"Adams County",2006,"Total Units",1.0,152.0
"Adams County",2007,"Total Units",1.0,113.0
"Adams County",2008,"Total Units",1.0,59.0
"Adams County",2009,"Total Units",1.0,94.0
"Adams County",2010,"Total Units",1.0,176.0
"Adams County",2011,"Total Units",1.0,126.0
"Adams County",2012,"Total Units",1.0,71.0
"Adams County",2013,"Total Units",1.0,82.0
"Adams County",2014,"Total Units",1.0,120.0
"Adams County",2015,"Total Units",1.0,68.0
"Adams County",2016,"Total Units",1.0,71.0
"Adams County",2017,"Total Units",1.0,57.0
"Adams County",2018,"Total Units",1.0,38.0
"Adams County",2019,"Total Units",1.0,171.0
"Adams County",1999,"Units in Single-Family Structures",2.0,73.0
"Adams County",2000,"Units in Single-Family Structures",2.0,81.0
"Adams County",2001,"Units in Single-Family Structures",2.0,77.0
"Adams County",2002,"Units in Single-Family Structures",2.0,83.0
"Adams County",2003,"Units in Single-Family Structures",2.0,123.0
"Adams County",2004,"Units in Single-Family Structures",2.0,152.0
"Adams County",2005,"Units in Single-Family Structures",2.0,145.0
"Adams County",2006,"Units in Single-Family Structures",2.0,144.0
"Adams County",2007,"Units in Single-Family Structures",2.0,101.0
"Adams County",2008,"Units in Single-Family Structures",2.0,55.0
"Adams County",2009,"Units in Single-Family Structures",2.0,78.0
"Adams County",2010,"Units in Single-Family Structures",2.0,68.0
"Adams County",2011,"Units in Single-Family Structures",2.0,62.0
"Adams County",2012,"Units in Single-Family Structures",2.0,61.0
"Adams County",2013,"Units in Single-Family Structures",2.0,71.0
"Adams County",2014,"Units in Single-Family Structures",2.0,95.0
"Adams County",2015,"Units in Single-Family Structures",2.0,48.0
"Adams County",2016,"Units in Single-Family Structures",2.0,71.0
"Adams County",2017,"Units in Single-Family Structures",2.0,57.0
"Adams County",2018,"Units in Single-Family Structures",2.0,38.0
"Adams County",2019,"Units in Single-Family Structures",2.0,57.0
"Adams County",1999,"Units in All Multi-Family Structures",3.0,8.0
"Adams County",2000,"Units in All Multi-Family Structures",3.0,4.0
"Adams County",2001,"Units in All Multi-Family Structures",3.0,0
"Adams County",2002,"Units in All Multi-Family Structures",3.0,4.0
"Adams County",2003,"Units in All Multi-Family Structures",3.0,104.0
"Adams County",2004,"Units in All Multi-Family Structures",3.0,124.0
"Adams County",2005,"Units in All Multi-Family Structures",3.0,36.0
"Adams County",2006,"Units in All Multi-Family Structures",3.0,8.0
"Adams County",2007,"Units in All Multi-Family Structures",3.0,12.0
"Adams County",2008,"Units in All Multi-Family Structures",3.0,4.0
"Adams County",2009,"Units in All Multi-Family Structures",3.0,16.0
"Adams County",2010,"Units in All Multi-Family Structures",3.0,108.0
"Adams County",2011,"Units in All Multi-Family Structures",3.0,64.0
"Adams County",2012,"Units in All Multi-Family Structures",3.0,10.0
"Adams County",2013,"Units in All Multi-Family Structures",3.0,11.0
"Adams County",2014,"Units in All Multi-Family Structures",3.0,25.0
"Adams County",2015,"Units in All Multi-Family Structures",3.0,20.0
"Adams County",2016,"Units in All Multi-Family Structures",3.0,0
"Adams County",2017,"Units in All Multi-Family Structures",3.0,0
"Adams County",2018,"Units in All Multi-Family Structures",3.0,0
"Adams County",2019,"Units in All Multi-Family Structures",3.0,114.0
"Adams County",1999,"Units in 2-unit Multi-Family Structures",4.0,8.0
"Adams County",2000,"Units in 2-unit Multi-Family Structures",4.0,0
"Adams County",2001,"Units in 2-unit Multi-Family Structures",4.0,0
"Adams County",2002,"Units in 2-unit Multi-Family Structures",4.0,0
"Adams County",2003,"Units in 2-unit Multi-Family Structures",4.0,4.0
"Adams County",2004,"Units in 2-unit Multi-Family Structures",4.0,14.0
"Adams County",2005,"Units in 2-unit Multi-Family Structures",4.0,8.0
"Adams County",2006,"Units in 2-unit Multi-Family Structures",4.0,8.0
"Adams County",2007,"Units in 2-unit Multi-Family Structures",4.0,12.0
"Adams County",2008,"Units in 2-unit Multi-Family Structures",4.0,4.0
"Adams County",2009,"Units in 2-unit Multi-Family Structures",4.0,8.0
"Adams County",2010,"Units in 2-unit Multi-Family Structures",4.0,12.0
"Adams County",2011,"Units in 2-unit Multi-Family Structures",4.0,46.0
"Adams County",2012,"Units in 2-unit Multi-Family Structures",4.0,10.0
"Adams County",2013,"Units in 2-unit Multi-Family Structures",4.0,8.0
"Adams County",2014,"Units in 2-unit Multi-Family Structures",4.0,22.0
"Adams County",2015,"Units in 2-unit Multi-Family Structures",4.0,20.0
"Adams County",2016,"Units in 2-unit Multi-Family Structures",4.0,0
"Adams County",2017,"Units in 2-unit Multi-Family Structures",4.0,0
"Adams County",2018,"Units in 2-unit Multi-Family Structures",4.0,0
"Adams County",2019,"Units in 2-unit Multi-Family Structures",4.0,30.0
"Adams County",1999,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Adams County",2000,"Units in 3- and 4-unit Multi-Family Structures",5.0,4.0
"Adams County",2001,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Adams County",2002,"Units in 3- and 4-unit Multi-Family Structures",5.0,4.0
"Adams County",2003,"Units in 3- and 4-unit Multi-Family Structures",5.0,4.0
"Adams County",2004,"Units in 3- and 4-unit Multi-Family Structures",5.0,4.0
"Adams County",2005,"Units in 3- and 4-unit Multi-Family Structures",5.0,4.0
"Adams County",2006,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Adams County",2007,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Adams County",2008,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Adams County",2009,"Units in 3- and 4-unit Multi-Family Structures",5.0,8.0
"Adams County",2010,"Units in 3- and 4-unit Multi-Family Structures",5.0,96.0
"Adams County",2011,"Units in 3- and 4-unit Multi-Family Structures",5.0,18.0
"Adams County",2012,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Adams County",2013,"Units in 3- and 4-unit Multi-Family Structures",5.0,3.0
"Adams County",2014,"Units in 3- and 4-unit Multi-Family Structures",5.0,3.0
"Adams County",2015,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Adams County",2016,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Adams County",2017,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Adams County",2018,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Adams County",2019,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Adams County",1999,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Adams County",2000,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Adams County",2001,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Adams County",2002,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Adams County",2003,"Units in 5+ Unit Multi-Family Structures",6.0,96.0
"Adams County",2004,"Units in 5+ Unit Multi-Family Structures",6.0,106.0
"Adams County",2005,"Units in 5+ Unit Multi-Family Structures",6.0,24.0
"Adams County",2006,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Adams County",2007,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Adams County",2008,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Adams County",2009,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Adams County",2010,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Adams County",2011,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Adams County",2012,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Adams County",2013,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Adams County",2014,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Adams County",2015,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Adams County",2016,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Adams County",2017,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Adams County",2018,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Adams County",2019,"Units in 5+ Unit Multi-Family Structures",6.0,84.0
"Antelope County",1999,"Total Units",1.0,21.0
"Antelope County",2000,"Total Units",1.0,16.0
"Antelope County",2001,"Total Units",1.0,13.0
"Antelope County",2002,"Total Units",1.0,11.0
"Antelope County",2003,"Total Units",1.0,5.0
"Antelope County",2004,"Total Units",1.0,16.0
"Antelope County",2005,"Total Units",1.0,29.0
"Antelope County",2006,"Total Units",1.0,27.0
"Antelope County",2007,"Total Units",1.0,31.0
"Antelope County",2008,"Total Units",1.0,15.0
"Antelope County",2009,"Total Units",1.0,16.0
"Antelope County",2010,"Total Units",1.0,16.0
"Antelope County",2011,"Total Units",1.0,10.0
"Antelope County",2012,"Total Units",1.0,14.0
"Antelope County",2013,"Total Units",1.0,18.0
"Antelope County",2014,"Total Units",1.0,11.0
"Antelope County",2015,"Total Units",1.0,8.0
"Antelope County",2016,"Total Units",1.0,1.0
"Antelope County",2017,"Total Units",1.0,24.0
"Antelope County",2018,"Total Units",1.0,4.0
"Antelope County",2019,"Total Units",1.0,17.0
"Antelope County",1999,"Units in Single-Family Structures",2.0,21.0
"Antelope County",2000,"Units in Single-Family Structures",2.0,16.0
"Antelope County",2001,"Units in Single-Family Structures",2.0,13.0
"Antelope County",2002,"Units in Single-Family Structures",2.0,11.0
"Antelope County",2003,"Units in Single-Family Structures",2.0,5.0
"Antelope County",2004,"Units in Single-Family Structures",2.0,16.0
"Antelope County",2005,"Units in Single-Family Structures",2.0,29.0
"Antelope County",2006,"Units in Single-Family Structures",2.0,27.0
"Antelope County",2007,"Units in Single-Family Structures",2.0,31.0
"Antelope County",2008,"Units in Single-Family Structures",2.0,7.0
"Antelope County",2009,"Units in Single-Family Structures",2.0,16.0
"Antelope County",2010,"Units in Single-Family Structures",2.0,8.0
"Antelope County",2011,"Units in Single-Family Structures",2.0,10.0
"Antelope County",2012,"Units in Single-Family Structures",2.0,14.0
"Antelope County",2013,"Units in Single-Family Structures",2.0,18.0
"Antelope County",2014,"Units in Single-Family Structures",2.0,11.0
"Antelope County",2015,"Units in Single-Family Structures",2.0,8.0
"Antelope County",2016,"Units in Single-Family Structures",2.0,1.0
"Antelope County",2017,"Units in Single-Family Structures",2.0,11.0
"Antelope County",2018,"Units in Single-Family Structures",2.0,4.0
"Antelope County",2019,"Units in Single-Family Structures",2.0,15.0
"Antelope County",1999,"Units in All Multi-Family Structures",3.0,0
"Antelope County",2000,"Units in All Multi-Family Structures",3.0,0
"Antelope County",2001,"Units in All Multi-Family Structures",3.0,0
"Antelope County",2002,"Units in All Multi-Family Structures",3.0,0
"Antelope County",2003,"Units in All Multi-Family Structures",3.0,0
"Antelope County",2004,"Units in All Multi-Family Structures",3.0,0
"Antelope County",2005,"Units in All Multi-Family Structures",3.0,0
"Antelope County",2006,"Units in All Multi-Family Structures",3.0,0
"Antelope County",2007,"Units in All Multi-Family Structures",3.0,0
"Antelope County",2008,"Units in All Multi-Family Structures",3.0,8.0
"Antelope County",2009,"Units in All Multi-Family Structures",3.0,0
"Antelope County",2010,"Units in All Multi-Family Structures",3.0,8.0
"Antelope County",2011,"Units in All Multi-Family Structures",3.0,0
"Antelope County",2012,"Units in All Multi-Family Structures",3.0,0
"Antelope County",2013,"Units in All Multi-Family Structures",3.0,0
"Antelope County",2014,"Units in All Multi-Family Structures",3.0,0
"Antelope County",2015,"Units in All Multi-Family Structures",3.0,0
"Antelope County",2016,"Units in All Multi-Family Structures",3.0,0
"Antelope County",2017,"Units in All Multi-Family Structures",3.0,13.0
"Antelope County",2018,"Units in All Multi-Family Structures",3.0,0
"Antelope County",2019,"Units in All Multi-Family Structures",3.0,2.0
"Antelope County",1999,"Units in 2-unit Multi-Family Structures",4.0,0
"Antelope County",2000,"Units in 2-unit Multi-Family Structures",4.0,0
"Antelope County",2001,"Units in 2-unit Multi-Family Structures",4.0,0
"Antelope County",2002,"Units in 2-unit Multi-Family Structures",4.0,0
"Antelope County",2003,"Units in 2-unit Multi-Family Structures",4.0,0
"Antelope County",2004,"Units in 2-unit Multi-Family Structures",4.0,0
"Antelope County",2005,"Units in 2-unit Multi-Family Structures",4.0,0
"Antelope County",2006,"Units in 2-unit Multi-Family Structures",4.0,0
"Antelope County",2007,"Units in 2-unit Multi-Family Structures",4.0,0
"Antelope County",2008,"Units in 2-unit Multi-Family Structures",4.0,0
"Antelope County",2009,"Units in 2-unit Multi-Family Structures",4.0,0
"Antelope County",2010,"Units in 2-unit Multi-Family Structures",4.0,0
"Antelope County",2011,"Units in 2-unit Multi-Family Structures",4.0,0
"Antelope County",2012,"Units in 2-unit Multi-Family Structures",4.0,0
"Antelope County",2013,"Units in 2-unit Multi-Family Structures",4.0,0
"Antelope County",2014,"Units in 2-unit Multi-Family Structures",4.0,0
"Antelope County",2015,"Units in 2-unit Multi-Family Structures",4.0,0
"Antelope County",2016,"Units in 2-unit Multi-Family Structures",4.0,0
"Antelope County",2017,"Units in 2-unit Multi-Family Structures",4.0,0
"Antelope County",2018,"Units in 2-unit Multi-Family Structures",4.0,0
"Antelope County",2019,"Units in 2-unit Multi-Family Structures",4.0,2.0
"Antelope County",1999,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Antelope County",2000,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Antelope County",2001,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Antelope County",2002,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Antelope County",2003,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Antelope County",2004,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Antelope County",2005,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Antelope County",2006,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Antelope County",2007,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Antelope County",2008,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Antelope County",2009,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Antelope County",2010,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Antelope County",2011,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Antelope County",2012,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Antelope County",2013,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Antelope County",2014,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Antelope County",2015,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Antelope County",2016,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Antelope County",2017,"Units in 3- and 4-unit Multi-Family Structures",5.0,3.0
"Antelope County",2018,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Antelope County",2019,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Antelope County",1999,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Antelope County",2000,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Antelope County",2001,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Antelope County",2002,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Antelope County",2003,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Antelope County",2004,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Antelope County",2005,"Units in 5+ Unit Multi-Family Structures",6.0,0
