"Location","Year","Series","Series Code","Permits"
"Belknap County",1999,"Total Units",1.0,344.0
"Belknap County",2000,"Total Units",1.0,458.0
"Belknap County",2001,"Total Units",1.0,415.0
"Belknap County",2002,"Total Units",1.0,630.0
"Belknap County",2003,"Total Units",1.0,672.0
"Belknap County",2004,"Total Units",1.0,507.0
"Belknap County",2005,"Total Units",1.0,648.0
"Belknap County",2006,"Total Units",1.0,455.0
"Belknap County",2007,"Total Units",1.0,374.0
"Belknap County",2008,"Total Units",1.0,282.0
"Belknap County",2009,"Total Units",1.0,177.0
"Belknap County",2010,"Total Units",1.0,178.0
"Belknap County",2011,"Total Units",1.0,144.0
"Belknap County",2012,"Total Units",1.0,118.0
"Belknap County",2013,"Total Units",1.0,166.0
"Belknap County",2014,"Total Units",1.0,198.0
"Belknap County",2015,"Total Units",1.0,364.0
"Belknap County",2016,"Total Units",1.0,198.0
"Belknap County",2017,"Total Units",1.0,182.0
"Belknap County",2018,"Total Units",1.0,173.0
"Belknap County",2019,"Total Units",1.0,223.0
"Belknap County",1999,"Units in Single-Family Structures",2.0,338.0
"Belknap County",2000,"Units in Single-Family Structures",2.0,436.0
"Belknap County",2001,"Units in Single-Family Structures",2.0,409.0
"Belknap County",2002,"Units in Single-Family Structures",2.0,610.0
"Belknap County",2003,"Units in Single-Family Structures",2.0,598.0
"Belknap County",2004,"Units in Single-Family Structures",2.0,499.0
"Belknap County",2005,"Units in Single-Family Structures",2.0,557.0
"Belknap County",2006,"Units in Single-Family Structures",2.0,388.0
"Belknap County",2007,"Units in Single-Family Structures",2.0,359.0
"Belknap County",2008,"Units in Single-Family Structures",2.0,210.0
"Belknap County",2009,"Units in Single-Family Structures",2.0,143.0
"Belknap County",2010,"Units in Single-Family Structures",2.0,150.0
"Belknap County",2011,"Units in Single-Family Structures",2.0,140.0
"Belknap County",2012,"Units in Single-Family Structures",2.0,115.0
"Belknap County",2013,"Units in Single-Family Structures",2.0,162.0
"Belknap County",2014,"Units in Single-Family Structures",2.0,140.0
"Belknap County",2015,"Units in Single-Family Structures",2.0,191.0
"Belknap County",2016,"Units in Single-Family Structures",2.0,196.0
"Belknap County",2017,"Units in Single-Family Structures",2.0,178.0
"Belknap County",2018,"Units in Single-Family Structures",2.0,170.0
"Belknap County",2019,"Units in Single-Family Structures",2.0,213.0
"Belknap County",1999,"Units in All Multi-Family Structures",3.0,6.0
"Belknap County",2000,"Units in All Multi-Family Structures",3.0,22.0
"Belknap County",2001,"Units in All Multi-Family Structures",3.0,6.0
"Belknap County",2002,"Units in All Multi-Family Structures",3.0,20.0
"Belknap County",2003,"Units in All Multi-Family Structures",3.0,74.0
"Belknap County",2004,"Units in All Multi-Family Structures",3.0,8.0
"Belknap County",2005,"Units in All Multi-Family Structures",3.0,91.0
"Belknap County",2006,"Units in All Multi-Family Structures",3.0,67.0
