"Location","Year","Series","Series Code","Permits"
"Atlantic County",1999,"Total Units",1.0,1401.0
"Atlantic County",2000,"Total Units",1.0,1625.0
"Atlantic County",2001,"Total Units",1.0,1685.0
"Atlantic County",2002,"Total Units",1.0,2020.0
"Atlantic County",2003,"Total Units",1.0,2285.0
"Atlantic County",2004,"Total Units",1.0,2075.0
"Atlantic County",2005,"Total Units",1.0,2002.0
"Atlantic County",2006,"Total Units",1.0,1893.0
"Atlantic County",2007,"Total Units",1.0,1136.0
"Atlantic County",2008,"Total Units",1.0,794.0
"Atlantic County",2009,"Total Units",1.0,512.0
"Atlantic County",2010,"Total Units",1.0,512.0
"Atlantic County",2011,"Total Units",1.0,390.0
"Atlantic County",2012,"Total Units",1.0,441.0
"Atlantic County",2013,"Total Units",1.0,484.0
"Atlantic County",2014,"Total Units",1.0,722.0
"Atlantic County",2015,"Total Units",1.0,710.0
"Atlantic County",2016,"Total Units",1.0,1083.0
"Atlantic County",2017,"Total Units",1.0,1090.0
"Atlantic County",2018,"Total Units",1.0,833.0
"Atlantic County",2019,"Total Units",1.0,957.0
"Atlantic County",1999,"Units in Single-Family Structures",2.0,1239.0
"Atlantic County",2000,"Units in Single-Family Structures",2.0,1433.0
"Atlantic County",2001,"Units in Single-Family Structures",2.0,1583.0
"Atlantic County",2002,"Units in Single-Family Structures",2.0,1851.0
"Atlantic County",2003,"Units in Single-Family Structures",2.0,2058.0
"Atlantic County",2004,"Units in Single-Family Structures",2.0,1970.0
"Atlantic County",2005,"Units in Single-Family Structures",2.0,1839.0
"Atlantic County",2006,"Units in Single-Family Structures",2.0,1536.0
"Atlantic County",2007,"Units in Single-Family Structures",2.0,1025.0
"Atlantic County",2008,"Units in Single-Family Structures",2.0,690.0
"Atlantic County",2009,"Units in Single-Family Structures",2.0,486.0
"Atlantic County",2010,"Units in Single-Family Structures",2.0,419.0
"Atlantic County",2011,"Units in Single-Family Structures",2.0,337.0
"Atlantic County",2012,"Units in Single-Family Structures",2.0,372.0
