"Location","Year","Series","Series Code","Permits"
"Bernalillo County",1999,"Total Units",1.0,4441.0
"Bernalillo County",2000,"Total Units",1.0,3847.0
"Bernalillo County",2001,"Total Units",1.0,4693.0
"Bernalillo County",2002,"Total Units",1.0,5818.0
"Bernalillo County",2003,"Total Units",1.0,6569.0
"Bernalillo County",2004,"Total Units",1.0,5884.0
"Bernalillo County",2005,"Total Units",1.0,5416.0
"Bernalillo County",2006,"Total Units",1.0,4590.0
"Bernalillo County",2007,"Total Units",1.0,3020.0
"Bernalillo County",2008,"Total Units",1.0,1743.0
"Bernalillo County",2009,"Total Units",1.0,1064.0
"Bernalillo County",2010,"Total Units",1.0,1133.0
"Bernalillo County",2011,"Total Units",1.0,1093.0
"Bernalillo County",2012,"Total Units",1.0,1289.0
"Bernalillo County",2013,"Total Units",1.0,1564.0
"Bernalillo County",2014,"Total Units",1.0,1525.0
"Bernalillo County",2015,"Total Units",1.0,1291.0
"Bernalillo County",2016,"Total Units",1.0,1471.0
"Bernalillo County",2017,"Total Units",1.0,1422.0
"Bernalillo County",2018,"Total Units",1.0,1284.0
"Bernalillo County",2019,"Total Units",1.0,1308.0
"Bernalillo County",1999,"Units in Single-Family Structures",2.0,4057.0
"Bernalillo County",2000,"Units in Single-Family Structures",2.0,3737.0
"Bernalillo County",2001,"Units in Single-Family Structures",2.0,4023.0
"Bernalillo County",2002,"Units in Single-Family Structures",2.0,4606.0
"Bernalillo County",2003,"Units in Single-Family Structures",2.0,5472.0
"Bernalillo County",2004,"Units in Single-Family Structures",2.0,5506.0
"Bernalillo County",2005,"Units in Single-Family Structures",2.0,5102.0
"Bernalillo County",2006,"Units in Single-Family Structures",2.0,3833.0
"Bernalillo County",2007,"Units in Single-Family Structures",2.0,2349.0
"Bernalillo County",2008,"Units in Single-Family Structures",2.0,1263.0
"Bernalillo County",2009,"Units in Single-Family Structures",2.0,905.0
"Bernalillo County",2010,"Units in Single-Family Structures",2.0,931.0
"Bernalillo County",2011,"Units in Single-Family Structures",2.0,823.0
"Bernalillo County",2012,"Units in Single-Family Structures",2.0,545.0
"Bernalillo County",2013,"Units in Single-Family Structures",2.0,524.0
"Bernalillo County",2014,"Units in Single-Family Structures",2.0,1219.0
"Bernalillo County",2015,"Units in Single-Family Structures",2.0,1122.0
"Bernalillo County",2016,"Units in Single-Family Structures",2.0,1031.0
"Bernalillo County",2017,"Units in Single-Family Structures",2.0,1236.0
"Bernalillo County",2018,"Units in Single-Family Structures",2.0,1282.0
"Bernalillo County",2019,"Units in Single-Family Structures",2.0,1120.0
"Bernalillo County",1999,"Units in All Multi-Family Structures",3.0,384.0
"Bernalillo County",2000,"Units in All Multi-Family Structures",3.0,110.0
"Bernalillo County",2001,"Units in All Multi-Family Structures",3.0,670.0
"Bernalillo County",2002,"Units in All Multi-Family Structures",3.0,1212.0
"Bernalillo County",2003,"Units in All Multi-Family Structures",3.0,1097.0
"Bernalillo County",2004,"Units in All Multi-Family Structures",3.0,378.0
"Bernalillo County",2005,"Units in All Multi-Family Structures",3.0,314.0
"Bernalillo County",2006,"Units in All Multi-Family Structures",3.0,757.0
"Bernalillo County",2007,"Units in All Multi-Family Structures",3.0,671.0
"Bernalillo County",2008,"Units in All Multi-Family Structures",3.0,480.0
"Bernalillo County",2009,"Units in All Multi-Family Structures",3.0,159.0
"Bernalillo County",2010,"Units in All Multi-Family Structures",3.0,202.0
"Bernalillo County",2011,"Units in All Multi-Family Structures",3.0,270.0
"Bernalillo County",2012,"Units in All Multi-Family Structures",3.0,744.0
"Bernalillo County",2013,"Units in All Multi-Family Structures",3.0,1040.0
