"Location","Year","Series","Series Code","Permits"
"Carson City",1999,"Total Units",1.0,327.0
"Carson City",2000,"Total Units",1.0,276.0
"Carson City",2001,"Total Units",1.0,384.0
"Carson City",2002,"Total Units",1.0,336.0
"Carson City",2003,"Total Units",1.0,203.0
"Carson City",2004,"Total Units",1.0,232.0
"Carson City",2005,"Total Units",1.0,190.0
"Carson City",2006,"Total Units",1.0,187.0
"Carson City",2007,"Total Units",1.0,51.0
"Carson City",2008,"Total Units",1.0,16.0
"Carson City",2009,"Total Units",1.0,18.0
"Carson City",2010,"Total Units",1.0,71.0
"Carson City",2011,"Total Units",1.0,13.0
"Carson City",2012,"Total Units",1.0,51.0
"Carson City",2013,"Total Units",1.0,40.0
"Carson City",2014,"Total Units",1.0,35.0
"Carson City",2015,"Total Units",1.0,43.0
"Carson City",2016,"Total Units",1.0,159.0
"Carson City",2017,"Total Units",1.0,138.0
"Carson City",2018,"Total Units",1.0,310.0
"Carson City",2019,"Total Units",1.0,248.0
"Carson City",1999,"Units in Single-Family Structures",2.0,297.0
"Carson City",2000,"Units in Single-Family Structures",2.0,276.0
"Carson City",2001,"Units in Single-Family Structures",2.0,310.0
"Carson City",2002,"Units in Single-Family Structures",2.0,307.0
"Carson City",2003,"Units in Single-Family Structures",2.0,197.0
"Carson City",2004,"Units in Single-Family Structures",2.0,132.0
"Carson City",2005,"Units in Single-Family Structures",2.0,110.0
"Carson City",2006,"Units in Single-Family Structures",2.0,110.0
"Carson City",2007,"Units in Single-Family Structures",2.0,45.0
"Carson City",2008,"Units in Single-Family Structures",2.0,16.0
"Carson City",2009,"Units in Single-Family Structures",2.0,18.0
"Carson City",2010,"Units in Single-Family Structures",2.0,11.0
"Carson City",2011,"Units in Single-Family Structures",2.0,9.0
"Carson City",2012,"Units in Single-Family Structures",2.0,11.0
"Carson City",2013,"Units in Single-Family Structures",2.0,36.0
"Carson City",2014,"Units in Single-Family Structures",2.0,33.0
"Carson City",2015,"Units in Single-Family Structures",2.0,39.0
"Carson City",2016,"Units in Single-Family Structures",2.0,87.0
"Carson City",2017,"Units in Single-Family Structures",2.0,118.0
"Carson City",2018,"Units in Single-Family Structures",2.0,180.0
"Carson City",2019,"Units in Single-Family Structures",2.0,172.0
"Carson City",1999,"Units in All Multi-Family Structures",3.0,30.0
"Carson City",2000,"Units in All Multi-Family Structures",3.0,0
"Carson City",2001,"Units in All Multi-Family Structures",3.0,74.0
"Carson City",2002,"Units in All Multi-Family Structures",3.0,29.0
"Carson City",2003,"Units in All Multi-Family Structures",3.0,6.0
"Carson City",2004,"Units in All Multi-Family Structures",3.0,100.0
"Carson City",2005,"Units in All Multi-Family Structures",3.0,80.0
"Carson City",2006,"Units in All Multi-Family Structures",3.0,77.0
"Carson City",2007,"Units in All Multi-Family Structures",3.0,6.0
"Carson City",2008,"Units in All Multi-Family Structures",3.0,0
"Carson City",2009,"Units in All Multi-Family Structures",3.0,0
"Carson City",2010,"Units in All Multi-Family Structures",3.0,60.0
"Carson City",2011,"Units in All Multi-Family Structures",3.0,4.0
"Carson City",2012,"Units in All Multi-Family Structures",3.0,40.0
"Carson City",2013,"Units in All Multi-Family Structures",3.0,4.0
"Carson City",2014,"Units in All Multi-Family Structures",3.0,2.0
"Carson City",2015,"Units in All Multi-Family Structures",3.0,4.0
"Carson City",2016,"Units in All Multi-Family Structures",3.0,72.0
"Carson City",2017,"Units in All Multi-Family Structures",3.0,20.0
"Carson City",2018,"Units in All Multi-Family Structures",3.0,130.0
"Carson City",2019,"Units in All Multi-Family Structures",3.0,76.0
"Carson City",1999,"Units in 2-unit Multi-Family Structures",4.0,2.0
"Carson City",2000,"Units in 2-unit Multi-Family Structures",4.0,0
"Carson City",2001,"Units in 2-unit Multi-Family Structures",4.0,2.0
"Carson City",2002,"Units in 2-unit Multi-Family Structures",4.0,0
"Carson City",2003,"Units in 2-unit Multi-Family Structures",4.0,2.0
"Carson City",2004,"Units in 2-unit Multi-Family Structures",4.0,12.0
"Carson City",2005,"Units in 2-unit Multi-Family Structures",4.0,4.0
"Carson City",2006,"Units in 2-unit Multi-Family Structures",4.0,2.0
"Carson City",2007,"Units in 2-unit Multi-Family Structures",4.0,2.0
"Carson City",2008,"Units in 2-unit Multi-Family Structures",4.0,0
"Carson City",2009,"Units in 2-unit Multi-Family Structures",4.0,0
"Carson City",2010,"Units in 2-unit Multi-Family Structures",4.0,2.0
"Carson City",2011,"Units in 2-unit Multi-Family Structures",4.0,0
"Carson City",2012,"Units in 2-unit Multi-Family Structures",4.0,0
"Carson City",2013,"Units in 2-unit Multi-Family Structures",4.0,4.0
"Carson City",2014,"Units in 2-unit Multi-Family Structures",4.0,2.0
"Carson City",2015,"Units in 2-unit Multi-Family Structures",4.0,0
"Carson City",2016,"Units in 2-unit Multi-Family Structures",4.0,0
"Carson City",2017,"Units in 2-unit Multi-Family Structures",4.0,0
"Carson City",2018,"Units in 2-unit Multi-Family Structures",4.0,0
"Carson City",2019,"Units in 2-unit Multi-Family Structures",4.0,0
"Carson City",1999,"Units in 3- and 4-unit Multi-Family Structures",5.0,28.0
"Carson City",2000,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Carson City",2001,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Carson City",2002,"Units in 3- and 4-unit Multi-Family Structures",5.0,11.0
"Carson City",2003,"Units in 3- and 4-unit Multi-Family Structures",5.0,4.0
"Carson City",2004,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Carson City",2005,"Units in 3- and 4-unit Multi-Family Structures",5.0,4.0
"Carson City",2006,"Units in 3- and 4-unit Multi-Family Structures",5.0,20.0
"Carson City",2007,"Units in 3- and 4-unit Multi-Family Structures",5.0,4.0
"Carson City",2008,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Carson City",2009,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Carson City",2010,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Carson City",2011,"Units in 3- and 4-unit Multi-Family Structures",5.0,4.0
"Carson City",2012,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Carson City",2013,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Carson City",2014,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Carson City",2015,"Units in 3- and 4-unit Multi-Family Structures",5.0,4.0
"Carson City",2016,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Carson City",2017,"Units in 3- and 4-unit Multi-Family Structures",5.0,20.0
"Carson City",2018,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Carson City",2019,"Units in 3- and 4-unit Multi-Family Structures",5.0,3.0
"Carson City",1999,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Carson City",2000,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Carson City",2001,"Units in 5+ Unit Multi-Family Structures",6.0,72.0
"Carson City",2002,"Units in 5+ Unit Multi-Family Structures",6.0,18.0
"Carson City",2003,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Carson City",2004,"Units in 5+ Unit Multi-Family Structures",6.0,88.0
"Carson City",2005,"Units in 5+ Unit Multi-Family Structures",6.0,72.0
"Carson City",2006,"Units in 5+ Unit Multi-Family Structures",6.0,55.0
"Carson City",2007,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Carson City",2008,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Carson City",2009,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Carson City",2010,"Units in 5+ Unit Multi-Family Structures",6.0,58.0
"Carson City",2011,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Carson City",2012,"Units in 5+ Unit Multi-Family Structures",6.0,40.0
"Carson City",2013,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Carson City",2014,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Carson City",2015,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Carson City",2016,"Units in 5+ Unit Multi-Family Structures",6.0,72.0
"Carson City",2017,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Carson City",2018,"Units in 5+ Unit Multi-Family Structures",6.0,130.0
"Carson City",2019,"Units in 5+ Unit Multi-Family Structures",6.0,73.0
"Churchill County",1999,"Total Units",1.0,153.0
"Churchill County",2000,"Total Units",1.0,117.0
"Churchill County",2001,"Total Units",1.0,68.0
"Churchill County",2002,"Total Units",1.0,84.0
"Churchill County",2003,"Total Units",1.0,121.0
"Churchill County",2004,"Total Units",1.0,277.0
"Churchill County",2005,"Total Units",1.0,312.0
"Churchill County",2006,"Total Units",1.0,259.0
"Churchill County",2007,"Total Units",1.0,107.0
"Churchill County",2008,"Total Units",1.0,62.0
"Churchill County",2009,"Total Units",1.0,15.0
"Churchill County",2010,"Total Units",1.0,3.0
"Churchill County",2011,"Total Units",1.0,3.0
"Churchill County",2012,"Total Units",1.0,8.0
"Churchill County",2013,"Total Units",1.0,10.0
"Churchill County",2014,"Total Units",1.0,38.0
"Churchill County",2015,"Total Units",1.0,24.0
"Churchill County",2016,"Total Units",1.0,30.0
"Churchill County",2017,"Total Units",1.0,32.0
"Churchill County",2018,"Total Units",1.0,73.0
"Churchill County",2019,"Total Units",1.0,99.0
"Churchill County",1999,"Units in Single-Family Structures",2.0,147.0
"Churchill County",2000,"Units in Single-Family Structures",2.0,110.0
"Churchill County",2001,"Units in Single-Family Structures",2.0,68.0
"Churchill County",2002,"Units in Single-Family Structures",2.0,77.0
"Churchill County",2003,"Units in Single-Family Structures",2.0,121.0
"Churchill County",2004,"Units in Single-Family Structures",2.0,239.0
"Churchill County",2005,"Units in Single-Family Structures",2.0,268.0
"Churchill County",2006,"Units in Single-Family Structures",2.0,222.0
