"Location","Year","Series","Series Code","Permits"
"Albany County",1999,"Total Units",1.0,992.0
"Albany County",2000,"Total Units",1.0,735.0
"Albany County",2001,"Total Units",1.0,955.0
"Albany County",2002,"Total Units",1.0,773.0
"Albany County",2003,"Total Units",1.0,793.0
"Albany County",2004,"Total Units",1.0,912.0
"Albany County",2005,"Total Units",1.0,850.0
"Albany County",2006,"Total Units",1.0,525.0
"Albany County",2007,"Total Units",1.0,447.0
"Albany County",2008,"Total Units",1.0,676.0
"Albany County",2009,"Total Units",1.0,274.0
"Albany County",2010,"Total Units",1.0,321.0
"Albany County",2011,"Total Units",1.0,360.0
"Albany County",2012,"Total Units",1.0,461.0
"Albany County",2013,"Total Units",1.0,616.0
"Albany County",2014,"Total Units",1.0,775.0
"Albany County",2015,"Total Units",1.0,1097.0
"Albany County",2016,"Total Units",1.0,740.0
"Albany County",2017,"Total Units",1.0,761.0
"Albany County",2018,"Total Units",1.0,679.0
"Albany County",2019,"Total Units",1.0,493.0
"Albany County",1999,"Units in Single-Family Structures",2.0,632.0
"Albany County",2000,"Units in Single-Family Structures",2.0,591.0
"Albany County",2001,"Units in Single-Family Structures",2.0,627.0
"Albany County",2002,"Units in Single-Family Structures",2.0,628.0
"Albany County",2003,"Units in Single-Family Structures",2.0,582.0
"Albany County",2004,"Units in Single-Family Structures",2.0,600.0
"Albany County",2005,"Units in Single-Family Structures",2.0,493.0
"Albany County",2006,"Units in Single-Family Structures",2.0,425.0
"Albany County",2007,"Units in Single-Family Structures",2.0,385.0
"Albany County",2008,"Units in Single-Family Structures",2.0,300.0
"Albany County",2009,"Units in Single-Family Structures",2.0,265.0
"Albany County",2010,"Units in Single-Family Structures",2.0,260.0
"Albany County",2011,"Units in Single-Family Structures",2.0,186.0
"Albany County",2012,"Units in Single-Family Structures",2.0,246.0
"Albany County",2013,"Units in Single-Family Structures",2.0,341.0
"Albany County",2014,"Units in Single-Family Structures",2.0,369.0
"Albany County",2015,"Units in Single-Family Structures",2.0,296.0
"Albany County",2016,"Units in Single-Family Structures",2.0,395.0
"Albany County",2017,"Units in Single-Family Structures",2.0,276.0
"Albany County",2018,"Units in Single-Family Structures",2.0,247.0
"Albany County",2019,"Units in Single-Family Structures",2.0,235.0
"Albany County",1999,"Units in All Multi-Family Structures",3.0,360.0
"Albany County",2000,"Units in All Multi-Family Structures",3.0,144.0
"Albany County",2001,"Units in All Multi-Family Structures",3.0,328.0
"Albany County",2002,"Units in All Multi-Family Structures",3.0,145.0
"Albany County",2003,"Units in All Multi-Family Structures",3.0,211.0
"Albany County",2004,"Units in All Multi-Family Structures",3.0,312.0
"Albany County",2005,"Units in All Multi-Family Structures",3.0,357.0
"Albany County",2006,"Units in All Multi-Family Structures",3.0,100.0
"Albany County",2007,"Units in All Multi-Family Structures",3.0,62.0
"Albany County",2008,"Units in All Multi-Family Structures",3.0,376.0
