"Location","Year","Series","Series Code","Permits"
"Baker County",1999,"Total Units",1.0,34.0
"Baker County",2000,"Total Units",1.0,28.0
"Baker County",2001,"Total Units",1.0,36.0
"Baker County",2002,"Total Units",1.0,41.0
"Baker County",2003,"Total Units",1.0,39.0
"Baker County",2004,"Total Units",1.0,57.0
"Baker County",2005,"Total Units",1.0,56.0
"Baker County",2006,"Total Units",1.0,66.0
"Baker County",2007,"Total Units",1.0,60.0
"Baker County",2008,"Total Units",1.0,47.0
"Baker County",2009,"Total Units",1.0,33.0
"Baker County",2010,"Total Units",1.0,34.0
"Baker County",2011,"Total Units",1.0,31.0
"Baker County",2012,"Total Units",1.0,22.0
"Baker County",2013,"Total Units",1.0,22.0
"Baker County",2014,"Total Units",1.0,18.0
"Baker County",2015,"Total Units",1.0,21.0
"Baker County",2016,"Total Units",1.0,37.0
"Baker County",2017,"Total Units",1.0,22.0
"Baker County",2018,"Total Units",1.0,23.0
"Baker County",2019,"Total Units",1.0,23.0
"Baker County",1999,"Units in Single-Family Structures",2.0,34.0
"Baker County",2000,"Units in Single-Family Structures",2.0,28.0
"Baker County",2001,"Units in Single-Family Structures",2.0,36.0
"Baker County",2002,"Units in Single-Family Structures",2.0,39.0
"Baker County",2003,"Units in Single-Family Structures",2.0,39.0
"Baker County",2004,"Units in Single-Family Structures",2.0,55.0
"Baker County",2005,"Units in Single-Family Structures",2.0,56.0
"Baker County",2006,"Units in Single-Family Structures",2.0,66.0
"Baker County",2007,"Units in Single-Family Structures",2.0,60.0
"Baker County",2008,"Units in Single-Family Structures",2.0,45.0
"Baker County",2009,"Units in Single-Family Structures",2.0,33.0
"Baker County",2010,"Units in Single-Family Structures",2.0,34.0
"Baker County",2011,"Units in Single-Family Structures",2.0,31.0
"Baker County",2012,"Units in Single-Family Structures",2.0,22.0
"Baker County",2013,"Units in Single-Family Structures",2.0,22.0
"Baker County",2014,"Units in Single-Family Structures",2.0,18.0
"Baker County",2015,"Units in Single-Family Structures",2.0,21.0
"Baker County",2016,"Units in Single-Family Structures",2.0,37.0
"Baker County",2017,"Units in Single-Family Structures",2.0,22.0
"Baker County",2018,"Units in Single-Family Structures",2.0,23.0
"Baker County",2019,"Units in Single-Family Structures",2.0,23.0
"Baker County",1999,"Units in All Multi-Family Structures",3.0,0
"Baker County",2000,"Units in All Multi-Family Structures",3.0,0
"Baker County",2001,"Units in All Multi-Family Structures",3.0,0
"Baker County",2002,"Units in All Multi-Family Structures",3.0,2.0
"Baker County",2003,"Units in All Multi-Family Structures",3.0,0
"Baker County",2004,"Units in All Multi-Family Structures",3.0,2.0
"Baker County",2005,"Units in All Multi-Family Structures",3.0,0
"Baker County",2006,"Units in All Multi-Family Structures",3.0,0
"Baker County",2007,"Units in All Multi-Family Structures",3.0,0
"Baker County",2008,"Units in All Multi-Family Structures",3.0,2.0
"Baker County",2009,"Units in All Multi-Family Structures",3.0,0
"Baker County",2010,"Units in All Multi-Family Structures",3.0,0
"Baker County",2011,"Units in All Multi-Family Structures",3.0,0
"Baker County",2012,"Units in All Multi-Family Structures",3.0,0
"Baker County",2013,"Units in All Multi-Family Structures",3.0,0
"Baker County",2014,"Units in All Multi-Family Structures",3.0,0
"Baker County",2015,"Units in All Multi-Family Structures",3.0,0
"Baker County",2016,"Units in All Multi-Family Structures",3.0,0
"Baker County",2017,"Units in All Multi-Family Structures",3.0,0
"Baker County",2018,"Units in All Multi-Family Structures",3.0,0
"Baker County",2019,"Units in All Multi-Family Structures",3.0,0
"Baker County",1999,"Units in 2-unit Multi-Family Structures",4.0,0
"Baker County",2000,"Units in 2-unit Multi-Family Structures",4.0,0
"Baker County",2001,"Units in 2-unit Multi-Family Structures",4.0,0
"Baker County",2002,"Units in 2-unit Multi-Family Structures",4.0,2.0
"Baker County",2003,"Units in 2-unit Multi-Family Structures",4.0,0
"Baker County",2004,"Units in 2-unit Multi-Family Structures",4.0,2.0
"Baker County",2005,"Units in 2-unit Multi-Family Structures",4.0,0
"Baker County",2006,"Units in 2-unit Multi-Family Structures",4.0,0
"Baker County",2007,"Units in 2-unit Multi-Family Structures",4.0,0
"Baker County",2008,"Units in 2-unit Multi-Family Structures",4.0,2.0
"Baker County",2009,"Units in 2-unit Multi-Family Structures",4.0,0
"Baker County",2010,"Units in 2-unit Multi-Family Structures",4.0,0
"Baker County",2011,"Units in 2-unit Multi-Family Structures",4.0,0
"Baker County",2012,"Units in 2-unit Multi-Family Structures",4.0,0
"Baker County",2013,"Units in 2-unit Multi-Family Structures",4.0,0
"Baker County",2014,"Units in 2-unit Multi-Family Structures",4.0,0
"Baker County",2015,"Units in 2-unit Multi-Family Structures",4.0,0
"Baker County",2016,"Units in 2-unit Multi-Family Structures",4.0,0
"Baker County",2017,"Units in 2-unit Multi-Family Structures",4.0,0
"Baker County",2018,"Units in 2-unit Multi-Family Structures",4.0,0
"Baker County",2019,"Units in 2-unit Multi-Family Structures",4.0,0
"Baker County",1999,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Baker County",2000,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Baker County",2001,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Baker County",2002,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Baker County",2003,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Baker County",2004,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Baker County",2005,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Baker County",2006,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Baker County",2007,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Baker County",2008,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Baker County",2009,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Baker County",2010,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Baker County",2011,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Baker County",2012,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Baker County",2013,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Baker County",2014,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Baker County",2015,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Baker County",2016,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Baker County",2017,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Baker County",2018,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Baker County",2019,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Baker County",1999,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Baker County",2000,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Baker County",2001,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Baker County",2002,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Baker County",2003,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Baker County",2004,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Baker County",2005,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Baker County",2006,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Baker County",2007,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Baker County",2008,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Baker County",2009,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Baker County",2010,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Baker County",2011,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Baker County",2012,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Baker County",2013,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Baker County",2014,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Baker County",2015,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Baker County",2016,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Baker County",2017,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Baker County",2018,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Baker County",2019,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Benton County",1999,"Total Units",1.0,401.0
"Benton County",2000,"Total Units",1.0,264.0
"Benton County",2001,"Total Units",1.0,795.0
"Benton County",2002,"Total Units",1.0,369.0
"Benton County",2003,"Total Units",1.0,439.0
"Benton County",2004,"Total Units",1.0,366.0
"Benton County",2005,"Total Units",1.0,496.0
"Benton County",2006,"Total Units",1.0,355.0
"Benton County",2007,"Total Units",1.0,213.0
"Benton County",2008,"Total Units",1.0,108.0
"Benton County",2009,"Total Units",1.0,96.0
"Benton County",2010,"Total Units",1.0,93.0
"Benton County",2011,"Total Units",1.0,364.0
"Benton County",2012,"Total Units",1.0,312.0
"Benton County",2013,"Total Units",1.0,223.0
"Benton County",2014,"Total Units",1.0,451.0
"Benton County",2015,"Total Units",1.0,142.0
"Benton County",2016,"Total Units",1.0,195.0
"Benton County",2017,"Total Units",1.0,136.0
"Benton County",2018,"Total Units",1.0,622.0
"Benton County",2019,"Total Units",1.0,542.0
"Benton County",1999,"Units in Single-Family Structures",2.0,229.0
"Benton County",2000,"Units in Single-Family Structures",2.0,226.0
"Benton County",2001,"Units in Single-Family Structures",2.0,310.0
"Benton County",2002,"Units in Single-Family Structures",2.0,357.0
"Benton County",2003,"Units in Single-Family Structures",2.0,278.0
"Benton County",2004,"Units in Single-Family Structures",2.0,291.0
"Benton County",2005,"Units in Single-Family Structures",2.0,320.0
"Benton County",2006,"Units in Single-Family Structures",2.0,301.0
"Benton County",2007,"Units in Single-Family Structures",2.0,193.0
"Benton County",2008,"Units in Single-Family Structures",2.0,106.0
"Benton County",2009,"Units in Single-Family Structures",2.0,96.0
"Benton County",2010,"Units in Single-Family Structures",2.0,75.0
"Benton County",2011,"Units in Single-Family Structures",2.0,66.0
"Benton County",2012,"Units in Single-Family Structures",2.0,86.0
"Benton County",2013,"Units in Single-Family Structures",2.0,133.0
"Benton County",2014,"Units in Single-Family Structures",2.0,119.0
"Benton County",2015,"Units in Single-Family Structures",2.0,138.0
"Benton County",2016,"Units in Single-Family Structures",2.0,149.0
"Benton County",2017,"Units in Single-Family Structures",2.0,116.0
"Benton County",2018,"Units in Single-Family Structures",2.0,103.0
"Benton County",2019,"Units in Single-Family Structures",2.0,218.0
"Benton County",1999,"Units in All Multi-Family Structures",3.0,172.0
"Benton County",2000,"Units in All Multi-Family Structures",3.0,38.0
"Benton County",2001,"Units in All Multi-Family Structures",3.0,485.0
"Benton County",2002,"Units in All Multi-Family Structures",3.0,12.0
"Benton County",2003,"Units in All Multi-Family Structures",3.0,161.0
"Benton County",2004,"Units in All Multi-Family Structures",3.0,75.0
"Benton County",2005,"Units in All Multi-Family Structures",3.0,176.0
"Benton County",2006,"Units in All Multi-Family Structures",3.0,54.0
"Benton County",2007,"Units in All Multi-Family Structures",3.0,20.0
"Benton County",2008,"Units in All Multi-Family Structures",3.0,2.0
"Benton County",2009,"Units in All Multi-Family Structures",3.0,0
"Benton County",2010,"Units in All Multi-Family Structures",3.0,18.0
"Benton County",2011,"Units in All Multi-Family Structures",3.0,298.0
"Benton County",2012,"Units in All Multi-Family Structures",3.0,226.0
"Benton County",2013,"Units in All Multi-Family Structures",3.0,90.0
"Benton County",2014,"Units in All Multi-Family Structures",3.0,332.0
"Benton County",2015,"Units in All Multi-Family Structures",3.0,4.0
"Benton County",2016,"Units in All Multi-Family Structures",3.0,46.0
"Benton County",2017,"Units in All Multi-Family Structures",3.0,20.0
"Benton County",2018,"Units in All Multi-Family Structures",3.0,519.0
"Benton County",2019,"Units in All Multi-Family Structures",3.0,324.0
"Benton County",1999,"Units in 2-unit Multi-Family Structures",4.0,6.0
"Benton County",2000,"Units in 2-unit Multi-Family Structures",4.0,12.0
"Benton County",2001,"Units in 2-unit Multi-Family Structures",4.0,58.0
"Benton County",2002,"Units in 2-unit Multi-Family Structures",4.0,12.0
"Benton County",2003,"Units in 2-unit Multi-Family Structures",4.0,16.0
"Benton County",2004,"Units in 2-unit Multi-Family Structures",4.0,6.0
"Benton County",2005,"Units in 2-unit Multi-Family Structures",4.0,14.0
"Benton County",2006,"Units in 2-unit Multi-Family Structures",4.0,8.0
"Benton County",2007,"Units in 2-unit Multi-Family Structures",4.0,8.0
"Benton County",2008,"Units in 2-unit Multi-Family Structures",4.0,2.0
"Benton County",2009,"Units in 2-unit Multi-Family Structures",4.0,0
"Benton County",2010,"Units in 2-unit Multi-Family Structures",4.0,0
"Benton County",2011,"Units in 2-unit Multi-Family Structures",4.0,22.0
"Benton County",2012,"Units in 2-unit Multi-Family Structures",4.0,12.0
"Benton County",2013,"Units in 2-unit Multi-Family Structures",4.0,0
"Benton County",2014,"Units in 2-unit Multi-Family Structures",4.0,22.0
"Benton County",2015,"Units in 2-unit Multi-Family Structures",4.0,4.0
"Benton County",2016,"Units in 2-unit Multi-Family Structures",4.0,10.0
"Benton County",2017,"Units in 2-unit Multi-Family Structures",4.0,4.0
"Benton County",2018,"Units in 2-unit Multi-Family Structures",4.0,4.0
"Benton County",2019,"Units in 2-unit Multi-Family Structures",4.0,0
"Benton County",1999,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Benton County",2000,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Benton County",2001,"Units in 3- and 4-unit Multi-Family Structures",5.0,17.0
"Benton County",2002,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Benton County",2003,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Benton County",2004,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Benton County",2005,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Benton County",2006,"Units in 3- and 4-unit Multi-Family Structures",5.0,46.0
"Benton County",2007,"Units in 3- and 4-unit Multi-Family Structures",5.0,12.0
"Benton County",2008,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Benton County",2009,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Benton County",2010,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Benton County",2011,"Units in 3- and 4-unit Multi-Family Structures",5.0,48.0
"Benton County",2012,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Benton County",2013,"Units in 3- and 4-unit Multi-Family Structures",5.0,22.0
"Benton County",2014,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Benton County",2015,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Benton County",2016,"Units in 3- and 4-unit Multi-Family Structures",5.0,3.0
"Benton County",2017,"Units in 3- and 4-unit Multi-Family Structures",5.0,16.0
"Benton County",2018,"Units in 3- and 4-unit Multi-Family Structures",5.0,17.0
"Benton County",2019,"Units in 3- and 4-unit Multi-Family Structures",5.0,24.0
"Benton County",1999,"Units in 5+ Unit Multi-Family Structures",6.0,166.0
"Benton County",2000,"Units in 5+ Unit Multi-Family Structures",6.0,26.0
"Benton County",2001,"Units in 5+ Unit Multi-Family Structures",6.0,410.0
"Benton County",2002,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Benton County",2003,"Units in 5+ Unit Multi-Family Structures",6.0,145.0
"Benton County",2004,"Units in 5+ Unit Multi-Family Structures",6.0,69.0
"Benton County",2005,"Units in 5+ Unit Multi-Family Structures",6.0,162.0
"Benton County",2006,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Benton County",2007,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Benton County",2008,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Benton County",2009,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Benton County",2010,"Units in 5+ Unit Multi-Family Structures",6.0,18.0
"Benton County",2011,"Units in 5+ Unit Multi-Family Structures",6.0,228.0
"Benton County",2012,"Units in 5+ Unit Multi-Family Structures",6.0,214.0
"Benton County",2013,"Units in 5+ Unit Multi-Family Structures",6.0,68.0
"Benton County",2014,"Units in 5+ Unit Multi-Family Structures",6.0,310.0
"Benton County",2015,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Benton County",2016,"Units in 5+ Unit Multi-Family Structures",6.0,33.0
"Benton County",2017,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Benton County",2018,"Units in 5+ Unit Multi-Family Structures",6.0,498.0
"Benton County",2019,"Units in 5+ Unit Multi-Family Structures",6.0,300.0
"Clackamas County",1999,"Total Units",1.0,2761.0
"Clackamas County",2000,"Total Units",1.0,2311.0
"Clackamas County",2001,"Total Units",1.0,2085.0
"Clackamas County",2002,"Total Units",1.0,1813.0
"Clackamas County",2003,"Total Units",1.0,1722.0
"Clackamas County",2004,"Total Units",1.0,2200.0
"Clackamas County",2005,"Total Units",1.0,2680.0
"Clackamas County",2006,"Total Units",1.0,2782.0
"Clackamas County",2007,"Total Units",1.0,2050.0
"Clackamas County",2008,"Total Units",1.0,865.0
"Clackamas County",2009,"Total Units",1.0,715.0
"Clackamas County",2010,"Total Units",1.0,665.0
"Clackamas County",2011,"Total Units",1.0,1172.0
"Clackamas County",2012,"Total Units",1.0,1581.0
"Clackamas County",2013,"Total Units",1.0,1503.0
"Clackamas County",2014,"Total Units",1.0,1480.0
"Clackamas County",2015,"Total Units",1.0,1831.0
"Clackamas County",2016,"Total Units",1.0,2450.0
"Clackamas County",2017,"Total Units",1.0,1702.0
"Clackamas County",2018,"Total Units",1.0,1754.0
"Clackamas County",2019,"Total Units",1.0,1784.0
"Clackamas County",1999,"Units in Single-Family Structures",2.0,1941.0
"Clackamas County",2000,"Units in Single-Family Structures",2.0,1771.0
"Clackamas County",2001,"Units in Single-Family Structures",2.0,1742.0
"Clackamas County",2002,"Units in Single-Family Structures",2.0,1519.0
"Clackamas County",2003,"Units in Single-Family Structures",2.0,1606.0
"Clackamas County",2004,"Units in Single-Family Structures",2.0,1971.0
"Clackamas County",2005,"Units in Single-Family Structures",2.0,2450.0
"Clackamas County",2006,"Units in Single-Family Structures",2.0,2212.0
"Clackamas County",2007,"Units in Single-Family Structures",2.0,1942.0
"Clackamas County",2008,"Units in Single-Family Structures",2.0,865.0
"Clackamas County",2009,"Units in Single-Family Structures",2.0,580.0
"Clackamas County",2010,"Units in Single-Family Structures",2.0,625.0
"Clackamas County",2011,"Units in Single-Family Structures",2.0,800.0
"Clackamas County",2012,"Units in Single-Family Structures",2.0,1142.0
"Clackamas County",2013,"Units in Single-Family Structures",2.0,1344.0
"Clackamas County",2014,"Units in Single-Family Structures",2.0,1278.0
"Clackamas County",2015,"Units in Single-Family Structures",2.0,1607.0
"Clackamas County",2016,"Units in Single-Family Structures",2.0,1368.0
"Clackamas County",2017,"Units in Single-Family Structures",2.0,1228.0
"Clackamas County",2018,"Units in Single-Family Structures",2.0,1244.0
"Clackamas County",2019,"Units in Single-Family Structures",2.0,1373.0
"Clackamas County",1999,"Units in All Multi-Family Structures",3.0,820.0
"Clackamas County",2000,"Units in All Multi-Family Structures",3.0,540.0
"Clackamas County",2001,"Units in All Multi-Family Structures",3.0,343.0
"Clackamas County",2002,"Units in All Multi-Family Structures",3.0,294.0
"Clackamas County",2003,"Units in All Multi-Family Structures",3.0,116.0
"Clackamas County",2004,"Units in All Multi-Family Structures",3.0,229.0
"Clackamas County",2005,"Units in All Multi-Family Structures",3.0,230.0
"Clackamas County",2006,"Units in All Multi-Family Structures",3.0,570.0
"Clackamas County",2007,"Units in All Multi-Family Structures",3.0,108.0
"Clackamas County",2008,"Units in All Multi-Family Structures",3.0,0
"Clackamas County",2009,"Units in All Multi-Family Structures",3.0,135.0
"Clackamas County",2010,"Units in All Multi-Family Structures",3.0,40.0
"Clackamas County",2011,"Units in All Multi-Family Structures",3.0,372.0
"Clackamas County",2012,"Units in All Multi-Family Structures",3.0,439.0
"Clackamas County",2013,"Units in All Multi-Family Structures",3.0,159.0
"Clackamas County",2014,"Units in All Multi-Family Structures",3.0,202.0
"Clackamas County",2015,"Units in All Multi-Family Structures",3.0,224.0
"Clackamas County",2016,"Units in All Multi-Family Structures",3.0,1082.0
"Clackamas County",2017,"Units in All Multi-Family Structures",3.0,474.0
"Clackamas County",2018,"Units in All Multi-Family Structures",3.0,510.0
"Clackamas County",2019,"Units in All Multi-Family Structures",3.0,411.0
"Clackamas County",1999,"Units in 2-unit Multi-Family Structures",4.0,80.0
"Clackamas County",2000,"Units in 2-unit Multi-Family Structures",4.0,48.0
"Clackamas County",2001,"Units in 2-unit Multi-Family Structures",4.0,12.0
"Clackamas County",2002,"Units in 2-unit Multi-Family Structures",4.0,66.0
"Clackamas County",2003,"Units in 2-unit Multi-Family Structures",4.0,18.0
"Clackamas County",2004,"Units in 2-unit Multi-Family Structures",4.0,28.0
"Clackamas County",2005,"Units in 2-unit Multi-Family Structures",4.0,4.0
"Clackamas County",2006,"Units in 2-unit Multi-Family Structures",4.0,2.0
"Clackamas County",2007,"Units in 2-unit Multi-Family Structures",4.0,8.0
"Clackamas County",2008,"Units in 2-unit Multi-Family Structures",4.0,0
"Clackamas County",2009,"Units in 2-unit Multi-Family Structures",4.0,0
"Clackamas County",2010,"Units in 2-unit Multi-Family Structures",4.0,32.0
"Clackamas County",2011,"Units in 2-unit Multi-Family Structures",4.0,4.0
"Clackamas County",2012,"Units in 2-unit Multi-Family Structures",4.0,4.0
"Clackamas County",2013,"Units in 2-unit Multi-Family Structures",4.0,14.0
"Clackamas County",2014,"Units in 2-unit Multi-Family Structures",4.0,32.0
"Clackamas County",2015,"Units in 2-unit Multi-Family Structures",4.0,12.0
"Clackamas County",2016,"Units in 2-unit Multi-Family Structures",4.0,14.0
"Clackamas County",2017,"Units in 2-unit Multi-Family Structures",4.0,18.0
"Clackamas County",2018,"Units in 2-unit Multi-Family Structures",4.0,6.0
"Clackamas County",2019,"Units in 2-unit Multi-Family Structures",4.0,6.0
"Clackamas County",1999,"Units in 3- and 4-unit Multi-Family Structures",5.0,31.0
"Clackamas County",2000,"Units in 3- and 4-unit Multi-Family Structures",5.0,19.0
"Clackamas County",2001,"Units in 3- and 4-unit Multi-Family Structures",5.0,4.0
"Clackamas County",2002,"Units in 3- and 4-unit Multi-Family Structures",5.0,20.0
"Clackamas County",2003,"Units in 3- and 4-unit Multi-Family Structures",5.0,17.0
"Clackamas County",2004,"Units in 3- and 4-unit Multi-Family Structures",5.0,20.0
"Clackamas County",2005,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Clackamas County",2006,"Units in 3- and 4-unit Multi-Family Structures",5.0,4.0
"Clackamas County",2007,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Clackamas County",2008,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Clackamas County",2009,"Units in 3- and 4-unit Multi-Family Structures",5.0,7.0
"Clackamas County",2010,"Units in 3- and 4-unit Multi-Family Structures",5.0,3.0
"Clackamas County",2011,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Clackamas County",2012,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Clackamas County",2013,"Units in 3- and 4-unit Multi-Family Structures",5.0,14.0
"Clackamas County",2014,"Units in 3- and 4-unit Multi-Family Structures",5.0,19.0
"Clackamas County",2015,"Units in 3- and 4-unit Multi-Family Structures",5.0,32.0
"Clackamas County",2016,"Units in 3- and 4-unit Multi-Family Structures",5.0,23.0
"Clackamas County",2017,"Units in 3- and 4-unit Multi-Family Structures",5.0,19.0
"Clackamas County",2018,"Units in 3- and 4-unit Multi-Family Structures",5.0,9.0
"Clackamas County",2019,"Units in 3- and 4-unit Multi-Family Structures",5.0,33.0
"Clackamas County",1999,"Units in 5+ Unit Multi-Family Structures",6.0,709.0
"Clackamas County",2000,"Units in 5+ Unit Multi-Family Structures",6.0,473.0
"Clackamas County",2001,"Units in 5+ Unit Multi-Family Structures",6.0,327.0
"Clackamas County",2002,"Units in 5+ Unit Multi-Family Structures",6.0,208.0
"Clackamas County",2003,"Units in 5+ Unit Multi-Family Structures",6.0,81.0
"Clackamas County",2004,"Units in 5+ Unit Multi-Family Structures",6.0,181.0
"Clackamas County",2005,"Units in 5+ Unit Multi-Family Structures",6.0,226.0
