"Location","Year","Series","Series Code","Permits"
"Adams County",1999,"Total Units",1.0,712.0
"Adams County",2000,"Total Units",1.0,639.0
"Adams County",2001,"Total Units",1.0,576.0
"Adams County",2002,"Total Units",1.0,654.0
"Adams County",2003,"Total Units",1.0,532.0
"Adams County",2004,"Total Units",1.0,675.0
"Adams County",2005,"Total Units",1.0,606.0
"Adams County",2006,"Total Units",1.0,541.0
"Adams County",2007,"Total Units",1.0,388.0
"Adams County",2008,"Total Units",1.0,278.0
"Adams County",2009,"Total Units",1.0,198.0
"Adams County",2010,"Total Units",1.0,306.0
"Adams County",2011,"Total Units",1.0,148.0
"Adams County",2012,"Total Units",1.0,167.0
"Adams County",2013,"Total Units",1.0,200.0
"Adams County",2014,"Total Units",1.0,272.0
"Adams County",2015,"Total Units",1.0,240.0
"Adams County",2016,"Total Units",1.0,347.0
"Adams County",2017,"Total Units",1.0,249.0
"Adams County",2018,"Total Units",1.0,224.0
"Adams County",2019,"Total Units",1.0,220.0
"Adams County",1999,"Units in Single-Family Structures",2.0,618.0
"Adams County",2000,"Units in Single-Family Structures",2.0,600.0
"Adams County",2001,"Units in Single-Family Structures",2.0,576.0
"Adams County",2002,"Units in Single-Family Structures",2.0,646.0
"Adams County",2003,"Units in Single-Family Structures",2.0,522.0
"Adams County",2004,"Units in Single-Family Structures",2.0,635.0
"Adams County",2005,"Units in Single-Family Structures",2.0,602.0
"Adams County",2006,"Units in Single-Family Structures",2.0,541.0
"Adams County",2007,"Units in Single-Family Structures",2.0,384.0
"Adams County",2008,"Units in Single-Family Structures",2.0,278.0
"Adams County",2009,"Units in Single-Family Structures",2.0,198.0
"Adams County",2010,"Units in Single-Family Structures",2.0,284.0
"Adams County",2011,"Units in Single-Family Structures",2.0,146.0
"Adams County",2012,"Units in Single-Family Structures",2.0,167.0
"Adams County",2013,"Units in Single-Family Structures",2.0,200.0
"Adams County",2014,"Units in Single-Family Structures",2.0,222.0
"Adams County",2015,"Units in Single-Family Structures",2.0,218.0
"Adams County",2016,"Units in Single-Family Structures",2.0,347.0
"Adams County",2017,"Units in Single-Family Structures",2.0,249.0
"Adams County",2018,"Units in Single-Family Structures",2.0,224.0
"Adams County",2019,"Units in Single-Family Structures",2.0,220.0
"Adams County",1999,"Units in All Multi-Family Structures",3.0,94.0
"Adams County",2000,"Units in All Multi-Family Structures",3.0,39.0
"Adams County",2001,"Units in All Multi-Family Structures",3.0,0
"Adams County",2002,"Units in All Multi-Family Structures",3.0,8.0
"Adams County",2003,"Units in All Multi-Family Structures",3.0,10.0
"Adams County",2004,"Units in All Multi-Family Structures",3.0,40.0
"Adams County",2005,"Units in All Multi-Family Structures",3.0,4.0
"Adams County",2006,"Units in All Multi-Family Structures",3.0,0
"Adams County",2007,"Units in All Multi-Family Structures",3.0,4.0
"Adams County",2008,"Units in All Multi-Family Structures",3.0,0
"Adams County",2009,"Units in All Multi-Family Structures",3.0,0
"Adams County",2010,"Units in All Multi-Family Structures",3.0,22.0
"Adams County",2011,"Units in All Multi-Family Structures",3.0,2.0
"Adams County",2012,"Units in All Multi-Family Structures",3.0,0
"Adams County",2013,"Units in All Multi-Family Structures",3.0,0
"Adams County",2014,"Units in All Multi-Family Structures",3.0,50.0
"Adams County",2015,"Units in All Multi-Family Structures",3.0,22.0
"Adams County",2016,"Units in All Multi-Family Structures",3.0,0
"Adams County",2017,"Units in All Multi-Family Structures",3.0,0
"Adams County",2018,"Units in All Multi-Family Structures",3.0,0
"Adams County",2019,"Units in All Multi-Family Structures",3.0,0
"Adams County",1999,"Units in 2-unit Multi-Family Structures",4.0,10.0
"Adams County",2000,"Units in 2-unit Multi-Family Structures",4.0,0
"Adams County",2001,"Units in 2-unit Multi-Family Structures",4.0,0
"Adams County",2002,"Units in 2-unit Multi-Family Structures",4.0,0
"Adams County",2003,"Units in 2-unit Multi-Family Structures",4.0,6.0
"Adams County",2004,"Units in 2-unit Multi-Family Structures",4.0,4.0
"Adams County",2005,"Units in 2-unit Multi-Family Structures",4.0,0
"Adams County",2006,"Units in 2-unit Multi-Family Structures",4.0,0
"Adams County",2007,"Units in 2-unit Multi-Family Structures",4.0,4.0
"Adams County",2008,"Units in 2-unit Multi-Family Structures",4.0,0
"Adams County",2009,"Units in 2-unit Multi-Family Structures",4.0,0
"Adams County",2010,"Units in 2-unit Multi-Family Structures",4.0,0
"Adams County",2011,"Units in 2-unit Multi-Family Structures",4.0,2.0
"Adams County",2012,"Units in 2-unit Multi-Family Structures",4.0,0
"Adams County",2013,"Units in 2-unit Multi-Family Structures",4.0,0
"Adams County",2014,"Units in 2-unit Multi-Family Structures",4.0,0
"Adams County",2015,"Units in 2-unit Multi-Family Structures",4.0,0
"Adams County",2016,"Units in 2-unit Multi-Family Structures",4.0,0
"Adams County",2017,"Units in 2-unit Multi-Family Structures",4.0,0
"Adams County",2018,"Units in 2-unit Multi-Family Structures",4.0,0
"Adams County",2019,"Units in 2-unit Multi-Family Structures",4.0,0
"Adams County",1999,"Units in 3- and 4-unit Multi-Family Structures",5.0,4.0
"Adams County",2000,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Adams County",2001,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Adams County",2002,"Units in 3- and 4-unit Multi-Family Structures",5.0,8.0
"Adams County",2003,"Units in 3- and 4-unit Multi-Family Structures",5.0,4.0
"Adams County",2004,"Units in 3- and 4-unit Multi-Family Structures",5.0,4.0
"Adams County",2005,"Units in 3- and 4-unit Multi-Family Structures",5.0,4.0
"Adams County",2006,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Adams County",2007,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
