"Location","Year","Series","Series Code","Permits"
"Bristol County",1999,"Total Units",1.0,215.0
"Bristol County",2000,"Total Units",1.0,85.0
"Bristol County",2001,"Total Units",1.0,93.0
"Bristol County",2002,"Total Units",1.0,125.0
"Bristol County",2003,"Total Units",1.0,120.0
"Bristol County",2004,"Total Units",1.0,91.0
"Bristol County",2005,"Total Units",1.0,109.0
"Bristol County",2006,"Total Units",1.0,88.0
"Bristol County",2007,"Total Units",1.0,51.0
"Bristol County",2008,"Total Units",1.0,113.0
"Bristol County",2009,"Total Units",1.0,29.0
"Bristol County",2010,"Total Units",1.0,40.0
"Bristol County",2011,"Total Units",1.0,22.0
"Bristol County",2012,"Total Units",1.0,27.0
"Bristol County",2013,"Total Units",1.0,49.0
"Bristol County",2014,"Total Units",1.0,30.0
"Bristol County",2015,"Total Units",1.0,43.0
"Bristol County",2016,"Total Units",1.0,47.0
"Bristol County",2017,"Total Units",1.0,42.0
"Bristol County",2018,"Total Units",1.0,189.0
"Bristol County",2019,"Total Units",1.0,47.0
"Bristol County",1999,"Units in Single-Family Structures",2.0,87.0
"Bristol County",2000,"Units in Single-Family Structures",2.0,85.0
"Bristol County",2001,"Units in Single-Family Structures",2.0,93.0
"Bristol County",2002,"Units in Single-Family Structures",2.0,115.0
"Bristol County",2003,"Units in Single-Family Structures",2.0,107.0
"Bristol County",2004,"Units in Single-Family Structures",2.0,82.0
"Bristol County",2005,"Units in Single-Family Structures",2.0,60.0
"Bristol County",2006,"Units in Single-Family Structures",2.0,55.0
"Bristol County",2007,"Units in Single-Family Structures",2.0,41.0
"Bristol County",2008,"Units in Single-Family Structures",2.0,86.0
"Bristol County",2009,"Units in Single-Family Structures",2.0,23.0
"Bristol County",2010,"Units in Single-Family Structures",2.0,38.0
"Bristol County",2011,"Units in Single-Family Structures",2.0,20.0
"Bristol County",2012,"Units in Single-Family Structures",2.0,27.0
"Bristol County",2013,"Units in Single-Family Structures",2.0,45.0
"Bristol County",2014,"Units in Single-Family Structures",2.0,30.0
"Bristol County",2015,"Units in Single-Family Structures",2.0,41.0
"Bristol County",2016,"Units in Single-Family Structures",2.0,45.0
"Bristol County",2017,"Units in Single-Family Structures",2.0,40.0
"Bristol County",2018,"Units in Single-Family Structures",2.0,41.0
"Bristol County",2019,"Units in Single-Family Structures",2.0,41.0
"Bristol County",1999,"Units in All Multi-Family Structures",3.0,128.0
"Bristol County",2000,"Units in All Multi-Family Structures",3.0,0
"Bristol County",2001,"Units in All Multi-Family Structures",3.0,0
"Bristol County",2002,"Units in All Multi-Family Structures",3.0,10.0
"Bristol County",2003,"Units in All Multi-Family Structures",3.0,13.0
"Bristol County",2004,"Units in All Multi-Family Structures",3.0,9.0
"Bristol County",2005,"Units in All Multi-Family Structures",3.0,49.0
"Bristol County",2006,"Units in All Multi-Family Structures",3.0,33.0
"Bristol County",2007,"Units in All Multi-Family Structures",3.0,10.0
"Bristol County",2008,"Units in All Multi-Family Structures",3.0,27.0
"Bristol County",2009,"Units in All Multi-Family Structures",3.0,6.0
"Bristol County",2010,"Units in All Multi-Family Structures",3.0,2.0
"Bristol County",2011,"Units in All Multi-Family Structures",3.0,2.0
"Bristol County",2012,"Units in All Multi-Family Structures",3.0,0
"Bristol County",2013,"Units in All Multi-Family Structures",3.0,4.0
"Bristol County",2014,"Units in All Multi-Family Structures",3.0,0
"Bristol County",2015,"Units in All Multi-Family Structures",3.0,2.0
"Bristol County",2016,"Units in All Multi-Family Structures",3.0,2.0
"Bristol County",2017,"Units in All Multi-Family Structures",3.0,2.0
"Bristol County",2018,"Units in All Multi-Family Structures",3.0,148.0
"Bristol County",2019,"Units in All Multi-Family Structures",3.0,6.0
"Bristol County",1999,"Units in 2-unit Multi-Family Structures",4.0,2.0
"Bristol County",2000,"Units in 2-unit Multi-Family Structures",4.0,0
"Bristol County",2001,"Units in 2-unit Multi-Family Structures",4.0,0
"Bristol County",2002,"Units in 2-unit Multi-Family Structures",4.0,2.0
"Bristol County",2003,"Units in 2-unit Multi-Family Structures",4.0,0
"Bristol County",2004,"Units in 2-unit Multi-Family Structures",4.0,2.0
"Bristol County",2005,"Units in 2-unit Multi-Family Structures",4.0,0
"Bristol County",2006,"Units in 2-unit Multi-Family Structures",4.0,6.0
"Bristol County",2007,"Units in 2-unit Multi-Family Structures",4.0,10.0
"Bristol County",2008,"Units in 2-unit Multi-Family Structures",4.0,8.0
"Bristol County",2009,"Units in 2-unit Multi-Family Structures",4.0,0
"Bristol County",2010,"Units in 2-unit Multi-Family Structures",4.0,2.0
"Bristol County",2011,"Units in 2-unit Multi-Family Structures",4.0,2.0
"Bristol County",2012,"Units in 2-unit Multi-Family Structures",4.0,0
"Bristol County",2013,"Units in 2-unit Multi-Family Structures",4.0,4.0
"Bristol County",2014,"Units in 2-unit Multi-Family Structures",4.0,0
"Bristol County",2015,"Units in 2-unit Multi-Family Structures",4.0,2.0
"Bristol County",2016,"Units in 2-unit Multi-Family Structures",4.0,2.0
