"Location","Year","Series","Series Code","Permits"
"Abbeville County",1999,"Total Units",1.0,108.0
"Abbeville County",2000,"Total Units",1.0,48.0
"Abbeville County",2001,"Total Units",1.0,51.0
"Abbeville County",2002,"Total Units",1.0,56.0
"Abbeville County",2003,"Total Units",1.0,56.0
"Abbeville County",2004,"Total Units",1.0,57.0
"Abbeville County",2005,"Total Units",1.0,64.0
"Abbeville County",2006,"Total Units",1.0,61.0
"Abbeville County",2007,"Total Units",1.0,50.0
"Abbeville County",2008,"Total Units",1.0,33.0
"Abbeville County",2009,"Total Units",1.0,22.0
"Abbeville County",2010,"Total Units",1.0,19.0
"Abbeville County",2011,"Total Units",1.0,32.0
"Abbeville County",2012,"Total Units",1.0,23.0
"Abbeville County",2013,"Total Units",1.0,28.0
"Abbeville County",2014,"Total Units",1.0,41.0
"Abbeville County",2015,"Total Units",1.0,26.0
"Abbeville County",2016,"Total Units",1.0,39.0
"Abbeville County",2017,"Total Units",1.0,36.0
"Abbeville County",2018,"Total Units",1.0,38.0
"Abbeville County",2019,"Total Units",1.0,51.0
"Abbeville County",1999,"Units in Single-Family Structures",2.0,108.0
"Abbeville County",2000,"Units in Single-Family Structures",2.0,48.0
"Abbeville County",2001,"Units in Single-Family Structures",2.0,51.0
"Abbeville County",2002,"Units in Single-Family Structures",2.0,56.0
"Abbeville County",2003,"Units in Single-Family Structures",2.0,56.0
"Abbeville County",2004,"Units in Single-Family Structures",2.0,57.0
"Abbeville County",2005,"Units in Single-Family Structures",2.0,64.0
"Abbeville County",2006,"Units in Single-Family Structures",2.0,61.0
"Abbeville County",2007,"Units in Single-Family Structures",2.0,50.0
"Abbeville County",2008,"Units in Single-Family Structures",2.0,33.0
"Abbeville County",2009,"Units in Single-Family Structures",2.0,22.0
"Abbeville County",2010,"Units in Single-Family Structures",2.0,19.0
"Abbeville County",2011,"Units in Single-Family Structures",2.0,32.0
"Abbeville County",2012,"Units in Single-Family Structures",2.0,23.0
"Abbeville County",2013,"Units in Single-Family Structures",2.0,28.0
"Abbeville County",2014,"Units in Single-Family Structures",2.0,41.0
"Abbeville County",2015,"Units in Single-Family Structures",2.0,26.0
"Abbeville County",2016,"Units in Single-Family Structures",2.0,39.0
"Abbeville County",2017,"Units in Single-Family Structures",2.0,36.0
"Abbeville County",2018,"Units in Single-Family Structures",2.0,38.0
"Abbeville County",2019,"Units in Single-Family Structures",2.0,43.0
"Abbeville County",1999,"Units in All Multi-Family Structures",3.0,0
"Abbeville County",2000,"Units in All Multi-Family Structures",3.0,0
"Abbeville County",2001,"Units in All Multi-Family Structures",3.0,0
"Abbeville County",2002,"Units in All Multi-Family Structures",3.0,0
"Abbeville County",2003,"Units in All Multi-Family Structures",3.0,0
"Abbeville County",2004,"Units in All Multi-Family Structures",3.0,0
"Abbeville County",2005,"Units in All Multi-Family Structures",3.0,0
"Abbeville County",2006,"Units in All Multi-Family Structures",3.0,0
"Abbeville County",2007,"Units in All Multi-Family Structures",3.0,0
"Abbeville County",2008,"Units in All Multi-Family Structures",3.0,0
"Abbeville County",2009,"Units in All Multi-Family Structures",3.0,0
"Abbeville County",2010,"Units in All Multi-Family Structures",3.0,0
"Abbeville County",2011,"Units in All Multi-Family Structures",3.0,0
