"Location","Year","Series","Series Code","Permits"
"Anderson County",1999,"Total Units",1.0,216.0
"Anderson County",2000,"Total Units",1.0,212.0
"Anderson County",2001,"Total Units",1.0,220.0
"Anderson County",2002,"Total Units",1.0,330.0
"Anderson County",2003,"Total Units",1.0,308.0
"Anderson County",2004,"Total Units",1.0,276.0
"Anderson County",2005,"Total Units",1.0,304.0
"Anderson County",2006,"Total Units",1.0,340.0
"Anderson County",2007,"Total Units",1.0,279.0
"Anderson County",2008,"Total Units",1.0,165.0
"Anderson County",2009,"Total Units",1.0,111.0
"Anderson County",2010,"Total Units",1.0,146.0
"Anderson County",2011,"Total Units",1.0,64.0
"Anderson County",2012,"Total Units",1.0,70.0
"Anderson County",2013,"Total Units",1.0,103.0
"Anderson County",2014,"Total Units",1.0,173.0
"Anderson County",2015,"Total Units",1.0,120.0
"Anderson County",2016,"Total Units",1.0,128.0
"Anderson County",2017,"Total Units",1.0,141.0
"Anderson County",2018,"Total Units",1.0,198.0
"Anderson County",2019,"Total Units",1.0,164.0
"Anderson County",1999,"Units in Single-Family Structures",2.0,212.0
"Anderson County",2000,"Units in Single-Family Structures",2.0,208.0
"Anderson County",2001,"Units in Single-Family Structures",2.0,220.0
"Anderson County",2002,"Units in Single-Family Structures",2.0,250.0
"Anderson County",2003,"Units in Single-Family Structures",2.0,284.0
"Anderson County",2004,"Units in Single-Family Structures",2.0,254.0
"Anderson County",2005,"Units in Single-Family Structures",2.0,284.0
"Anderson County",2006,"Units in Single-Family Structures",2.0,320.0
"Anderson County",2007,"Units in Single-Family Structures",2.0,253.0
"Anderson County",2008,"Units in Single-Family Structures",2.0,147.0
"Anderson County",2009,"Units in Single-Family Structures",2.0,95.0
"Anderson County",2010,"Units in Single-Family Structures",2.0,135.0
"Anderson County",2011,"Units in Single-Family Structures",2.0,64.0
"Anderson County",2012,"Units in Single-Family Structures",2.0,70.0
"Anderson County",2013,"Units in Single-Family Structures",2.0,77.0
"Anderson County",2014,"Units in Single-Family Structures",2.0,101.0
"Anderson County",2015,"Units in Single-Family Structures",2.0,120.0
"Anderson County",2016,"Units in Single-Family Structures",2.0,124.0
"Anderson County",2017,"Units in Single-Family Structures",2.0,141.0
"Anderson County",2018,"Units in Single-Family Structures",2.0,196.0
"Anderson County",2019,"Units in Single-Family Structures",2.0,164.0
"Anderson County",1999,"Units in All Multi-Family Structures",3.0,4.0
"Anderson County",2000,"Units in All Multi-Family Structures",3.0,4.0
"Anderson County",2001,"Units in All Multi-Family Structures",3.0,0
"Anderson County",2002,"Units in All Multi-Family Structures",3.0,80.0
"Anderson County",2003,"Units in All Multi-Family Structures",3.0,24.0
"Anderson County",2004,"Units in All Multi-Family Structures",3.0,22.0
"Anderson County",2005,"Units in All Multi-Family Structures",3.0,20.0
"Anderson County",2006,"Units in All Multi-Family Structures",3.0,20.0
"Anderson County",2007,"Units in All Multi-Family Structures",3.0,26.0
"Anderson County",2008,"Units in All Multi-Family Structures",3.0,18.0
"Anderson County",2009,"Units in All Multi-Family Structures",3.0,16.0
"Anderson County",2010,"Units in All Multi-Family Structures",3.0,11.0
"Anderson County",2011,"Units in All Multi-Family Structures",3.0,0
"Anderson County",2012,"Units in All Multi-Family Structures",3.0,0
"Anderson County",2013,"Units in All Multi-Family Structures",3.0,26.0
"Anderson County",2014,"Units in All Multi-Family Structures",3.0,72.0
"Anderson County",2015,"Units in All Multi-Family Structures",3.0,0
"Anderson County",2016,"Units in All Multi-Family Structures",3.0,4.0
"Anderson County",2017,"Units in All Multi-Family Structures",3.0,0
"Anderson County",2018,"Units in All Multi-Family Structures",3.0,2.0
"Anderson County",2019,"Units in All Multi-Family Structures",3.0,0
"Anderson County",1999,"Units in 2-unit Multi-Family Structures",4.0,0
"Anderson County",2000,"Units in 2-unit Multi-Family Structures",4.0,4.0
"Anderson County",2001,"Units in 2-unit Multi-Family Structures",4.0,0
"Anderson County",2002,"Units in 2-unit Multi-Family Structures",4.0,0
"Anderson County",2003,"Units in 2-unit Multi-Family Structures",4.0,0
"Anderson County",2004,"Units in 2-unit Multi-Family Structures",4.0,0
"Anderson County",2005,"Units in 2-unit Multi-Family Structures",4.0,0
"Anderson County",2006,"Units in 2-unit Multi-Family Structures",4.0,0
"Anderson County",2007,"Units in 2-unit Multi-Family Structures",4.0,4.0
"Anderson County",2008,"Units in 2-unit Multi-Family Structures",4.0,0
"Anderson County",2009,"Units in 2-unit Multi-Family Structures",4.0,0
"Anderson County",2010,"Units in 2-unit Multi-Family Structures",4.0,0
"Anderson County",2011,"Units in 2-unit Multi-Family Structures",4.0,0
"Anderson County",2012,"Units in 2-unit Multi-Family Structures",4.0,0
"Anderson County",2013,"Units in 2-unit Multi-Family Structures",4.0,0
"Anderson County",2014,"Units in 2-unit Multi-Family Structures",4.0,0
"Anderson County",2015,"Units in 2-unit Multi-Family Structures",4.0,0
"Anderson County",2016,"Units in 2-unit Multi-Family Structures",4.0,0
"Anderson County",2017,"Units in 2-unit Multi-Family Structures",4.0,0
"Anderson County",2018,"Units in 2-unit Multi-Family Structures",4.0,2.0
"Anderson County",2019,"Units in 2-unit Multi-Family Structures",4.0,0
"Anderson County",1999,"Units in 3- and 4-unit Multi-Family Structures",5.0,4.0
"Anderson County",2000,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Anderson County",2001,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Anderson County",2002,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Anderson County",2003,"Units in 3- and 4-unit Multi-Family Structures",5.0,3.0
"Anderson County",2004,"Units in 3- and 4-unit Multi-Family Structures",5.0,6.0
"Anderson County",2005,"Units in 3- and 4-unit Multi-Family Structures",5.0,6.0
"Anderson County",2006,"Units in 3- and 4-unit Multi-Family Structures",5.0,8.0
"Anderson County",2007,"Units in 3- and 4-unit Multi-Family Structures",5.0,8.0
"Anderson County",2008,"Units in 3- and 4-unit Multi-Family Structures",5.0,8.0
"Anderson County",2009,"Units in 3- and 4-unit Multi-Family Structures",5.0,11.0
"Anderson County",2010,"Units in 3- and 4-unit Multi-Family Structures",5.0,3.0
"Anderson County",2011,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Anderson County",2012,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Anderson County",2013,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Anderson County",2014,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Anderson County",2015,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Anderson County",2016,"Units in 3- and 4-unit Multi-Family Structures",5.0,4.0
"Anderson County",2017,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Anderson County",2018,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Anderson County",2019,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Anderson County",1999,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Anderson County",2000,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Anderson County",2001,"Units in 5+ Unit Multi-Family Structures",6.0,0
"Anderson County",2002,"Units in 5+ Unit Multi-Family Structures",6.0,80.0
"Anderson County",2003,"Units in 5+ Unit Multi-Family Structures",6.0,21.0
"Anderson County",2004,"Units in 5+ Unit Multi-Family Structures",6.0,16.0
"Anderson County",2005,"Units in 5+ Unit Multi-Family Structures",6.0,14.0
"Anderson County",2006,"Units in 5+ Unit Multi-Family Structures",6.0,12.0
