"Location","Year","Series","Series Code","Permits"
"Beaver County",1999,"Total Units",1.0,58.0
"Beaver County",2000,"Total Units",1.0,37.0
"Beaver County",2001,"Total Units",1.0,23.0
"Beaver County",2002,"Total Units",1.0,23.0
"Beaver County",2003,"Total Units",1.0,38.0
"Beaver County",2004,"Total Units",1.0,20.0
"Beaver County",2005,"Total Units",1.0,36.0
"Beaver County",2006,"Total Units",1.0,53.0
"Beaver County",2007,"Total Units",1.0,41.0
"Beaver County",2008,"Total Units",1.0,27.0
"Beaver County",2009,"Total Units",1.0,28.0
"Beaver County",2010,"Total Units",1.0,19.0
"Beaver County",2011,"Total Units",1.0,13.0
"Beaver County",2012,"Total Units",1.0,6.0
"Beaver County",2013,"Total Units",1.0,10.0
"Beaver County",2014,"Total Units",1.0,16.0
"Beaver County",2015,"Total Units",1.0,23.0
"Beaver County",2016,"Total Units",1.0,19.0
"Beaver County",2017,"Total Units",1.0,31.0
"Beaver County",2018,"Total Units",1.0,15.0
"Beaver County",2019,"Total Units",1.0,18.0
"Beaver County",1999,"Units in Single-Family Structures",2.0,56.0
"Beaver County",2000,"Units in Single-Family Structures",2.0,37.0
"Beaver County",2001,"Units in Single-Family Structures",2.0,23.0
"Beaver County",2002,"Units in Single-Family Structures",2.0,23.0
"Beaver County",2003,"Units in Single-Family Structures",2.0,36.0
"Beaver County",2004,"Units in Single-Family Structures",2.0,20.0
"Beaver County",2005,"Units in Single-Family Structures",2.0,36.0
"Beaver County",2006,"Units in Single-Family Structures",2.0,53.0
"Beaver County",2007,"Units in Single-Family Structures",2.0,33.0
"Beaver County",2008,"Units in Single-Family Structures",2.0,27.0
"Beaver County",2009,"Units in Single-Family Structures",2.0,22.0
"Beaver County",2010,"Units in Single-Family Structures",2.0,19.0
"Beaver County",2011,"Units in Single-Family Structures",2.0,13.0
"Beaver County",2012,"Units in Single-Family Structures",2.0,6.0
"Beaver County",2013,"Units in Single-Family Structures",2.0,10.0
"Beaver County",2014,"Units in Single-Family Structures",2.0,16.0
"Beaver County",2015,"Units in Single-Family Structures",2.0,23.0
"Beaver County",2016,"Units in Single-Family Structures",2.0,19.0
"Beaver County",2017,"Units in Single-Family Structures",2.0,31.0
"Beaver County",2018,"Units in Single-Family Structures",2.0,13.0
"Beaver County",2019,"Units in Single-Family Structures",2.0,18.0
"Beaver County",1999,"Units in All Multi-Family Structures",3.0,2.0
"Beaver County",2000,"Units in All Multi-Family Structures",3.0,0
"Beaver County",2001,"Units in All Multi-Family Structures",3.0,0
"Beaver County",2002,"Units in All Multi-Family Structures",3.0,0
"Beaver County",2003,"Units in All Multi-Family Structures",3.0,2.0
"Beaver County",2004,"Units in All Multi-Family Structures",3.0,0
"Beaver County",2005,"Units in All Multi-Family Structures",3.0,0
"Beaver County",2006,"Units in All Multi-Family Structures",3.0,0
"Beaver County",2007,"Units in All Multi-Family Structures",3.0,8.0
"Beaver County",2008,"Units in All Multi-Family Structures",3.0,0
"Beaver County",2009,"Units in All Multi-Family Structures",3.0,6.0
"Beaver County",2010,"Units in All Multi-Family Structures",3.0,0
"Beaver County",2011,"Units in All Multi-Family Structures",3.0,0
"Beaver County",2012,"Units in All Multi-Family Structures",3.0,0
"Beaver County",2013,"Units in All Multi-Family Structures",3.0,0
"Beaver County",2014,"Units in All Multi-Family Structures",3.0,0
"Beaver County",2015,"Units in All Multi-Family Structures",3.0,0
"Beaver County",2016,"Units in All Multi-Family Structures",3.0,0
"Beaver County",2017,"Units in All Multi-Family Structures",3.0,0
"Beaver County",2018,"Units in All Multi-Family Structures",3.0,2.0
"Beaver County",2019,"Units in All Multi-Family Structures",3.0,0
"Beaver County",1999,"Units in 2-unit Multi-Family Structures",4.0,2.0
"Beaver County",2000,"Units in 2-unit Multi-Family Structures",4.0,0
"Beaver County",2001,"Units in 2-unit Multi-Family Structures",4.0,0
"Beaver County",2002,"Units in 2-unit Multi-Family Structures",4.0,0
"Beaver County",2003,"Units in 2-unit Multi-Family Structures",4.0,2.0
"Beaver County",2004,"Units in 2-unit Multi-Family Structures",4.0,0
"Beaver County",2005,"Units in 2-unit Multi-Family Structures",4.0,0
"Beaver County",2006,"Units in 2-unit Multi-Family Structures",4.0,0
"Beaver County",2007,"Units in 2-unit Multi-Family Structures",4.0,8.0
"Beaver County",2008,"Units in 2-unit Multi-Family Structures",4.0,0
"Beaver County",2009,"Units in 2-unit Multi-Family Structures",4.0,6.0
"Beaver County",2010,"Units in 2-unit Multi-Family Structures",4.0,0
"Beaver County",2011,"Units in 2-unit Multi-Family Structures",4.0,0
"Beaver County",2012,"Units in 2-unit Multi-Family Structures",4.0,0
"Beaver County",2013,"Units in 2-unit Multi-Family Structures",4.0,0
"Beaver County",2014,"Units in 2-unit Multi-Family Structures",4.0,0
"Beaver County",2015,"Units in 2-unit Multi-Family Structures",4.0,0
"Beaver County",2016,"Units in 2-unit Multi-Family Structures",4.0,0
