"Location","Year","Series","Series Code","Permits"
"Accomack County",1999,"Total Units",1.0,153.0
"Accomack County",2000,"Total Units",1.0,132.0
"Accomack County",2001,"Total Units",1.0,196.0
"Accomack County",2002,"Total Units",1.0,172.0
"Accomack County",2003,"Total Units",1.0,275.0
"Accomack County",2004,"Total Units",1.0,251.0
"Accomack County",2005,"Total Units",1.0,424.0
"Accomack County",2006,"Total Units",1.0,290.0
"Accomack County",2007,"Total Units",1.0,223.0
"Accomack County",2008,"Total Units",1.0,150.0
"Accomack County",2009,"Total Units",1.0,90.0
"Accomack County",2010,"Total Units",1.0,89.0
"Accomack County",2011,"Total Units",1.0,67.0
"Accomack County",2012,"Total Units",1.0,101.0
"Accomack County",2013,"Total Units",1.0,88.0
"Accomack County",2014,"Total Units",1.0,67.0
"Accomack County",2015,"Total Units",1.0,43.0
"Accomack County",2016,"Total Units",1.0,54.0
"Accomack County",2017,"Total Units",1.0,57.0
"Accomack County",2018,"Total Units",1.0,92.0
"Accomack County",2019,"Total Units",1.0,81.0
"Accomack County",1999,"Units in Single-Family Structures",2.0,133.0
"Accomack County",2000,"Units in Single-Family Structures",2.0,119.0
"Accomack County",2001,"Units in Single-Family Structures",2.0,174.0
"Accomack County",2002,"Units in Single-Family Structures",2.0,166.0
"Accomack County",2003,"Units in Single-Family Structures",2.0,257.0
"Accomack County",2004,"Units in Single-Family Structures",2.0,239.0
"Accomack County",2005,"Units in Single-Family Structures",2.0,322.0
"Accomack County",2006,"Units in Single-Family Structures",2.0,223.0
"Accomack County",2007,"Units in Single-Family Structures",2.0,176.0
"Accomack County",2008,"Units in Single-Family Structures",2.0,150.0
"Accomack County",2009,"Units in Single-Family Structures",2.0,90.0
"Accomack County",2010,"Units in Single-Family Structures",2.0,89.0
"Accomack County",2011,"Units in Single-Family Structures",2.0,67.0
"Accomack County",2012,"Units in Single-Family Structures",2.0,101.0
"Accomack County",2013,"Units in Single-Family Structures",2.0,88.0
"Accomack County",2014,"Units in Single-Family Structures",2.0,67.0
"Accomack County",2015,"Units in Single-Family Structures",2.0,43.0
"Accomack County",2016,"Units in Single-Family Structures",2.0,54.0
"Accomack County",2017,"Units in Single-Family Structures",2.0,52.0
"Accomack County",2018,"Units in Single-Family Structures",2.0,88.0
"Accomack County",2019,"Units in Single-Family Structures",2.0,81.0
"Accomack County",1999,"Units in All Multi-Family Structures",3.0,20.0
"Accomack County",2000,"Units in All Multi-Family Structures",3.0,13.0
"Accomack County",2001,"Units in All Multi-Family Structures",3.0,22.0
"Accomack County",2002,"Units in All Multi-Family Structures",3.0,6.0
"Accomack County",2003,"Units in All Multi-Family Structures",3.0,18.0
"Accomack County",2004,"Units in All Multi-Family Structures",3.0,12.0
"Accomack County",2005,"Units in All Multi-Family Structures",3.0,102.0
"Accomack County",2006,"Units in All Multi-Family Structures",3.0,67.0
"Accomack County",2007,"Units in All Multi-Family Structures",3.0,47.0
"Accomack County",2008,"Units in All Multi-Family Structures",3.0,0
"Accomack County",2009,"Units in All Multi-Family Structures",3.0,0
"Accomack County",2010,"Units in All Multi-Family Structures",3.0,0
"Accomack County",2011,"Units in All Multi-Family Structures",3.0,0
"Accomack County",2012,"Units in All Multi-Family Structures",3.0,0
"Accomack County",2013,"Units in All Multi-Family Structures",3.0,0
"Accomack County",2014,"Units in All Multi-Family Structures",3.0,0
"Accomack County",2015,"Units in All Multi-Family Structures",3.0,0
"Accomack County",2016,"Units in All Multi-Family Structures",3.0,0
"Accomack County",2017,"Units in All Multi-Family Structures",3.0,5.0
"Accomack County",2018,"Units in All Multi-Family Structures",3.0,4.0
"Accomack County",2019,"Units in All Multi-Family Structures",3.0,0
"Accomack County",1999,"Units in 2-unit Multi-Family Structures",4.0,8.0
"Accomack County",2000,"Units in 2-unit Multi-Family Structures",4.0,6.0
"Accomack County",2001,"Units in 2-unit Multi-Family Structures",4.0,14.0
"Accomack County",2002,"Units in 2-unit Multi-Family Structures",4.0,6.0
"Accomack County",2003,"Units in 2-unit Multi-Family Structures",4.0,12.0
"Accomack County",2004,"Units in 2-unit Multi-Family Structures",4.0,8.0
"Accomack County",2005,"Units in 2-unit Multi-Family Structures",4.0,12.0
"Accomack County",2006,"Units in 2-unit Multi-Family Structures",4.0,2.0
"Accomack County",2007,"Units in 2-unit Multi-Family Structures",4.0,0
"Accomack County",2008,"Units in 2-unit Multi-Family Structures",4.0,0
"Accomack County",2009,"Units in 2-unit Multi-Family Structures",4.0,0
"Accomack County",2010,"Units in 2-unit Multi-Family Structures",4.0,0
"Accomack County",2011,"Units in 2-unit Multi-Family Structures",4.0,0
"Accomack County",2012,"Units in 2-unit Multi-Family Structures",4.0,0
"Accomack County",2013,"Units in 2-unit Multi-Family Structures",4.0,0
"Accomack County",2014,"Units in 2-unit Multi-Family Structures",4.0,0
"Accomack County",2015,"Units in 2-unit Multi-Family Structures",4.0,0
"Accomack County",2016,"Units in 2-unit Multi-Family Structures",4.0,0
"Accomack County",2017,"Units in 2-unit Multi-Family Structures",4.0,0
"Accomack County",2018,"Units in 2-unit Multi-Family Structures",4.0,4.0
"Accomack County",2019,"Units in 2-unit Multi-Family Structures",4.0,0
"Accomack County",1999,"Units in 3- and 4-unit Multi-Family Structures",5.0,12.0
"Accomack County",2000,"Units in 3- and 4-unit Multi-Family Structures",5.0,7.0
"Accomack County",2001,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Accomack County",2002,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Accomack County",2003,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Accomack County",2004,"Units in 3- and 4-unit Multi-Family Structures",5.0,4.0
"Accomack County",2005,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Accomack County",2006,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Accomack County",2007,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Accomack County",2008,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Accomack County",2009,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Accomack County",2010,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
"Accomack County",2011,"Units in 3- and 4-unit Multi-Family Structures",5.0,0
