"Location","Year","Series","Series Code","Permits"
"Addison County",1999,"Total Units",1.0,182.0
"Addison County",2000,"Total Units",1.0,185.0
"Addison County",2001,"Total Units",1.0,168.0
"Addison County",2002,"Total Units",1.0,189.0
"Addison County",2003,"Total Units",1.0,171.0
"Addison County",2004,"Total Units",1.0,187.0
"Addison County",2005,"Total Units",1.0,192.0
"Addison County",2006,"Total Units",1.0,229.0
"Addison County",2007,"Total Units",1.0,167.0
"Addison County",2008,"Total Units",1.0,82.0
"Addison County",2009,"Total Units",1.0,93.0
"Addison County",2010,"Total Units",1.0,84.0
"Addison County",2011,"Total Units",1.0,76.0
"Addison County",2012,"Total Units",1.0,89.0
"Addison County",2013,"Total Units",1.0,93.0
"Addison County",2014,"Total Units",1.0,101.0
"Addison County",2015,"Total Units",1.0,163.0
"Addison County",2016,"Total Units",1.0,122.0
"Addison County",2017,"Total Units",1.0,176.0
"Addison County",2018,"Total Units",1.0,89.0
"Addison County",2019,"Total Units",1.0,98.0
"Addison County",1999,"Units in Single-Family Structures",2.0,180.0
"Addison County",2000,"Units in Single-Family Structures",2.0,183.0
"Addison County",2001,"Units in Single-Family Structures",2.0,166.0
"Addison County",2002,"Units in Single-Family Structures",2.0,181.0
"Addison County",2003,"Units in Single-Family Structures",2.0,161.0
"Addison County",2004,"Units in Single-Family Structures",2.0,187.0
"Addison County",2005,"Units in Single-Family Structures",2.0,158.0
"Addison County",2006,"Units in Single-Family Structures",2.0,169.0
"Addison County",2007,"Units in Single-Family Structures",2.0,135.0
"Addison County",2008,"Units in Single-Family Structures",2.0,66.0
"Addison County",2009,"Units in Single-Family Structures",2.0,66.0
"Addison County",2010,"Units in Single-Family Structures",2.0,80.0
"Addison County",2011,"Units in Single-Family Structures",2.0,61.0
"Addison County",2012,"Units in Single-Family Structures",2.0,85.0
"Addison County",2013,"Units in Single-Family Structures",2.0,82.0
"Addison County",2014,"Units in Single-Family Structures",2.0,87.0
"Addison County",2015,"Units in Single-Family Structures",2.0,80.0
"Addison County",2016,"Units in Single-Family Structures",2.0,102.0
"Addison County",2017,"Units in Single-Family Structures",2.0,88.0
"Addison County",2018,"Units in Single-Family Structures",2.0,77.0
"Addison County",2019,"Units in Single-Family Structures",2.0,94.0
"Addison County",1999,"Units in All Multi-Family Structures",3.0,2.0
"Addison County",2000,"Units in All Multi-Family Structures",3.0,2.0
"Addison County",2001,"Units in All Multi-Family Structures",3.0,2.0
"Addison County",2002,"Units in All Multi-Family Structures",3.0,8.0
"Addison County",2003,"Units in All Multi-Family Structures",3.0,10.0
"Addison County",2004,"Units in All Multi-Family Structures",3.0,0
"Addison County",2005,"Units in All Multi-Family Structures",3.0,34.0
"Addison County",2006,"Units in All Multi-Family Structures",3.0,60.0
"Addison County",2007,"Units in All Multi-Family Structures",3.0,32.0
"Addison County",2008,"Units in All Multi-Family Structures",3.0,16.0
"Addison County",2009,"Units in All Multi-Family Structures",3.0,27.0
"Addison County",2010,"Units in All Multi-Family Structures",3.0,4.0
"Addison County",2011,"Units in All Multi-Family Structures",3.0,15.0
"Addison County",2012,"Units in All Multi-Family Structures",3.0,4.0
"Addison County",2013,"Units in All Multi-Family Structures",3.0,11.0
"Addison County",2014,"Units in All Multi-Family Structures",3.0,14.0
"Addison County",2015,"Units in All Multi-Family Structures",3.0,83.0
"Addison County",2016,"Units in All Multi-Family Structures",3.0,20.0
"Addison County",2017,"Units in All Multi-Family Structures",3.0,88.0
"Addison County",2018,"Units in All Multi-Family Structures",3.0,12.0
"Addison County",2019,"Units in All Multi-Family Structures",3.0,4.0
"Addison County",1999,"Units in 2-unit Multi-Family Structures",4.0,2.0
"Addison County",2000,"Units in 2-unit Multi-Family Structures",4.0,2.0
"Addison County",2001,"Units in 2-unit Multi-Family Structures",4.0,2.0
