"Location","Year","Series","Series Code","Permits"
"Adams County",1999,"Total Units",1.0,206.0
"Adams County",2000,"Total Units",1.0,244.0
"Adams County",2001,"Total Units",1.0,213.0
"Adams County",2002,"Total Units",1.0,322.0
"Adams County",2003,"Total Units",1.0,318.0
"Adams County",2004,"Total Units",1.0,361.0
"Adams County",2005,"Total Units",1.0,423.0
"Adams County",2006,"Total Units",1.0,265.0
"Adams County",2007,"Total Units",1.0,224.0
"Adams County",2008,"Total Units",1.0,87.0
"Adams County",2009,"Total Units",1.0,76.0
"Adams County",2010,"Total Units",1.0,62.0
"Adams County",2011,"Total Units",1.0,50.0
"Adams County",2012,"Total Units",1.0,49.0
"Adams County",2013,"Total Units",1.0,53.0
"Adams County",2014,"Total Units",1.0,61.0
"Adams County",2015,"Total Units",1.0,60.0
"Adams County",2016,"Total Units",1.0,61.0
"Adams County",2017,"Total Units",1.0,84.0
"Adams County",2018,"Total Units",1.0,81.0
"Adams County",2019,"Total Units",1.0,87.0
"Adams County",1999,"Units in Single-Family Structures",2.0,202.0
"Adams County",2000,"Units in Single-Family Structures",2.0,236.0
"Adams County",2001,"Units in Single-Family Structures",2.0,195.0
"Adams County",2002,"Units in Single-Family Structures",2.0,318.0
"Adams County",2003,"Units in Single-Family Structures",2.0,312.0
"Adams County",2004,"Units in Single-Family Structures",2.0,356.0
"Adams County",2005,"Units in Single-Family Structures",2.0,390.0
"Adams County",2006,"Units in Single-Family Structures",2.0,261.0
"Adams County",2007,"Units in Single-Family Structures",2.0,202.0
"Adams County",2008,"Units in Single-Family Structures",2.0,87.0
"Adams County",2009,"Units in Single-Family Structures",2.0,76.0
"Adams County",2010,"Units in Single-Family Structures",2.0,62.0
"Adams County",2011,"Units in Single-Family Structures",2.0,50.0
"Adams County",2012,"Units in Single-Family Structures",2.0,49.0
"Adams County",2013,"Units in Single-Family Structures",2.0,53.0
"Adams County",2014,"Units in Single-Family Structures",2.0,61.0
"Adams County",2015,"Units in Single-Family Structures",2.0,60.0
"Adams County",2016,"Units in Single-Family Structures",2.0,61.0
"Adams County",2017,"Units in Single-Family Structures",2.0,82.0
"Adams County",2018,"Units in Single-Family Structures",2.0,79.0
"Adams County",2019,"Units in Single-Family Structures",2.0,85.0
"Adams County",1999,"Units in All Multi-Family Structures",3.0,4.0
"Adams County",2000,"Units in All Multi-Family Structures",3.0,8.0
"Adams County",2001,"Units in All Multi-Family Structures",3.0,18.0
"Adams County",2002,"Units in All Multi-Family Structures",3.0,4.0
"Adams County",2003,"Units in All Multi-Family Structures",3.0,6.0
"Adams County",2004,"Units in All Multi-Family Structures",3.0,5.0
"Adams County",2005,"Units in All Multi-Family Structures",3.0,33.0
"Adams County",2006,"Units in All Multi-Family Structures",3.0,4.0
"Adams County",2007,"Units in All Multi-Family Structures",3.0,22.0
"Adams County",2008,"Units in All Multi-Family Structures",3.0,0
"Adams County",2009,"Units in All Multi-Family Structures",3.0,0
"Adams County",2010,"Units in All Multi-Family Structures",3.0,0
"Adams County",2011,"Units in All Multi-Family Structures",3.0,0
"Adams County",2012,"Units in All Multi-Family Structures",3.0,0
"Adams County",2013,"Units in All Multi-Family Structures",3.0,0
"Adams County",2014,"Units in All Multi-Family Structures",3.0,0
"Adams County",2015,"Units in All Multi-Family Structures",3.0,0
"Adams County",2016,"Units in All Multi-Family Structures",3.0,0
"Adams County",2017,"Units in All Multi-Family Structures",3.0,2.0
"Adams County",2018,"Units in All Multi-Family Structures",3.0,2.0
"Adams County",2019,"Units in All Multi-Family Structures",3.0,2.0
"Adams County",1999,"Units in 2-unit Multi-Family Structures",4.0,0
"Adams County",2000,"Units in 2-unit Multi-Family Structures",4.0,0
"Adams County",2001,"Units in 2-unit Multi-Family Structures",4.0,0
"Adams County",2002,"Units in 2-unit Multi-Family Structures",4.0,0
"Adams County",2003,"Units in 2-unit Multi-Family Structures",4.0,2.0
"Adams County",2004,"Units in 2-unit Multi-Family Structures",4.0,2.0
"Adams County",2005,"Units in 2-unit Multi-Family Structures",4.0,4.0
"Adams County",2006,"Units in 2-unit Multi-Family Structures",4.0,4.0
"Adams County",2007,"Units in 2-unit Multi-Family Structures",4.0,0
"Adams County",2008,"Units in 2-unit Multi-Family Structures",4.0,0
"Adams County",2009,"Units in 2-unit Multi-Family Structures",4.0,0
"Adams County",2010,"Units in 2-unit Multi-Family Structures",4.0,0
"Adams County",2011,"Units in 2-unit Multi-Family Structures",4.0,0
"Adams County",2012,"Units in 2-unit Multi-Family Structures",4.0,0
