"Location","Year","Series","Series Code","Permits"
"Albany County",1999,"Total Units",1.0,205.0
"Albany County",2000,"Total Units",1.0,107.0
"Albany County",2001,"Total Units",1.0,283.0
"Albany County",2002,"Total Units",1.0,163.0
"Albany County",2003,"Total Units",1.0,271.0
"Albany County",2004,"Total Units",1.0,410.0
"Albany County",2005,"Total Units",1.0,594.0
"Albany County",2006,"Total Units",1.0,329.0
"Albany County",2007,"Total Units",1.0,264.0
"Albany County",2008,"Total Units",1.0,172.0
"Albany County",2009,"Total Units",1.0,132.0
"Albany County",2010,"Total Units",1.0,172.0
"Albany County",2011,"Total Units",1.0,463.0
"Albany County",2012,"Total Units",1.0,190.0
"Albany County",2013,"Total Units",1.0,139.0
"Albany County",2014,"Total Units",1.0,99.0
"Albany County",2015,"Total Units",1.0,142.0
"Albany County",2016,"Total Units",1.0,151.0
"Albany County",2017,"Total Units",1.0,125.0
"Albany County",2018,"Total Units",1.0,146.0
"Albany County",2019,"Total Units",1.0,135.0
"Albany County",1999,"Units in Single-Family Structures",2.0,101.0
"Albany County",2000,"Units in Single-Family Structures",2.0,105.0
"Albany County",2001,"Units in Single-Family Structures",2.0,135.0
"Albany County",2002,"Units in Single-Family Structures",2.0,153.0
"Albany County",2003,"Units in Single-Family Structures",2.0,193.0
"Albany County",2004,"Units in Single-Family Structures",2.0,210.0
"Albany County",2005,"Units in Single-Family Structures",2.0,192.0
"Albany County",2006,"Units in Single-Family Structures",2.0,156.0
"Albany County",2007,"Units in Single-Family Structures",2.0,192.0
"Albany County",2008,"Units in Single-Family Structures",2.0,142.0
"Albany County",2009,"Units in Single-Family Structures",2.0,103.0
"Albany County",2010,"Units in Single-Family Structures",2.0,140.0
"Albany County",2011,"Units in Single-Family Structures",2.0,145.0
"Albany County",2012,"Units in Single-Family Structures",2.0,103.0
"Albany County",2013,"Units in Single-Family Structures",2.0,125.0
"Albany County",2014,"Units in Single-Family Structures",2.0,99.0
"Albany County",2015,"Units in Single-Family Structures",2.0,122.0
"Albany County",2016,"Units in Single-Family Structures",2.0,123.0
