c_name,map,state,1950,1960,1970,1980,1990,2000,2010,2015
Autauga,"Autauga County, Alabama",Alabama,18186,18739,24460,32259,34222,43411,54116,55221
Baldwin,"Baldwin County, Alabama",Alabama,40997,49088,59382,78556,98280,138141,179958,195121
Barbour,"Barbour County, Alabama",Alabama,28892,24700,22543,24756,25417,26320,24264,26932
Bibb,"Bibb County, Alabama",Alabama,17987,14357,13812,15723,16576,19587,20691,22604
Blount,"Blount County, Alabama",Alabama,28975,25449,26853,36459,39248,50414,56833,57710
Bullock,"Bullock County, Alabama",Alabama,16054,13462,11824,10596,11042,10203,9224,10678
Butler,"Butler County, Alabama",Alabama,29228,24560,22007,21680,21892,21134,20614,20354
Calhoun,"Calhoun County, Alabama",Alabama,79539,95878,103092,119761,116034,109821,115653,116648
Chambers,"Chambers County, Alabama",Alabama,39528,37828,36356,39191,36876,36065,33757,34079
Cherokee,"Cherokee County, Alabama",Alabama,17634,16303,15606,18760,19543,23628,25699,26008
Chilton,"Chilton County, Alabama",Alabama,26922,25693,25180,30612,32458,39242,43250,43819
Choctaw,"Choctaw County, Alabama",Alabama,19152,17870,16589,16839,16018,15789,13730,13395
Clarke,"Clarke County, Alabama",Alabama,26548,25738,26724,27702,27240,27480,25553,25070
Clay,"Clay County, Alabama",Alabama,13929,12400,12636,13703,13252,13988,13677,13537
Cleburne,"Cleburne County, Alabama",Alabama,11904,10911,10996,12595,12730,14010,14794,15002
Coffee,"Coffee County, Alabama",Alabama,30720,30583,34872,38533,40240,42835,49348,50884
Colbert,"Colbert County, Alabama",Alabama,39561,46506,49632,54519,51666,54392,53954,54444
Conecuh,"Conecuh County, Alabama",Alabama,21776,17762,15645,15884,14054,14010,13183,12865
Coosa,"Coosa County, Alabama",Alabama,11766,10726,10662,11377,11063,11810,11415,11027
Covington,"Covington County, Alabama",Alabama,40373,35631,34079,36850,36478,37108,37190,37886
Crenshaw,"Crenshaw County, Alabama",Alabama,18981,14909,13188,14110,13635,13505,13774,13938
Cullman,"Cullman County, Alabama",Alabama,49046,45572,52445,61642,67613,76485,79350,80965
Dale,"Dale County, Alabama",Alabama,20828,31066,52938,47821,49633,47464,49334,49866
Dallas,"Dallas County, Alabama",Alabama,56270,56667,55296,53981,48130,45826,43034,42154
DeKalb,"DeKalb County, Alabama",Alabama,45048,41417,41981,53658,54651,63588,70327,71068
Elmore,"Elmore County, Alabama",Alabama,31649,30524,33535,43390,49210,60533,73820,80763
Escambia,"Escambia County, Alabama",Alabama,31443,33511,34906,38440,35518,35435,35120,37935
Etowah,"Etowah County, Alabama",Alabama,93892,96980,94144,103057,99840,101416,102345,103766
Fayette,"Fayette County, Alabama",Alabama,19388,16148,16252,18809,17962,18155,16950,16896
Franklin,"Franklin County, Alabama",Alabama,25705,21988,23933,28350,27814,30821,31432,31634
Geneva,"Geneva County, Alabama",Alabama,25899,22310,21924,24253,23647,25490,26561,26815
Greene,"Greene County, Alabama",Alabama,16482,13600,10650,11021,10153,9896,9000,8697
Hale,"Hale County, Alabama",Alabama,20832,19537,15888,15604,15498,16895,15426,15256
Henry,"Henry County, Alabama",Alabama,18674,15286,13254,15302,15374,16131,17103,17252
Houston,"Houston County, Alabama",Alabama,46522,50718,56574,74632,81331,87639,100131,103534
Jackson,"Jackson County, Alabama",Alabama,38998,36681,39202,51407,47796,53347,52630,52860
Jefferson,"Jefferson County, Alabama",Alabama,558928,634864,644991,671324,651525,645934,642692,659026
Lamar,"Lamar County, Alabama",Alabama,16441,14271,14335,16453,15715,15705,14347,14133
Lauderdale,"Lauderdale County, Alabama",Alabama,54179,61622,68111,80546,79661,86259,90818,92737
Lawrence,"Lawrence County, Alabama",Alabama,27128,24501,27281,30170,31513,34572,34110,33586
Lee,"Lee County, Alabama",Alabama,45073,49754,61268,76283,87146,110625,135837,150982
Limestone,"Limestone County, Alabama",Alabama,35766,36513,41699,46005,54135,63033,79875,88805
Lowndes,"Lowndes County, Alabama",Alabama,18018,15417,12897,13253,12658,13426,11203,10742
Macon,"Macon County, Alabama",Alabama,30561,26717,24841,26829,24928,21820,19680,20018
Madison,"Madison County, Alabama",Alabama,72903,117348,186540,196966,238912,269442,326769,346438
Marengo,"Marengo County, Alabama",Alabama,29494,27098,23819,25047,23084,22346,20773,20306
Marion,"Marion County, Alabama",Alabama,27264,21837,23788,30041,29830,30307,29908,30387
Marshall,"Marshall County, Alabama",Alabama,45090,48018,54211,65622,70832,81259,91972,94318
Mobile,"Mobile County, Alabama",Alabama,231105,314301,317308,364980,378643,391775,406184,414251
Monroe,"Monroe County, Alabama",Alabama,25732,22372,20883,22651,23968,24083,22838,22217
Montgomery,"Montgomery County, Alabama",Alabama,138965,169210,167790,197038,209085,211467,220281,228138
Morgan,"Morgan County, Alabama",Alabama,52924,60454,77306,90231,100043,109357,117357,119786
Perry,"Perry County, Alabama",Alabama,20439,17358,15388,15012,12759,11390,9870,10038
Pickens,"Pickens County, Alabama",Alabama,24349,21882,20326,21481,20699,20738,19412,19856
Pike,"Pike County, Alabama",Alabama,30608,25987,25038,28050,27595,28407,30936,33155
Randolph,"Randolph County, Alabama",Alabama,22513,19477,18331,20075,19881,21806,22506,22648
Russell,"Russell County, Alabama",Alabama,40364,46351,45394,47356,46860,49069,52373,58302
St. Clair,"Shelby County, Alabama",Alabama,26687,25388,27956,41205,50009,141618,192511,203530
Shelby,"St. Clair County, Alabama",Alabama,30362,32132,38037,66298,99358,62839,81626,85864
Sumter,"Sumter County, Alabama",Alabama,23610,20041,16974,16908,16174,14545,13045,13341
Talladega,"Talladega County, Alabama",Alabama,63639,65495,65280,73826,74107,76620,79148,81437
Tallapoosa,"Tallapoosa County, Alabama",Alabama,35074,35007,33840,38676,38826,40616,41040,41153
Tuscaloosa,"Tuscaloosa County, Alabama",Alabama,94092,109047,116029,137541,150522,156184,184233,200458
Walker,"Walker County, Alabama",Alabama,63769,54211,56246,68660,67670,69692,66157,65923
Washington,"Washington County, Alabama",Alabama,15612,15372,16241,16821,16694,18013,17434,16997
Wilcox,"Wilcox County, Alabama",Alabama,23476,18739,16303,14755,13568,12882,11562,11235
Winston,"Winston County, Alabama",Alabama,18250,14858,16654,21953,22053,24537,24183,24130
Aleutians East Borough,"Aleutians East Borough, Alaska",Alaska,--- ,--- ,--- ,--- ,2464,1414,1415,3304
Aleutians West Census Area,"Aleutians West Census Area, Alaska",Alaska,--- ,6011,8057,7768,9478,3198,3018,5684
Anchorage Borough,"Anchorage Municipality, Alaska",Alaska,--- ,82833,124542,174431,226338,253269,283376,299107
Bethel Census Area,"Bethel Census Area, Alaska",Alaska,--- ,5537,7579,10999,13656,15765,16675,17776
Bristol Bay Borough,"Bristol Bay Borough, Alaska",Alaska,--- ,--- ,1147,1094,1410,1258,981,970
Dillingham Census Area,"Dillingham Census Area, Alaska",Alaska,--- ,4024,3485,4616,4012,4889,4795,4979
Fairbanks North Star Borough,"Fairbanks North Star Borough, Alaska",Alaska,--- ,43412,45864,53983,77720,79760,93268,99705
Haines Borough,"Haines Borough, Alaska",Alaska,--- ,--- ,1504,1680,2117,2387,2508,2560
Juneau Borough,"Juneau City and Borough, Alaska",Alaska,--- ,9745,13556,19528,26751,30033,30388,32531
Kenai Peninsula Borough,"Kenai Peninsula Borough, Alaska",Alaska,--- ,6097,14250,25282,40802,48363,53678,57221
Ketchikan Gateway Borough,"Ketchikan Gateway Borough, Alaska",Alaska,--- ,10070,10041,11316,13828,13840,13231,13699
Kodiak Island Borough,"Kodiak Island Borough, Alaska",Alaska,--- ,7174,9409,9939,13309,13575,13256,13973
Lake and Peninsula Borough,"Lake and Peninsula Borough, Alaska",Alaska,--- ,--- ,--- ,--- ,1668,1823,1594,1474
Matanuska-Susitna Borough,"Matanuska-Susitna Borough, Alaska",Alaska,--- ,5188,6509,17816,39683,58337,87625,96178
Nome Census Area,"Nome Census Area, Alaska",Alaska,--- ,6091,5749,6537,8288,8973,9273,9854
North Slope Borough,"North Slope Borough, Alaska",Alaska,--- ,2133,2663,4199,5979,7282,6778,9667
Northwest Arctic Borough,"Northwest Arctic Borough, Alaska",Alaska,--- ,3560,4434,4831,6113,6889,7141,7732
Prince of Wales-Outer Ketchikan Census Area,"Prince of Wales-Hyder Census Area, Alaska",Alaska,--- ,1772,2106,3822,6278,6070,5509,6376
Sitka Borough,"Sitka City and Borough, Alaska",Alaska,--- ,6690,6109,7803,8588,8564,8626,8943
Skagway-Yakutat-Angoon Census Area,"Skagway Municipality, Alaska",Alaska,--- ,--- ,2157,3478,4385,3416,936,999
Southeast Fairbanks Census Area,"Southeast Fairbanks Census Area, Alaska",Alaska,--- ,--- ,4179,5676,5913,5875,6660,7029
Valdez-Cordova Census Area,"Valdez-Cordova Census Area, Alaska",Alaska,--- ,2844,3098,8348,9952,10013,9435,9617
Wade Hampton Census Area,"Wrangell City and Borough, Alaska",Alaska,--- ,3128,3917,4665,5791,7018,2350,2387
Wrangell-Petersburg Census Area,"Yakutat City and Borough, Alaska",Alaska,--- ,4181,4913,6167,7042,686,644,643
Yukon-Koyukuk Census Area,"Yukon-Koyukuk Census Area, Alaska",Alaska,--- ,4097,4752,7873,8478,6483,5557,5644
Apache,"Apache County, Arizona",Arizona,27767,30438,32298,52108,61591,68150,70577,72124
Cochise,"Cochise County, Arizona",Arizona,31488,55039,61910,85686,97624,112088,125075,129647
Coconino,"Coconino County, Arizona",Arizona,23910,41857,48326,75008,96591,113230,125587,136701
Gila,"Gila County, Arizona",Arizona,24158,25745,29255,37080,40216,50404,52680,53165
Graham,"Graham County, Arizona",Arizona,12985,14045,16578,22862,26554,30257,33469,37407
Greenlee,"Greenlee County, Arizona",Arizona,12805,11509,10330,11406,8008,8520,8402,9023
La Paz,"La Paz County, Arizona",Arizona,--- ,--- ,--- ,--- ,13844,19435,20101,20335
Maricopa,"Maricopa County, Arizona",Arizona,331770,663510,967522,1509052,2122101,3027366,3763940,4018143
Mohave,"Mohave County, Arizona",Arizona,8510,7736,25857,55865,93497,153801,197557,203362
Navajo,"Navajo County, Arizona",Arizona,29446,37994,47715,67629,77658,95230,105222,107656
Pima,"Pima County, Arizona",Arizona,141216,265660,351667,531443,666880,821712,956124,998537
Pinal,"Pinal County, Arizona",Arizona,43191,62673,67916,90918,116379,164497,349525,389772
Santa Cruz,"Santa Cruz County, Arizona",Arizona,9344,10808,13966,20459,29676,38176,47036,47073
Yavapai,"Yavapai County, Arizona",Arizona,24991,28912,36733,68145,107714,163753,207508,215996
Yuma,"Yuma County, Arizona",Arizona,28006,46235,60827,90554,106895,154163,189830,202987
Arkansas,"Arkansas County, Arkansas",Arkansas,23665,23355,23347,24175,21653,20386,18772,18731
Ashley,"Ashley County, Arkansas",Arkansas,25660,24220,24976,26538,24319,23969,21662,21229
Baxter,"Baxter County, Arkansas",Arkansas,11683,9943,15319,27409,31186,37676,40918,41040
Benton,"Benton County, Arkansas",Arkansas,38076,36272,50476,78115,97499,151275,219278,238198
Boone,"Boone County, Arkansas",Arkansas,16260,16116,19073,26067,28297,33348,36438,37227
Bradley,"Bradley County, Arkansas",Arkansas,15987,14029,12778,13803,11793,11846,11288,11206
Calhoun,"Calhoun County, Arkansas",Arkansas,7132,5991,5573,6079,5826,5627,5193,5245
Carroll,"Carroll County, Arkansas",Arkansas,13244,11284,12301,16203,18654,25122,27216,27635
Chicot,"Chicot County, Arkansas",Arkansas,22306,18990,18164,17793,15713,13403,11078,11353
Clark,"Clark County, Arkansas",Arkansas,22998,20950,21537,23326,21437,21218,20383,22751
Clay,"Clay County, Arkansas",Arkansas,26674,21258,18771,20616,18107,17430,15958,15400
Cleburne,"Cleburne County, Arkansas",Arkansas,11487,9059,10349,16909,19411,23778,25631,25711
Cleveland,"Cleveland County, Arkansas",Arkansas,8956,6944,6605,7868,7781,8502,8637,8510
Columbia,"Columbia County, Arkansas",Arkansas,28770,26400,25952,26644,25691,24484,23237,24327
Conway,"Conway County, Arkansas",Arkansas,18137,15430,16805,19505,19151,19987,20987,21110
Craighead,"Craighead County, Arkansas",Arkansas,50613,47303,52068,63239,68956,79365,92864,101409
Crawford,"Crawford County, Arkansas",Arkansas,22727,21318,25677,36892,42493,52790,61408,61748
Crittenden,"Crittenden County, Arkansas",Arkansas,47184,47564,48106,49499,49939,50238,50201,49765
Cross,"Cross County, Arkansas",Arkansas,24757,19551,19783,20434,19225,19226,17645,17467
Dallas,"Dallas County, Arkansas",Arkansas,12416,10522,10022,10515,9614,8724,7711,7868
Desha,"Desha County, Arkansas",Arkansas,25155,20770,18761,19760,16798,15206,12952,12379
Drew,"Drew County, Arkansas",Arkansas,17959,15213,15157,17910,17369,18063,17724,18740
Faulkner,"Faulkner County, Arkansas",Arkansas,25289,24303,31572,46192,60006,81942,109182,119343
Franklin,"Franklin County, Arkansas",Arkansas,12358,10213,11301,14705,14897,17288,17678,17866
Fulton,"Fulton County, Arkansas",Arkansas,9187,6657,7699,9975,10037,11512,12080,12224
Garland,"Garland County, Arkansas",Arkansas,47102,46697,54131,70531,73397,86207,93858,96954
Grant,"Grant County, Arkansas",Arkansas,9024,8294,9711,13008,13948,16283,17710,18054
Greene,"Greene County, Arkansas",Arkansas,29149,25198,24765,30744,31804,36743,41488,43382
Hempstead,"Hempstead County, Arkansas",Arkansas,25080,19661,19308,23635,21621,23316,22308,22336
Hot Spring,"Hot Spring County, Arkansas",Arkansas,22181,21893,21963,26819,26115,29997,31352,33316
Howard,"Howard County, Arkansas",Arkansas,13342,10878,11412,13459,13569,13929,13608,13555
Independence,"Independence County, Arkansas",Arkansas,23488,20048,22723,30147,31192,33296,35747,36952
Izard,"Izard County, Arkansas",Arkansas,9953,6766,7381,10768,11364,12491,12927,13480
Jackson,"Jackson County, Arkansas",Arkansas,25912,22843,20452,21646,18944,16752,15997,17597
Jefferson,"Jefferson County, Arkansas",Arkansas,76075,81373,85329,90718,85487,78989,71905,73548
Johnson,"Johnson County, Arkansas",Arkansas,16138,12421,13630,17423,18221,22199,24982,25930
Lafayette,"Lafayette County, Arkansas",Arkansas,13203,11030,10018,10213,9643,8438,7534,7270
Lawrence,"Lawrence County, Arkansas",Arkansas,21303,17267,16320,18447,17457,17223,16820,17029
Lee,"Lee County, Arkansas",Arkansas,24322,21001,18884,15539,13053,10832,8668,9966
Lincoln,"Lincoln County, Arkansas",Arkansas,17079,14447,12913,13369,13690,11218,10689,14062
Little River,"Little River County, Arkansas",Arkansas,11690,9211,11194,13952,13966,13452,13048,12720
Logan,"Logan County, Arkansas",Arkansas,20260,15957,16789,20144,20557,22005,21773,22001
Lonoke,"Lonoke County, Arkansas",Arkansas,27278,24551,26249,34518,39268,52207,67784,70691
Madison,"Madison County, Arkansas",Arkansas,11734,9068,9453,11373,11618,14160,15638,15702
Marion,"Marion County, Arkansas",Arkansas,8609,6041,7000,11334,12001,15987,16512,16458
Miller,"Miller County, Arkansas",Arkansas,32614,31686,33385,37766,38467,39361,41982,43652
Mississippi,"Mississippi County, Arkansas",Arkansas,82375,70174,62060,59517,57525,51138,45713,44864
Monroe,"Monroe County, Arkansas",Arkansas,19540,17327,15657,14052,11333,10119,8065,7713
Montgomery,"Montgomery County, Arkansas",Arkansas,6680,5370,5821,7771,7841,9136,9366,9197
Nevada,"Nevada County, Arkansas",Arkansas,14781,10700,10111,11097,10101,9661,8840,8793
Newton,"Newton County, Arkansas",Arkansas,8685,5963,5844,7756,7666,8542,8279,8052
Ouachita,"Ouachita County, Arkansas",Arkansas,33051,31641,30896,30541,30574,28397,25768,25044
Perry,"Perry County, Arkansas",Arkansas,5978,4927,5634,7266,7969,10052,10293,10300
Phillips,"Phillips County, Arkansas",Arkansas,46254,43997,40046,34772,28838,26131,21511,20391
Pike,"Pike County, Arkansas",Arkansas,10032,7864,8711,10373,10086,11121,11095,11087
Poinsett,"Poinsett County, Arkansas",Arkansas,39311,30834,26822,27032,24664,25219,24242,24210
Polk,"Polk County, Arkansas",Arkansas,14182,11981,13297,17007,17347,20036,20507,20364
Pope,"Pope County, Arkansas",Arkansas,23291,21177,28607,39021,45883,52744,58424,62830
Prairie,"Prairie County, Arkansas",Arkansas,13768,10515,10249,10140,9518,9399,8584,8402
Pulaski,"Pulaski County, Arkansas",Arkansas,196685,242980,287189,340613,349660,353221,374810,390463
Randolph,"Randolph County, Arkansas",Arkansas,15982,12520,12645,16834,16558,17884,17620,17695
St. Francis,"St. Francis County, Arkansas",Arkansas,36841,33303,30799,30858,28497,26641,24173,27345
Saline,"Saline County, Arkansas",Arkansas,23816,28956,36107,53161,64183,81742,105693,113833
Scott,"Scott County, Arkansas",Arkansas,10057,7297,8207,9685,10205,10894,11154,10870
Searcy,"Searcy County, Arkansas",Arkansas,10424,8124,7731,8847,7841,8209,8124,7965
Sebastian,"Sebastian County, Arkansas",Arkansas,64202,66685,79237,95172,99590,112747,123509,127273
Sevier,"Sevier County, Arkansas",Arkansas,12293,10156,11272,14060,13637,15588,16885,17268
Sharp,"Sharp County, Arkansas",Arkansas,8999,6319,8233,14607,14109,16893,17075,17055
