,NAME,GEO_ID,2000,2010,2015
0,"Frazee city, Minnesota",1600000US2722472,1350,1364,1320
1,"Inver Grove Heights city, Minnesota",1600000US2731076,33880,33353,34417
2,"South Haven city, Minnesota",1600000US2761402,187,178,236
3,"Sherburn city, Minnesota",1600000US2759620,1137,950,1027
4,"Buffalo city, Minnesota",1600000US2708452,15453,14771,15825
5,"Howard Lake city, Minnesota",1600000US2730284,1962,1636,2115
6,"Aurora city, Minnesota",1600000US2702872,1682,1481,1724
7,"Biwabik city, Minnesota",1600000US2706148,969,1076,933
8,"Floodwood city, Minnesota",1600000US2721338,528,487,472
9,"Fifty Lakes city, Minnesota",1600000US2721032,387,403,318
10,"Nisswa city, Minnesota",1600000US2746348,1971,2180,2068
11,"Minneota city, Minnesota",1600000US2743126,1392,1193,1407
12,"Russell city, Minnesota",1600000US2756428,338,335,404
13,"Donnelly city, Minnesota",1600000US2716084,241,252,245
14,"Appleton city, Minnesota",1600000US2701864,1412,2178,1540
15,"Danvers city, Minnesota",1600000US2714734,97,92,140
16,"De Graff city, Minnesota",1600000US2715418,115,74,126
17,"Grove City city, Minnesota",1600000US2726126,635,565,624
18,"Correll city, Minnesota",1600000US2713384,34,74,22
19,"Elbow Lake CDP, Minnesota",1600000US2718440,95,161,113
20,"Hitterdal city, Minnesota",1600000US2729402,201,211,184
21,"Sabin city, Minnesota",1600000US2756554,522,569,582
22,"Blaine city, Minnesota",1600000US2706382,57186,55413,60224
23,"Centerville city, Minnesota",1600000US2710648,3792,3716,3865
24,"Circle Pines city, Minnesota",1600000US2711494,4918,4914,4931
25,"Coon Rapids city, Minnesota",1600000US2713114,61476,61990,61946
26,"Sunfish Lake city, Minnesota",1600000US2763544,521,577,518
27,"West St. Paul city, Minnesota",1600000US2769700,19540,19640,19709
28,"Silver Bay city, Minnesota",1600000US2760250,1887,2055,1745
29,"Hatfield city, Minnesota",1600000US2727566,54,48,39
30,"Two Harbors city, Minnesota",1600000US2765956,3745,3718,3643
31,"Gary city, Minnesota",1600000US2723246,214,128,266
32,"Halstad city, Minnesota",1600000US2726630,597,619,611
33,"Denham city, Minnesota",1600000US2715670,35,36,37
34,"Rutledge city, Minnesota",1600000US2756518,229,308,194
35,"Climax city, Minnesota",1600000US2711962,267,218,290
36,"Fertile city, Minnesota",1600000US2720978,842,849,931
37,"Fisher city, Minnesota",1600000US2721158,435,469,464
38,"Gully city, Minnesota",1600000US2726270,66,37,101
39,"McIntosh city, Minnesota",1600000US2739050,625,539,537
40,"Detroit Lakes city, Minnesota",1600000US2715832,8569,8472,8897
41,"Pine Point CDP, Minnesota",1600000US2751234,338,251,245
42,"White Earth CDP, Minnesota",1600000US2770006,580,474,567
43,"Columbia Heights city, Minnesota",1600000US2712700,19496,19501,19632
44,"Ramsey city, Minnesota",1600000US2753026,23668,22925,24846
45,"Ceylon city, Minnesota",1600000US2710792,369,407,322
46,"Granada city, Minnesota",1600000US2724884,303,251,299
47,"Gonvick city, Minnesota",1600000US2724344,282,339,220
48,"Miesville city, Minnesota",1600000US2742092,125,106,147
49,"New Trier city, Minnesota",1600000US2746024,112,97,142
