fips,county,c2010,hhpop2010,gq2010,hh2010,hhsize2010,N2015,hhpop2015,gq2015,hh2015,hhsize2015,N2020,hhpop2020,gq2020,hh2020,hhsize2020,N2025,hhpop2025,gq2025,hh2025,hhsize2025,N2030,hhpop2030,gq2030,hh2030,hhsize2030,N2035,hhpop2035,gq2035,hh2035,hhsize2035,N2040,hhpop2040,gq2040,hh2040,hhsize2040
21001,Adair,18656,17601,1055,7285,2.416060398,19027,17866,1161,7627,2.342468,19180,17999,1181,7821,2.301368,19213,18012,1201,7953,2.264806,19145,17924,1221,8052,2.226031,18963,17722,1241,8084,2.192232,18711,17448,1263,8070,2.162082
21003,Allen,19956,19759,197,7848,2.517711519,20640,20443,197,8223,2.486076,21377,21180,197,8686,2.438407,21983,21786,197,9084,2.398283,22473,22276,197,9458,2.355255,22836,22639,197,9782,2.314353,23091,22894,197,10037,2.280961
21005,Anderson,21421,21313,108,8369,2.546660294,21979,21871,108,8815,2.481112,22821,22712,109,9387,2.419516,23617,23507,110,9912,2.37157,24327,24216,111,10377,2.333622,24903,24791,112,10764,2.30314,25334,25221,113,11088,2.274621
21007,Ballard,8249,8122,127,3397,2.390933176,8212,8085,127,3421,2.363344,8164,8037,127,3428,2.344516,8097,7970,127,3448,2.311485,8005,7878,127,3437,2.292115,7906,7779,127,3422,2.273232,7780,7653,127,3374,2.268228
21009,Barren,42173,41471,702,16999,2.439614095,43570,42868,702,17784,2.410481,45135,44421,714,18565,2.392728,46580,45854,726,19302,2.375609,47943,47205,738,19988,2.361667,49211,48461,750,20663,2.345303,50329,49567,762,21221,2.335752
21011,Bath,11591,11488,103,4587,2.504469152,12228,12125,103,4857,2.496397,12529,12425,104,4999,2.485497,12794,12689,105,5148,2.464841,13064,12958,106,5280,2.454167,13306,13199,107,5407,2.441095,13486,13378,108,5480,2.441241
21013,Bell,28691,27739,952,11787,2.353355392,27337,26385,952,11354,2.323851,26394,25426,968,11080,2.294765,25291,24307,984,10706,2.270409,24024,23024,1000,10294,2.236643,22678,21662,1016,9812,2.207705,21374,20342,1032,9339,2.178178
21015,Boone,118811,117976,835,43216,2.729914846,127712,126877,835,47458,2.673459,139018,138169,849,52880,2.612878,150928,150065,863,58604,2.560661,163722,162845,877,64688,2.517391,177141,176250,891,70599,2.496494,191093,190188,905,76648,2.481317
21017,Bourbon,19985,19749,236,7976,2.476053159,20116,19880,236,8172,2.432697,20090,19853,237,8290,2.394813,20027,19789,238,8353,2.369089,19897,19658,239,8370,2.348626,19668,19428,240,8339,2.329776,19352,19111,241,8260,2.31368
21019,Boyd,49542,47204,2338,19787,2.385606711,48325,46054,2271,19504,2.361259,47912,45597,2315,19321,2.359971,47353,44993,2360,19055,2.361217,46626,44221,2405,18757,2.357573,45763,43312,2451,18425,2.350719,44820,42322,2498,18019,2.348743
21021,Boyle,28432,26131,2301,11075,2.359458239,29809,26603,3206,11445,2.324421,30550,27282,3268,11949,2.283204,31232,27902,3330,12312,2.266244,31810,28416,3394,12626,2.250594,32170,28711,3459,12843,2.235537,32431,28907,3524,13051,2.214926
21023,Bracken,8488,8447,41,3317,2.546578233,8321,8280,41,3378,2.451154,8139,8098,41,3380,2.395858,7900,7859,41,3351,2.34527,7609,7568,41,3306,2.289171,7276,7235,41,3219,2.247592,6910,6869,41,3109,2.209392
21025,Breathitt,13878,13556,322,5494,2.467419003,13484,13162,322,5514,2.387015,12817,12492,325,5328,2.344594,12078,11750,328,5079,2.313447,11244,10913,331,4785,2.280669,10352,10018,334,4459,2.246692,9493,9156,337,4135,2.214268
21027,Breckinridge,20059,19758,301,7827,2.524338827,20018,19717,301,7985,2.469255,19973,19668,305,8157,2.41118,19848,19539,309,8278,2.360353,19611,19298,313,8311,2.321983,19246,18929,317,8263,2.290814,18805,18484,321,8165,2.263809
21029,Bullitt,74319,73979,340,27673,2.673327792,78702,78362,340,30537,2.566133,83186,82841,345,33363,2.48302,87470,87120,350,35971,2.421951,91527,91172,355,38414,2.373405,95170,94810,360,40575,2.336661,98245,97880,365,42463,2.305066
21031,Butler,12690,12487,203,5057,2.469250544,12938,12735,203,5262,2.420182,12720,12515,205,5295,2.36355,12426,12219,207,5284,2.312453,12068,11859,209,5240,2.263168,11671,11460,211,5142,2.228705,11269,11056,213,5031,2.197575
21033,Caldwell,12984,12836,148,5393,2.380122381,12681,12533,148,5244,2.38997,12633,12484,149,5237,2.383807,12541,12391,150,5206,2.380138,12426,12275,151,5171,2.373816,12286,12134,152,5141,2.360241,12149,11996,153,5100,2.352157
21035,Calloway,37191,34239,2952,15530,2.20470058,38343,34989,3354,15957,2.192705,39328,35910,3418,16483,2.178608,40487,37004,3483,17106,2.163218,41687,38138,3549,17725,2.15165,42604,38988,3616,18238,2.137734,43503,39818,3685,18723,2.126689
21037,Campbell,90336,87373,2963,36069,2.422384873,92066,88776,3290,37671,2.356614,92898,89544,3354,38574,2.321356,93427,90008,3419,39357,2.286963,93473,89989,3484,39824,2.259668,93028,89476,3552,40085,2.232157,92192,88571,3621,40031,2.21256
21039,Carlisle,5104,5044,60,2116,2.383742911,4874,4814,60,2036,2.36444,4737,4676,61,1967,2.377224,4604,4542,62,1903,2.386758,4450,4387,63,1831,2.395958,4298,4234,64,1777,2.382667,4139,4074,65,1710,2.382456
21041,Carroll,10811,10486,325,4061,2.58212263,10699,10374,325,4061,2.554543,10766,10439,327,4109,2.540521,10757,10428,329,4127,2.526775,10675,10344,331,4109,2.517401,10608,10275,333,4101,2.505486,10539,10204,335,4065,2.510209
